dataset,fold,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,fusion4,fusion24
aptos2019,5,0.48339242622701944,0.5346758789328863,0.5494926132906788,0.5987601071657132,0.6061911492042953,0.6252592380272084,0.6193264436719998,0.6056636105202704,0.613904061945848,0.6404182090153732,0.6445221040671061,0.6398500189217594,0.6502547313264718,0.6167924492044873,0.6413465561145264,0.629125817775144,0.6217253184268069,0.61268995557657,0.6203160244542469,0.6143877522222045,0.6195565353245056,0.6227006244164326,0.6167412023905287,0.6166850495195018,0.6206695494896819,
aptos2019,6,0.48730814437359343,0.49803663344369486,0.5425370049648185,0.5527941236443514,0.6180877129535751,0.6129901988182189,0.6078168187256406,0.6427095827656888,0.6635980603138685,0.6552024670225995,0.6704846636464084,0.6775877908303375,0.6748293191905098,0.6549525279721063,0.6590846216674658,0.6698286107673872,0.6496484504021007,0.685674784428435,0.6712959318266141,0.6483049606505168,0.6400585262332762,0.675316028846711,0.661689650902243,0.671669553882146,0.678598843604102,
aptos2019,7,0.4972870722264592,0.5269550188246372,0.5538356108585226,0.5705405544988154,0.633331210829591,0.6178424085384037,0.6528623904434037,0.6082567256678718,0.6143777109190509,0.6187895548959919,0.633692824050869,0.6434504715993518,0.6362776808453131,0.6334702441302281,0.6529954267615661,0.6283857140863104,0.6384296661561322,0.6643678259225468,0.6478976630040999,0.6515048428869266,0.6547362495130465,0.6444245104769543,0.6334335719352386,0.6459351765023863,0.676444933971015,
aptos2019,8,0.4955016540555768,0.5136037499540012,0.5396231405357186,0.5448202009230226,0.5850332625691093,0.6043107873355302,0.5752206422582967,0.6056127885714722,0.602192117889052,0.5932417573214325,0.6113596780968018,0.6127351417335923,0.6283066645686957,0.641058549887509,0.6161424035895607,0.6065547043827714,0.6453592961476431,0.6362072359697131,0.6138985614094306,0.6379569552180472,0.62288882360928,0.6164958537578848,0.6236665533085552,0.6304553506508997,0.6199653403344657,
aptos2019,9,0.456585922994684,0.5208459217917751,0.538471878565723,0.5421189157016044,0.6156884570808503,0.5836988858969507,0.5860433067863478,0.6073925984439866,0.6085310765381384,0.5965146062472452,0.6218273103754787,0.6375298944646457,0.651730151850029,0.6431413582514407,0.6146674831166117,0.6154987000143106,0.6151451749788757,0.6223707330232255,0.6186167835065641,0.6233703048878744,0.6061955977835672,0.6144719180892346,0.6123695250800565,0.5945294469694252,0.6281589272814708,
aptos2019,10,0.4902847020528133,0.5140850091804128,0.5181930424214098,0.5717270677337817,0.5839544366116506,0.5939138586375546,0.6119869283846466,0.5823397449969591,0.6334069814866096,0.644422955739872,0.6377003902167524,0.6347770240417783,0.6277260862946106,0.6295770911456156,0.6277458742479165,0.6623211705350773,0.6499006476021358,0.6461269101321687,0.6335368222383106,0.6512395403634429,0.6686602115989881,0.6614034174086759,0.6424899367833309,0.6603215530373612,0.6404492105066311,
aptos2019,11,0.4619538954926063,0.5237750983529659,0.5441267089247745,0.5715368016099975,0.5868411882467942,0.5921375429212887,0.5761757930846151,0.5751146592894093,0.6059285063341122,0.6259041368129588,0.6166421869434687,0.5987444574016714,0.607129132230968,0.5905749658762476,0.6149129314371814,0.6203805615631992,0.6175649195624311,0.6176577618403994,0.6171196291836228,0.638674045160453,0.6279200956437916,0.6141556255898714,0.6289353614739314,0.6144889787380985,0.6178626007936304,
aptos2019,12,0.48695790184287296,0.5011578515930835,0.5529901340375071,0.5576806359390049,0.6000825200523308,0.5776854997633437,0.6089542726913966,0.6127305596126198,0.6149103206215747,0.5883539133292642,0.6218541677505478,0.6095882372348403,0.5930149048997353,0.6217574369054251,0.6327232975028646,0.6449743294635073,0.6266099588484677,0.6086285233540973,0.6023259206434004,0.6147255638191363,0.6105607013652461,0.6121367314542111,0.6254924225601253,0.6162698426394844,0.6254927892820753,
aptos2019,13,0.4965837680490012,0.5611671972926022,0.6057006178440048,0.5822930463681203,0.6394954718087259,0.6185398058277066,0.6142219847905561,0.6268029637224435,0.6378671197607299,0.6519443128277815,0.6369842893271223,0.6463774939313227,0.6487233723699755,0.6547111715687706,0.6524233024517075,0.6470426082686284,0.6227240461739735,0.641881411765303,0.6509428700497295,0.6441909847309162,0.6491006924573288,0.6496183287376771,0.6351048900912744,0.6481723453581757,0.6370953870439292,
aptos2019,14,0.5138335881973786,0.5355683003440548,0.5786797823837333,0.6293566958096941,0.6428998149238632,0.6351308763824178,0.6192430086894192,0.658571782156441,0.676982138275388,0.6866085910869668,0.6864075014139153,0.6675623981776558,0.6842592706503086,0.6500701776873943,0.6690025835885421,0.626976745599839,0.6443718665543079,0.6848492989202877,0.6857835953180509,0.6984599833542892,0.6820647760477196,0.6428285302586618,0.6643412351853378,0.6738019848749326,0.682510302057826,
