dataset,fold,wce,selected_lr,epochs_run,grid_edge_selected,e0_bacc,probe_bacc,train_ce_best,probe_train_ce,scaler_fitted_on
oral_diseases,4,True,1e-05,0,True,0.7298442104114373,0.7089108370620975,,0.011444156989455223,train fold only (nested LR initialization npz)
oral_diseases,5,True,0.0001,5,True,0.7621616478759335,0.7338256981114124,0.04587007780532235,0.01154480129480362,train fold only (nested LR initialization npz)
oral_diseases,6,True,0.0001,18,True,0.7440679375663896,0.7568752197235169,0.09403022321370932,0.010789405554533005,train fold only (nested LR initialization npz)
oral_diseases,7,True,1e-05,0,True,0.7408008658008658,0.7294213139801374,,0.010278971865773201,train fold only (nested LR initialization npz)
oral_diseases,8,True,0.0001,2,True,0.7057539682539682,0.7214285714285714,0.22166818556094345,0.01019494328647852,train fold only (nested LR initialization npz)
oral_diseases,9,True,1e-05,3,True,0.8286704634006713,0.804065166736551,0.2671719136283838,0.011951989494264126,train fold only (nested LR initialization npz)
oral_diseases,10,True,0.0001,1,True,0.7860416366810229,0.833811258363688,0.004028027845868984,0.010388596914708614,train fold only (nested LR initialization npz)
oral_diseases,11,True,0.0001,12,True,0.654410668696383,0.6779315922173065,0.08761980500223748,0.010705718770623207,train fold only (nested LR initialization npz)
oral_diseases,12,True,0.0001,17,True,0.7808091657715719,0.8032223415682063,0.10821309336801854,0.010048780590295792,train fold only (nested LR initialization npz)
oral_diseases,13,True,0.0001,9,True,0.7861574933003505,0.7516903731189445,0.21931366851976855,0.012063299305737019,train fold only (nested LR initialization npz)
oral_diseases,14,True,0.0001,5,True,0.7840086703577752,0.7810324798815848,0.049463318293764644,0.011939894407987595,train fold only (nested LR initialization npz)
