seed,arm,fold,bacc,mcc,mae_plain,macro_mae_true,qwk,lr,wd,epoch,grid_edge_wd,grid_edge_epoch,per_class_recall
0,B4,5,0.703203576084932,0.7099080672973933,0.2601078167115903,0.3983348854535295,0.8855388004334033,0.01,10.0,660,False,False,"[0.9830508474576272, 0.7564102564102564, 0.6095238095238096, 0.6285714285714286, 0.5384615384615384]"
0,B4,6,0.6514962408001457,0.6621721533208555,0.30311231393775373,0.45934249907085223,0.8704269215435386,0.001,0.1,270,False,False,"[0.9736842105263158, 0.6883116883116883, 0.5668202764976958, 0.5135135135135135, 0.5151515151515151]"
0,B4,7,0.6709001262847575,0.703188790888411,0.2386206896551724,0.41625461754689297,0.895058484361627,0.01,10.0,410,False,False,"[0.9811320754716981, 0.676056338028169, 0.6354166666666666, 0.6363636363636364, 0.425531914893617]"
0,B4,8,0.6965027023939807,0.6789278966351411,0.27486187845303867,0.40978848847646654,0.8785179995932295,0.01,10.0,110,False,False,"[0.9556786703601108, 0.684931506849315, 0.5561224489795918, 0.7948717948717948, 0.4909090909090909]"
0,B4,9,0.6669590671005707,0.6956157207611959,0.2540983606557377,0.42628356830529873,0.8970924860515954,0.001,3.0,190,False,False,"[0.986737400530504, 0.704225352112676, 0.5869565217391305, 0.6052631578947368, 0.45161290322580644]"
0,B4,10,0.6307770203632692,0.6550558636449759,0.289875173370319,0.47376648124790155,0.8794750284761286,0.01,10.0,140,False,False,"[0.9826589595375722, 0.5921052631578947, 0.5714285714285714, 0.5, 0.5076923076923077]"
0,B4,11,0.6771009258395526,0.7025967921815867,0.24456521739130435,0.406680229175645,0.8970970895440408,0.01,10.0,230,False,False,"[0.978891820580475, 0.6533333333333333, 0.6329787234042553, 0.7631578947368421, 0.35714285714285715]"
0,B4,12,0.7021107000234907,0.7124898220252882,0.23601637107776263,0.3687086563307494,0.8990941414388101,0.01,10.0,210,False,False,"[0.9630681818181818, 0.7361111111111112, 0.6604651162790698, 0.5909090909090909, 0.56]"
0,B4,13,0.696700472859755,0.6908218057476907,0.2719891745602165,0.41841190478103574,0.8758250736444166,0.01,0.1,40,False,False,"[0.9753424657534246, 0.6666666666666666, 0.5845410628019324, 0.7741935483870968, 0.4827586206896552]"
0,B4,14,0.7018248062258794,0.6958471589402201,0.2646657571623465,0.3886088646313103,0.8907599433254666,0.01,10.0,580,False,False,"[0.9641873278236914, 0.7681159420289855, 0.5906735751295337, 0.7619047619047619, 0.42424242424242425]"
0,B0d,0,0.6507600998627805,0.7156586024602208,0.25068493150684934,0.46166407044417046,0.8774880145715317,0.001,0.01,290,False,False,"[0.978494623655914, 0.5492957746478874, 0.7373737373737373, 0.36363636363636365, 0.625]"
0,B0d,1,0.6173276558037826,0.7055717168596739,0.24456521739130435,0.4861543101145269,0.8847530422333572,0.01,10.0,750,False,False,"[0.9784366576819407, 0.5428571428571428, 0.7621359223300971, 0.29411764705882354, 0.509090909090909]"
0,B0d,2,0.608069020104744,0.6988884324104773,0.27125506072874495,0.5225952831633192,0.8665959705469205,0.01,10.0,540,False,False,"[0.9831460674157303, 0.5324675324675324, 0.8090452261306532, 0.21568627450980393, 0.5]"
