seed,arm,fold,lr_match,wd_match,epoch_match,score_absdiff,inner_best_absdiff,inner_epoch_match,n_tied_match,n_inner_valid,n_cands,lr_mine,wd_mine,epoch_mine
4,B4,0,True,True,True,0.0,0.0,True,True,3,16,0.001,1.0,70
4,B4,1,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,50
4,B4,2,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,60
4,B4,3,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,750
4,B4,4,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,40
4,B4,5,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,500
4,B4,6,True,True,True,0.0,0.0,True,True,3,16,0.001,0.1,220
4,B4,7,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,760
4,B4,8,True,True,True,0.0,0.0,True,True,3,16,0.01,3.0,30
4,B4,9,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,800
4,B4,10,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,80
4,B4,11,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,160
4,B4,12,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,430
4,B4,13,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,380
4,B4,14,True,True,True,0.0,0.0,True,True,3,16,0.01,10.0,270
4,B0d,0,True,True,True,0.0,0.0,True,True,3,16,0.001,3.0,330
