seed,arm,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
2,B0d,dinov2,B0d,offset,7,0.3409090909090909,0.621473876668157,0.6330518053058812,-0.011577928637724222,탐색적/exploratory
2,B0d,dinov2,B0d,union,7,0.3409090909090909,0.621473876668157,0.6867544130150781,-0.0652805363469211,탐색적/exploratory
2,B0d,dinov2,B0d,tau,8,0.05128205128205128,0.5686333852879271,0.6370079764023527,-0.06837459111442568,탐색적/exploratory
2,B0d,dinov2,B0d,offset,8,0.05128205128205128,0.5686333852879271,0.638435679023739,-0.06980229373581193,탐색적/exploratory
2,B0d,dinov2,B0d,union,8,0.05128205128205128,0.5686333852879271,0.638435679023739,-0.06980229373581193,탐색적/exploratory
2,B0d,dinov2,B0d,tau,9,0.39473684210526316,0.6395199929360416,0.6529296455071112,-0.01340965257106963,탐색적/exploratory
2,B0d,dinov2,B0d,offset,9,0.39473684210526316,0.6395199929360416,0.6425077393005502,-0.0029877463645086033,탐색적/exploratory
2,B0d,dinov2,B0d,union,9,0.39473684210526316,0.6395199929360416,0.6529296455071112,-0.01340965257106963,탐색적/exploratory
2,B0d,dinov2,B0d,tau,10,0.4473684210526316,0.6609275539098652,0.6696913773349081,-0.008763823425042894,탐색적/exploratory
2,B0d,dinov2,B0d,offset,10,0.4473684210526316,0.6609275539098652,0.6629683702363958,-0.0020408163265305257,탐색적/exploratory
2,B0d,dinov2,B0d,union,10,0.4473684210526316,0.6609275539098652,0.6696913773349081,-0.008763823425042894,탐색적/exploratory
2,B0d,dinov2,B0d,tau,11,0.15789473684210525,0.618835055133483,0.6901720521198579,-0.07133699698637486,탐색적/exploratory
2,B0d,dinov2,B0d,offset,11,0.15789473684210525,0.618835055133483,0.6869630857303817,-0.06812803059689865,탐색적/exploratory
2,B0d,dinov2,B0d,union,11,0.15789473684210525,0.618835055133483,0.6901720521198579,-0.07133699698637486,탐색적/exploratory
2,B0d,dinov2,B0d,tau,12,0.2727272727272727,0.6160924359877848,0.67960241954428,-0.06350998355649518,탐색적/exploratory
2,B0d,dinov2,B0d,offset,12,0.2727272727272727,0.6160924359877848,0.6498688043222927,-0.03377636833450781,탐색적/exploratory
2,B0d,dinov2,B0d,union,12,0.2727272727272727,0.6160924359877848,0.67960241954428,-0.06350998355649518,탐색적/exploratory
2,B0d,dinov2,B0d,tau,13,0.3225806451612903,0.6076949681339577,0.6889646121566837,-0.08126964402272596,탐색적/exploratory
2,B0d,dinov2,B0d,offset,13,0.3225806451612903,0.6076949681339577,0.6258536307381395,-0.018158662604181752,탐색적/exploratory
2,B0d,dinov2,B0d,union,13,0.3225806451612903,0.6076949681339577,0.6889646121566837,-0.08126964402272596,탐색적/exploratory
2,B0d,dinov2,B0d,tau,14,0.40476190476190477,0.6496452280371672,0.675866224200206,-0.026220996163038857,탐색적/exploratory
2,B0d,dinov2,B0d,offset,14,0.40476190476190477,0.6496452280371672,0.6618584034627779,-0.012213175425610734,탐색적/exploratory
2,B0d,dinov2,B0d,union,14,0.40476190476190477,0.6496452280371672,0.675866224200206,-0.026220996163038857,탐색적/exploratory
2,B1d,dinov2,B0d,tau,0,0.48484848484848486,0.6455418565482173,0.6897178771554056,-0.04417602060718828,탐색적/exploratory
2,B1d,dinov2,B0d,offset,0,0.48484848484848486,0.6455418565482173,0.669808161448325,-0.024266304900107727,탐색적/exploratory
2,B1d,dinov2,B0d,union,0,0.48484848484848486,0.6455418565482173,0.6897178771554056,-0.04417602060718828,탐색적/exploratory
2,B1d,dinov2,B0d,tau,1,0.5588235294117647,0.6719626394746812,0.6729537012560189,-0.0009910617813377876,탐색적/exploratory
2,B1d,dinov2,B0d,offset,1,0.5588235294117647,0.6719626394746812,0.648952159657848,0.02301047981683313,탐색적/exploratory
2,B1d,dinov2,B0d,union,1,0.5588235294117647,0.6719626394746812,0.6729537012560189,-0.0009910617813377876,탐색적/exploratory
2,B1d,dinov2,B0d,tau,2,0.6078431372549019,0.7009877433386654,0.7022706899340793,-0.0012829465954138364,탐색적/exploratory
2,B1d,dinov2,B0d,offset,2,0.6078431372549019,0.7009877433386654,0.6622781353011635,0.0387096080375019,탐색적/exploratory
2,B1d,dinov2,B0d,union,2,0.6078431372549019,0.7009877433386654,0.7022706899340793,-0.0012829465954138364,탐색적/exploratory
2,B1d,dinov2,B0d,tau,3,0.5833333333333334,0.6695258733683871,0.6813566685894907,-0.01183079522110364,탐색적/exploratory
2,B1d,dinov2,B0d,offset,3,0.5833333333333334,0.6695258733683871,0.6611709297065097,0.00835494366187739,탐색적/exploratory
2,B1d,dinov2,B0d,union,3,0.5833333333333334,0.6695258733683871,0.6813566685894907,-0.01183079522110364,탐색적/exploratory
2,B1d,dinov2,B0d,tau,4,0.5384615384615384,0.6371835962264745,0.6457995119589903,-0.008615915732515855,탐색적/exploratory
2,B1d,dinov2,B0d,offset,4,0.5384615384615384,0.6371835962264745,0.6449653494818701,-0.0077817532553956514,탐색적/exploratory
2,B1d,dinov2,B0d,union,4,0.5384615384615384,0.6371835962264745,0.6457995119589903,-0.008615915732515855,탐색적/exploratory
2,B1d,dinov2,B0d,tau,5,0.3142857142857143,0.6518693735642888,0.6559210281244179,-0.004051654560129125,탐색적/exploratory
2,B1d,dinov2,B0d,offset,5,0.3142857142857143,0.6518693735642888,0.6312510088781276,0.020618364686161184,탐색적/exploratory
2,B1d,dinov2,B0d,union,5,0.3142857142857143,0.6518693735642888,0.6559210281244179,-0.004051654560129125,탐색적/exploratory
2,B1d,dinov2,B0d,tau,6,0.5675675675675675,0.670470911897058,0.7201959616221075,-0.04972504972504954,탐색적/exploratory
2,B1d,dinov2,B0d,offset,6,0.5675675675675675,0.670470911897058,0.700707999689324,-0.03023708779226597,탐색적/exploratory
2,B1d,dinov2,B0d,union,6,0.5675675675675675,0.670470911897058,0.7201959616221075,-0.04972504972504954,탐색적/exploratory
