dataset,fold,arm,label,recall
aptos2019,6,first2,2,0.6129032258064516
aptos2019,6,first2,3,0.6216216216216216
aptos2019,6,first2,4,0.5
aptos2019,6,first2_ema,0,0.9736842105263158
aptos2019,6,first2_ema,1,0.7532467532467533
aptos2019,6,first2_ema,2,0.6267281105990783
aptos2019,6,first2_ema,3,0.5675675675675675
aptos2019,6,first2_ema,4,0.5151515151515151
aptos2019,6,full_llrd,0,0.9707602339181286
aptos2019,6,full_llrd,1,0.7662337662337663
aptos2019,6,full_llrd,2,0.47465437788018433
aptos2019,6,full_llrd,3,0.5675675675675675
aptos2019,6,full_llrd,4,0.7272727272727273
aptos2019,6,full_llrd_ema,0,0.97953216374269
aptos2019,6,full_llrd_ema,1,0.7792207792207793
aptos2019,6,full_llrd_ema,2,0.6682027649769585
aptos2019,6,full_llrd_ema,3,0.7027027027027027
aptos2019,6,full_llrd_ema,4,0.6060606060606061
aptos2019,6,selected_surgical,0,0.9707602339181286
aptos2019,6,selected_surgical,1,0.7662337662337663
aptos2019,6,selected_surgical,2,0.47465437788018433
aptos2019,6,selected_surgical,3,0.5675675675675675
aptos2019,6,selected_surgical,4,0.7272727272727273
aptos2019,7,emb,0,0.9838274932614556
aptos2019,7,emb,1,0.7183098591549296
aptos2019,7,emb,2,0.6354166666666666
aptos2019,7,emb,3,0.5
aptos2019,7,emb,4,0.6170212765957447
aptos2019,7,emb_ema,0,0.9811320754716981
aptos2019,7,emb_ema,1,0.7183098591549296
aptos2019,7,emb_ema,2,0.6197916666666666
aptos2019,7,emb_ema,3,0.5681818181818182
aptos2019,7,emb_ema,4,0.5957446808510638
aptos2019,7,first2,0,0.9838274932614556
aptos2019,7,first2,1,0.7183098591549296
aptos2019,7,first2,2,0.6354166666666666
aptos2019,7,first2,3,0.5
aptos2019,7,first2,4,0.6170212765957447
aptos2019,7,first2_ema,0,0.9838274932614556
aptos2019,7,first2_ema,1,0.6901408450704225
aptos2019,7,first2_ema,2,0.6666666666666666
aptos2019,7,first2_ema,3,0.5
aptos2019,7,first2_ema,4,0.6595744680851063
aptos2019,7,full_llrd,0,0.9838274932614556
aptos2019,7,full_llrd,1,0.7183098591549296
aptos2019,7,full_llrd,2,0.6354166666666666
aptos2019,7,full_llrd,3,0.5
aptos2019,7,full_llrd,4,0.6170212765957447
aptos2019,7,full_llrd_ema,0,0.9892183288409704
aptos2019,7,full_llrd_ema,1,0.7464788732394366
aptos2019,7,full_llrd_ema,2,0.6614583333333334
aptos2019,7,full_llrd_ema,3,0.5454545454545454
aptos2019,7,full_llrd_ema,4,0.5319148936170213
aptos2019,7,selected_surgical,0,0.9838274932614556
aptos2019,7,selected_surgical,1,0.7183098591549296
aptos2019,7,selected_surgical,2,0.6354166666666666
aptos2019,7,selected_surgical,3,0.5
aptos2019,7,selected_surgical,4,0.6170212765957447
aptos2019,8,emb,0,0.9473684210526315
aptos2019,8,emb,1,0.7397260273972602
aptos2019,8,emb,2,0.5153061224489796
aptos2019,8,emb,3,0.6410256410256411
aptos2019,8,emb,4,0.5454545454545454
aptos2019,8,emb_ema,0,0.9473684210526315
aptos2019,8,emb_ema,1,0.7397260273972602
aptos2019,8,emb_ema,2,0.5153061224489796
aptos2019,8,emb_ema,3,0.6410256410256411
aptos2019,8,emb_ema,4,0.5454545454545454
aptos2019,8,first2,0,0.9418282548476454
aptos2019,8,first2,1,0.6027397260273972
aptos2019,8,first2,2,0.7397959183673469
aptos2019,8,first2,3,0.5384615384615384
aptos2019,8,first2,4,0.509090909090909
aptos2019,8,first2_ema,0,0.9418282548476454
aptos2019,8,first2_ema,1,0.7123287671232876
aptos2019,8,first2_ema,2,0.6530612244897959
aptos2019,8,first2_ema,3,0.6153846153846154
aptos2019,8,first2_ema,4,0.4909090909090909
aptos2019,8,full_llrd,0,0.9335180055401662
aptos2019,8,full_llrd,1,0.863013698630137
aptos2019,8,full_llrd,2,0.5918367346938775
aptos2019,8,full_llrd,3,0.5897435897435898
aptos2019,8,full_llrd,4,0.4909090909090909
aptos2019,8,full_llrd_ema,0,0.9667590027700831
aptos2019,8,full_llrd_ema,1,0.7671232876712328
aptos2019,8,full_llrd_ema,2,0.7653061224489796
aptos2019,8,full_llrd_ema,3,0.5897435897435898
aptos2019,8,full_llrd_ema,4,0.6363636363636364
aptos2019,8,selected_surgical,0,0.9418282548476454
aptos2019,8,selected_surgical,1,0.6027397260273972
aptos2019,8,selected_surgical,2,0.7397959183673469
aptos2019,8,selected_surgical,3,0.5384615384615384
aptos2019,8,selected_surgical,4,0.509090909090909
aptos2019,9,emb,0,0.986737400530504
aptos2019,9,emb,1,0.6901408450704225
aptos2019,9,emb,2,0.6304347826086957
aptos2019,9,emb,3,0.6052631578947368
aptos2019,9,emb,4,0.5
aptos2019,9,emb_ema,0,0.986737400530504
aptos2019,9,emb_ema,1,0.6901408450704225
aptos2019,9,emb_ema,2,0.6304347826086957
aptos2019,9,emb_ema,3,0.6052631578947368
aptos2019,9,emb_ema,4,0.5
aptos2019,9,first2,0,0.986737400530504
aptos2019,9,first2,1,0.6901408450704225
aptos2019,9,first2,2,0.6304347826086957
aptos2019,9,first2,3,0.6052631578947368
aptos2019,9,first2,4,0.5
aptos2019,9,first2_ema,0,0.986737400530504
aptos2019,9,first2_ema,1,0.6901408450704225
aptos2019,9,first2_ema,2,0.6304347826086957
aptos2019,9,first2_ema,3,0.6052631578947368
aptos2019,9,first2_ema,4,0.5
aptos2019,9,full_llrd,0,0.986737400530504
aptos2019,9,full_llrd,1,0.676056338028169
aptos2019,9,full_llrd,2,0.5978260869565217
aptos2019,9,full_llrd,3,0.7631578947368421
aptos2019,9,full_llrd,4,0.22580645161290322
aptos2019,9,full_llrd_ema,0,0.9893899204244032
aptos2019,9,full_llrd_ema,1,0.704225352112676
aptos2019,9,full_llrd_ema,2,0.7119565217391305
aptos2019,9,full_llrd_ema,3,0.5789473684210527
aptos2019,9,full_llrd_ema,4,0.5
aptos2019,9,selected_surgical,0,0.986737400530504
aptos2019,9,selected_surgical,1,0.676056338028169
aptos2019,9,selected_surgical,2,0.5978260869565217
aptos2019,9,selected_surgical,3,0.7631578947368421
aptos2019,9,selected_surgical,4,0.22580645161290322
aptos2019,10,emb,0,0.9739884393063584
aptos2019,10,emb,1,0.6973684210526315
aptos2019,10,emb,2,0.4897959183673469
aptos2019,10,emb,3,0.42105263157894735
