dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,2,full_llrd,selected_training,0.1484480431848853,0.1282051282051282,0.022012257465011044
aptos2019,2,full_llrd_ema,frozen_lr,0.12550607287449392,0.1039136302294197,0.019520112281702372
aptos2019,2,full_llrd_ema,last2,0.12550607287449392,0.1039136302294197,0.019520112281702372
aptos2019,2,full_llrd_ema,full,0.12550607287449392,0.1039136302294197,0.019520112281702372
aptos2019,2,full_llrd_ema,selected_training,0.13225371120107962,0.1106612685560054,0.019584588278580742
aptos2019,2,selected_surgical,frozen_lr,0.15654520917678813,0.1349527665317139,0.022739355831145232
aptos2019,2,selected_surgical,last2,0.15654520917678813,0.1349527665317139,0.022739355831145232
aptos2019,2,selected_surgical,full,0.15654520917678813,0.1349527665317139,0.022739355831145232
aptos2019,2,selected_surgical,selected_training,0.1484480431848853,0.1282051282051282,0.022012257465011044
aptos2019,3,emb,frozen_lr,0.0,0.0,0.0
aptos2019,3,emb,last2,0.0,0.0,0.0
aptos2019,3,emb,full,0.0,0.0,0.0
aptos2019,3,emb,selected_training,0.005509641873278237,0.004132231404958678,0.003000674325390622
aptos2019,3,emb_ema,frozen_lr,0.0,0.0,0.0
aptos2019,3,emb_ema,last2,0.0,0.0,0.0
aptos2019,3,emb_ema,full,0.0,0.0,0.0
aptos2019,3,emb_ema,selected_training,0.005509641873278237,0.004132231404958678,0.003000674325390622
aptos2019,3,first2,frozen_lr,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,first2,last2,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,first2,full,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,first2,selected_training,0.05922865013774105,0.049586776859504134,0.013274875459341905
aptos2019,3,first2_ema,frozen_lr,0.0,0.0,0.0
aptos2019,3,first2_ema,last2,0.0,0.0,0.0
aptos2019,3,first2_ema,full,0.0,0.0,0.0
aptos2019,3,first2_ema,selected_training,0.005509641873278237,0.004132231404958678,0.003000674325390622
