dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr,ref_lora,ref_last2,ref_full,ref_selected_training,previous_bt
aptos2019,11,emb,emb,0,0.6717448273183942,0,1e-05,0.6748763731681304,2926,736,0a6264769947e5721b9e45daae23c40d97f7bf130e74801cf025406bbace6945,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,emb_ema,emb_ema,0,0.6717448273183942,0,1e-05,0.6748763731681304,2926,736,0a6264769947e5721b9e45daae23c40d97f7bf130e74801cf025406bbace6945,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,first2,first2,0,0.6717448273183942,0,1e-05,0.6748763731681304,2926,736,0a6264769947e5721b9e45daae23c40d97f7bf130e74801cf025406bbace6945,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,first2_ema,first2_ema,0,0.6724145334987387,2,1e-05,0.6766578111670372,2926,736,342495d246f3d5b7f47a1f8d5a75dd7165dde110f34fedd5c6d29f27951626e5,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,full_llrd,full_llrd,0,0.6624225787902079,9,0.0001,0.6838618503838733,2926,736,ebe21add78358c410825a92a96abb9b2536b652e476dd84ee56242154b14674b,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,full_llrd_ema,full_llrd_ema,0,0.7040630719841202,5,0.0001,0.7101507680784005,2926,736,72f5b4d265647ec562241f5dbc2113e76f6071c30aaed0d0acdb42f7a7a4d88d,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,11,selected_surgical,full_llrd,0,0.6624225787902079,9,0.0001,0.6838618503838733,2926,736,ebe21add78358c410825a92a96abb9b2536b652e476dd84ee56242154b14674b,0.6717448273183942,0.6797306429212311,0.667925598395022,0.6717448273183942,0.6797306429212311,lora
aptos2019,12,emb,emb,0,0.6853821353065539,0,1e-05,0.6699222684021361,2929,733,88f2f3284d4b5310a42abfac9a65f56d39ed88f63542c4bf0a702dd86c2c9f0f,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,emb_ema,emb_ema,0,0.6853821353065539,0,1e-05,0.6699222684021361,2929,733,88f2f3284d4b5310a42abfac9a65f56d39ed88f63542c4bf0a702dd86c2c9f0f,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,first2,first2,0,0.6853821353065539,0,1e-05,0.6699222684021361,2929,733,88f2f3284d4b5310a42abfac9a65f56d39ed88f63542c4bf0a702dd86c2c9f0f,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,first2_ema,first2_ema,0,0.6926611463471929,5,1e-05,0.6708260417658599,2929,733,2e3d33a9348ff43d2ced92ab46a21cd6573b24d309a69596496cf75614467b29,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,full_llrd,full_llrd,0,0.6048608762038995,17,1e-05,0.6712286124223458,2929,733,b7035a19a350facd7adc7365b74b95bf8c5c7c08079d09f250a772e0ba1028d5,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,full_llrd_ema,full_llrd_ema,0,0.7110707070707072,4,0.0001,0.690173504643397,2929,733,7742a3911c856d557f692f432b4fe017e5d0df08dc1776d2b654d719a328662e,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,12,selected_surgical,full_llrd,0,0.6048608762038995,17,1e-05,0.6712286124223458,2929,733,b7035a19a350facd7adc7365b74b95bf8c5c7c08079d09f250a772e0ba1028d5,0.6853821353065539,0.709642882311487,0.6389271200375851,0.6173075522668545,0.709642882311487,lora
aptos2019,13,emb,emb,0,0.693222182205746,1,1e-05,0.6761794779571756,2923,739,f2d413b7546589681209539c4bba1e6e863343f9ee71efc8f2b23967dc306220,0.7149998789653068,0.7023433866986196,0.6958895003250156,0.6925276526901918,0.6958895003250156,last2
aptos2019,13,emb_ema,emb_ema,0,0.6977175746966812,20,1e-05,0.6728857781363836,2923,739,25c08d0a44217541176b5ea04eb559eb4ede5b8238b7c103c003cf0d192f217b,0.7149998789653068,0.7023433866986196,0.6958895003250156,0.6925276526901918,0.6958895003250156,last2
