condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
seed,4,B0d,12,0.6240711326378728,0.7203874929421893,0.24316939890710382,0.001,0.1,90,"[0.9806094182825484, 0.5945945945945946, 0.815, 0.2894736842105263, 0.4406779661016949]"
seed,4,B0d,13,0.6160775712094084,0.6985485654090567,0.26639344262295084,0.001,3.0,220,"[0.9778393351800554, 0.581081081081081, 0.765, 0.3157894736842105, 0.4406779661016949]"
seed,4,B0d,14,0.6377489131249717,0.729011126131738,0.23633879781420766,0.001,3.0,260,"[0.9916897506925207, 0.44594594594594594, 0.8241206030150754, 0.38461538461538464, 0.5423728813559322]"
seed,4,B1d,0,0.7030815207830091,0.7179536322069959,0.25102319236016374,0.01,10.0,30,"[0.9861495844875346, 0.7432432432432432, 0.62, 0.5897435897435898, 0.576271186440678]"
seed,4,B1d,1,0.6945637207776275,0.7224679210270809,0.24556616643929058,0.01,3.0,50,"[0.9778393351800554, 0.7567567567567568, 0.65, 0.41025641025641024, 0.6779661016949152]"
seed,4,B1d,2,0.7123015558400787,0.7130755606696026,0.2581967213114754,0.01,10.0,280,"[0.9667590027700831, 0.7162162162162162, 0.635, 0.6842105263157895, 0.559322033898305]"
seed,4,B1d,3,0.6458037644198497,0.6434505873238047,0.3251366120218579,0.01,10.0,30,"[0.961218836565097, 0.6621621621621622, 0.52, 0.5263157894736842, 0.559322033898305]"
seed,4,B1d,4,0.6468968319768638,0.6436487834493407,0.3333333333333333,0.01,10.0,20,"[0.96398891966759, 0.5, 0.5527638190954773, 0.6923076923076923, 0.5254237288135594]"
seed,4,B1d,5,0.6223924130496271,0.643037695801851,0.32060027285129605,0.001,1.0,90,"[0.9722991689750693, 0.6891891891891891, 0.54, 0.4358974358974359, 0.4745762711864407]"
seed,4,B1d,6,0.6938392105642212,0.7074865775750355,0.25375170532060026,0.001,1.0,140,"[0.9722991689750693, 0.6756756756756757, 0.63, 0.5641025641025641, 0.6271186440677966]"
seed,4,B1d,7,0.6583113659694719,0.6605438868836219,0.31420765027322406,0.01,10.0,320,"[0.9722991689750693, 0.6216216216216216, 0.55, 0.6052631578947368, 0.5423728813559322]"
seed,4,B1d,8,0.680798151924402,0.6745680000811463,0.2896174863387978,0.001,10.0,40,"[0.9501385041551247, 0.7162162162162162, 0.59, 0.6052631578947368, 0.5423728813559322]"
seed,4,B1d,9,0.658452110734203,0.6842677136844215,0.296448087431694,0.01,10.0,290,"[0.9806094182825484, 0.6351351351351351, 0.6130653266331658, 0.48717948717948717, 0.576271186440678]"
seed,4,B1d,10,0.6388176064083384,0.6600736833822802,0.32060027285129605,0.001,3.0,40,"[0.9695290858725761, 0.6621621621621622, 0.575, 0.5128205128205128, 0.4745762711864407]"
seed,4,B1d,11,0.6798739398584461,0.6692851597072189,0.3015006821282401,0.001,10.0,90,"[0.961218836565097, 0.6621621621621622, 0.55, 0.6666666666666666, 0.559322033898305]"
