arm,base_arm,dataset,fold,lr,wd,epoch,score,n_inner_valid,inner_best,inner_epoch,n_tied,grid_edge_lr,grid_edge_wd,grid_edge_epoch
A4_sel,A4,oral_diseases,9,0.001,10.0,80,0.757067384840494,3,"[0.7428908999497235, 0.7720737595737596, 0.7562374949979992]","[30, 130, 80]",1,False,True,False
A4_sel,A4,oral_diseases,10,0.01,3.0,40,0.7387308205941747,3,"[0.7324500551208626, 0.7544907059813892, 0.7292517006802722]","[30, 50, 40]",1,True,False,False
A4_sel,A4,oral_diseases,11,0.001,3.0,50,0.7762196974905852,3,"[0.7191016105823407, 0.7993348450491308, 0.810222636840284]","[20, 50, 60]",1,False,False,False
A4_sel,A4,oral_diseases,12,0.001,10.0,70,0.7427483800294663,3,"[0.735652838210383, 0.7114822082679224, 0.7811100936100936]","[30, 120, 70]",1,False,True,False
A4_sel,A4,oral_diseases,13,0.001,0.1,100,0.7513671410711806,3,"[0.762797426662973, 0.7511189518542459, 0.7401850446963228]","[20, 120, 100]",3,False,False,False
A4_sel,A4,oral_diseases,14,0.001,0.1,30,0.7336744715655703,3,"[0.7159498207885305, 0.7250588592693857, 0.7600147346387949]","[10, 30, 70]",3,False,False,False
A5_sel,A5,oral_diseases,0,0.001,0.1,120,0.7710507386684243,3,"[0.7404741290455578, 0.7790859933717077, 0.7935920935880072]","[280, 120, 30]",3,False,False,False
A5_sel,A5,oral_diseases,1,0.001,10.0,40,0.7839746383796727,3,"[0.7478021978021978, 0.7636645962732919, 0.8404571210635285]","[30, 90, 40]",1,False,True,False
A5_sel,A5,oral_diseases,2,0.01,3.0,140,0.7725470890172993,3,"[0.7859578413305123, 0.7554517209182523, 0.7762317048031334]","[340, 10, 140]",1,True,False,False
A5_sel,A5,oral_diseases,3,0.01,3.0,230,0.7618787281544454,3,"[0.7813169421056151, 0.7384541648827364, 0.7658650774749846]","[230, 310, 140]",1,True,False,False
A5_sel,A5,oral_diseases,4,0.001,10.0,120,0.7454184442392648,3,"[0.7921221532091096, 0.7538084129973059, 0.690324766511379]","[300, 120, 20]",1,False,True,False
A5_sel,A5,oral_diseases,5,0.001,10.0,40,0.761258019313452,3,"[0.8279157684420843, 0.7597547954690811, 0.6961034940291907]","[40, 360, 30]",1,False,True,False
A5_sel,A5,oral_diseases,6,0.01,3.0,120,0.761272656506946,3,"[0.7719735621521336, 0.7341054796297763, 0.7777389277389278]","[120, 210, 50]",1,True,False,False
A5_sel,A5,oral_diseases,7,0.001,3.0,30,0.7568730738333133,3,"[0.7884353741496598, 0.7179435059047774, 0.7642403414455027]","[20, 30, 400]",1,False,False,False
A5_sel,A5,oral_diseases,8,0.001,3.0,370,0.7562737322331161,3,"[0.7889106971459913, 0.7401334776334777, 0.7397770219198792]","[70, 370, 390]",1,False,False,False
A5_sel,A5,oral_diseases,9,0.001,10.0,220,0.7621226187962883,3,"[0.7229570375158609, 0.808008658008658, 0.7554021608643458]","[20, 220, 360]",1,False,True,False
A5_sel,A5,oral_diseases,10,0.01,1.0,280,0.7348359714819342,3,"[0.7367400715226803, 0.7348633767888426, 0.7329044661342797]","[330, 280, 80]",1,True,False,False
A5_sel,A5,oral_diseases,11,0.001,3.0,40,0.781697042033418,3,"[0.7551459133609236, 0.7783597883597884, 0.8115854243795421]","[340, 40, 40]",1,False,False,False
A5_sel,A5,oral_diseases,12,0.01,10.0,230,0.7416930843033024,3,"[0.758232779277719, 0.698826530612245, 0.7680199430199431]","[80, 250, 230]",1,True,True,False
A5_sel,A5,oral_diseases,13,0.001,0.1,380,0.7680452285604873,3,"[0.7604734201372857, 0.7687980320333262, 0.7748642335108499]","[20, 390, 380]",3,False,False,False
A5_sel,A5,oral_diseases,14,0.01,10.0,240,0.7398110948438381,3,"[0.7548643113159242, 0.7323251310093416, 0.7322438422062483]","[240, 360, 50]",1,True,True,False
A5s_sel,A5s,oral_diseases,0,0.01,1.0,140,0.7671454728583965,3,"[0.7404741290455578, 0.7877783592069306, 0.7731839303227012]","[130, 250, 140]",1,True,False,False
A5s_sel,A5s,oral_diseases,1,0.01,10.0,220,0.7763831960056216,3,"[0.7454212454212454, 0.757116977225673, 0.8266113653699465]","[220, 30, 280]",1,True,True,False
A5s_sel,A5s,oral_diseases,2,0.001,10.0,30,0.7699084729319927,3,"[0.7773731030873888, 0.7766284099846835, 0.7557239057239057]","[230, 30, 30]",1,False,True,False
A5s_sel,A5s,oral_diseases,3,0.01,1.0,110,0.760977463635732,3,"[0.7895848354698574, 0.722059607059607, 0.7712879483777317]","[110, 40, 200]",1,True,False,False
A5s_sel,A5s,oral_diseases,4,0.001,10.0,20,0.7426891399571657,3,"[0.7921221532091096, 0.7535570080875159, 0.6823882585748711]","[270, 20, 20]",1,False,True,False
A5s_sel,A5s,oral_diseases,5,0.001,1.0,40,0.7587387132227175,3,"[0.8187674167937325, 0.7556309431309431, 0.7018177797434764]","[40, 70, 20]",1,False,False,False
A5s_sel,A5s,oral_diseases,6,0.01,1.0,110,0.7556509170563488,3,"[0.7526283240568955, 0.7184647312524551, 0.7958596958596958]","[100, 110, 200]",1,True,False,False
A5s_sel,A5s,oral_diseases,7,0.001,0.1,30,0.7596246313979905,3,"[0.7869923727066583, 0.7351599770342919, 0.7567215444530214]","[20, 30, 250]",1,False,False,False
A5s_sel,A5s,oral_diseases,8,0.01,10.0,320,0.75144124368214,3,"[0.7745549548490727, 0.7246572871572872, 0.7551114890400604]","[190, 320, 340]",1,True,True,False
A5s_sel,A5s,oral_diseases,9,0.01,10.0,230,0.7610054767827877,3,"[0.7063553113553114, 0.8068181818181818, 0.76984293717487]","[160, 230, 280]",1,True,True,False
A5s_sel,A5s,oral_diseases,10,0.01,1.0,270,0.7300807405155231,3,"[0.7263733161248689, 0.7292637590153117, 0.7346051464063886]","[330, 270, 240]",1,True,False,False
A5s_sel,A5s,oral_diseases,11,0.001,3.0,70,0.780815706593259,3,"[0.7551459133609236, 0.7783597883597884, 0.8089414180590652]","[370, 40, 70]",1,False,False,False
A5s_sel,A5s,oral_diseases,12,0.001,1.0,360,0.7282614153394205,3,"[0.7179566688335413, 0.6953074306645736, 0.7715201465201466]","[360, 380, 10]",1,False,False,False
A5s_sel,A5s,oral_diseases,13,0.01,1.0,200,0.7627846845468104,3,"[0.7457429125496352, 0.7744807752160694, 0.7681303658747268]","[200, 390, 190]",1,True,False,False
A5s_sel,A5s,oral_diseases,14,0.01,0.1,160,0.7307441675741458,3,"[0.714541730670763, 0.7328662565504672, 0.7448245155012072]","[100, 320, 160]",1,True,False,False
A0d_sel,A0d,oral_diseases,0,0.001,0.1,30,0.6635303242296269,3,"[0.6336714079571222, 0.694107215535787, 0.6628123491959713]","[30, 140, 20]",3,False,False,False
A0d_sel,A0d,oral_diseases,1,0.01,1.0,70,0.7028715881118627,3,"[0.700382226469183, 0.6515786749482402, 0.7566538629181648]","[70, 20, 150]",1,True,False,False
A0d_sel,A0d,oral_diseases,2,0.01,3.0,80,0.6512135371523954,3,"[0.6446755625327054, 0.652523078196796, 0.6564419707276851]","[30, 130, 80]",1,True,False,False
A0d_sel,A0d,oral_diseases,3,0.01,10.0,30,0.6788282982176438,3,"[0.677746941859251, 0.6882850482850483, 0.6704529045086319]","[40, 10, 30]",1,True,True,False
