arm,base_arm,recipe,dataset,fold,bacc,mcc,macro_mae,per_class_recall,n_train,n_test,lr,wd,epoch,train_ce_best,train_ce_best_epoch,train_loss_final,grad_norm_final,w_norm,count_mode,seconds
A2_200,A2,200,oral_diseases,1,0.8041771094402673,0.744742085454948,0.4077669902912621,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 1.0, 0.47368421052631576, 0.8333333333333334]",413,103,0.01,0.0001,200,0.0019858754239976406,200,0.0019858754239976406,0.0020335116423666477,7.523448944091797,train,0.17849349975585938
A2_200,A2,200,oral_diseases,2,0.7227111338953444,0.6814055602304473,0.47572815533980584,"[0.9375, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.631578947368421, 0.6666666666666666]",413,103,0.01,0.0001,200,0.00288279983215034,200,0.00288279983215034,0.0023248177021741867,7.642430305480957,train,0.1621723175048828
A2_200,A2,200,oral_diseases,3,0.7454878454878455,0.6953496121069672,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",413,103,0.01,0.0001,200,0.002830223646014929,200,0.002830223646014929,0.0023231180384755135,7.62336540222168,train,0.16756391525268555
A2_200,A2,200,oral_diseases,4,0.7565548486601118,0.726830701474835,0.4854368932038835,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5, 0.7894736842105263, 0.9230769230769231]",413,103,0.01,0.0001,200,0.0029492478352040052,200,0.0029492478352040052,0.002361620543524623,7.792013645172119,train,0.17435526847839355
A2_200,A2,200,oral_diseases,5,0.7423967845020477,0.7072933638379626,0.3942307692307692,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",412,104,0.01,0.0001,200,0.0016914422158151865,200,0.0016914422158151865,0.0018321238458156586,7.534834861755371,train,0.1743471622467041
A2_200,A2,200,oral_diseases,6,0.7286426293005241,0.692715035204276,0.44660194174757284,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.6666666666666666]",413,103,0.01,0.0001,200,0.0020434402395039797,200,0.0020434402395039797,0.002047597896307707,7.723219871520996,train,0.17877459526062012
A2_200,A2,200,oral_diseases,7,0.7395192526771474,0.6937053621433955,0.4563106796116505,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",413,103,0.01,0.0001,200,0.0028844631742686033,200,0.0028844631742686033,0.00238230568356812,7.579616069793701,train,0.18789219856262207
A2_200,A2,200,oral_diseases,8,0.7984459984459985,0.7533974192486541,0.4563106796116505,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",413,103,0.01,0.0001,200,0.0026349760591983795,200,0.0026349760591983795,0.0021778144873678684,7.561029434204102,train,0.1842501163482666
A2_200,A2,200,oral_diseases,9,0.6992111689480112,0.6472477611964466,0.4854368932038835,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5263157894736842, 0.6153846153846154]",413,103,0.01,0.0001,200,0.003055962035432458,200,0.003055962035432458,0.0024462842848151922,7.602400779724121,train,0.18772220611572266
A2_200,A2,200,oral_diseases,10,0.8059013355065987,0.7653570833654408,0.3173076923076923,"[0.9375, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.8461538461538461]",412,104,0.01,0.0001,200,0.002119216835126281,200,0.002119216835126281,0.002104762941598892,7.659908771514893,train,0.18989801406860352
A2_200,A2,200,oral_diseases,11,0.6992319814688236,0.649845080105653,0.5533980582524272,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.5263157894736842, 0.5833333333333334]",413,103,0.01,0.0001,200,0.0019032360287383199,200,0.0019032360287383199,0.001952979015186429,7.543603897094727,train,0.19452834129333496
A2_200,A2,200,oral_diseases,12,0.7805213792055898,0.7276651949268081,0.3786407766990291,"[0.875, 1.0, 0.8333333333333334, 0.5555555555555556, 0.8181818181818182, 0.631578947368421, 0.75]",413,103,0.01,0.0001,200,0.0029424091335386038,200,0.0029424091335386038,0.002389737172052264,7.645211219787598,train,0.20909380912780762
A2_200,A2,200,oral_diseases,13,0.7233433233433233,0.6825697712960499,0.49514563106796117,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",413,103,0.01,0.0001,200,0.0026632980443537235,200,0.0026632980443537235,0.0022383343894034624,7.513062477111816,train,0.17911219596862793
A2_200,A2,200,oral_diseases,14,0.7705730672835935,0.71624945028322,0.44660194174757284,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.5789473684210527, 0.7692307692307693]",413,103,0.01,0.0001,200,0.002455902984365821,200,0.002455902984365821,0.002106084953993559,7.581035614013672,train,0.1914832592010498
A2_sel,A2,sel,oral_diseases,0,0.6897173732700048,0.6664669078740209,0.5288461538461539,"[0.8125, 0.9333333333333333, 0.5833333333333334, 0.6111111111111112, 0.45454545454545453, 0.8947368421052632, 0.5384615384615384]",412,104,0.001,10.0,30,0.39774176478385925,30,0.39774176478385925,0.3954724073410034,1.57674241065979,train,13.097444295883179
A2_sel,A2,sel,oral_diseases,1,0.7698032961190855,0.7115945110703733,0.49514563106796117,"[1.0, 1.0, 0.75, 0.6111111111111112, 0.9090909090909091, 0.3684210526315789, 0.75]",413,103,0.01,10.0,10,0.25284767150878906,10,0.25284767150878906,0.4012574553489685,2.1967973709106445,train,13.031417608261108
A2_sel,A2,sel,oral_diseases,2,0.7404780891622996,0.7036342227569717,0.4563106796116505,"[0.875, 1.0, 0.75, 0.7222222222222222, 0.45454545454545453, 0.631578947368421, 0.75]",413,103,0.001,10.0,210,0.14516301453113556,210,0.14516301453113556,0.1611367166042328,2.087418556213379,train,13.399057149887085
