dataset,arm,wave,fold,bacc_regen,bacc_archived,abs_diff,match
oral_diseases,A0,w1,9,0.7071476768845191,0.7071476768845191,0.0,True
oral_diseases,A0,w1,10,0.8059013355065987,0.8059013355065987,0.0,True
oral_diseases,A0,w1,11,0.6732579554947976,0.6732579554947976,0.0,True
oral_diseases,A0,w1,12,0.743724842409053,0.743724842409053,0.0,True
oral_diseases,A0,w1,13,0.7233433233433233,0.7233433233433233,0.0,True
oral_diseases,A0,w1,14,0.7780918642760748,0.7780918642760748,0.0,True
oral_diseases,A1,w1,0,0.7031429827482459,0.7031429827482459,0.0,True
oral_diseases,A1,w1,1,0.7644945697577278,0.7644945697577278,0.0,True
oral_diseases,A1,w1,2,0.6589485076327181,0.6589485076327181,0.0,True
oral_diseases,A1,w1,3,0.7664113664113665,0.7664113664113665,0.0,True
oral_diseases,A1,w1,4,0.7556294582610371,0.7556294582610371,0.0,True
oral_diseases,A1,w1,5,0.7718132744448534,0.7718132744448534,0.0,True
oral_diseases,A1,w1,6,0.779066985645933,0.779066985645933,0.0,True
oral_diseases,A1,w1,7,0.6946960203539151,0.6946960203539151,0.0,True
oral_diseases,A1,w1,8,0.7953934953934952,0.7953934953934952,0.0,True
oral_diseases,A1,w1,9,0.7065452091767881,0.7065452091767881,0.0,True
oral_diseases,A1,w1,10,0.7770413066465698,0.7770413066465698,0.0,True
oral_diseases,A1,w1,11,0.6916894508999772,0.6916894508999772,0.0,True
oral_diseases,A1,w1,12,0.7538685729475203,0.7538685729475203,0.0,True
oral_diseases,A1,w1,13,0.7251748251748252,0.7251748251748252,0.0,True
oral_diseases,A1,w1,14,0.7546446243814665,0.7546446243814665,0.0,True
oral_diseases,A2,w1,0,0.6886837577627052,0.6886837577627052,0.0,True
oral_diseases,A2,w1,1,0.8041771094402673,0.8041771094402673,0.0,True
oral_diseases,A2,w1,2,0.7227111338953444,0.7227111338953444,0.0,True
oral_diseases,A2,w1,3,0.7454878454878455,0.7454878454878455,0.0,True
oral_diseases,A2,w1,4,0.7565548486601118,0.7565548486601118,0.0,True
oral_diseases,A2,w1,5,0.7423967845020477,0.7423967845020477,0.0,True
oral_diseases,A2,w1,6,0.7286426293005241,0.7286426293005241,0.0,True
oral_diseases,A2,w1,7,0.7395192526771474,0.7395192526771474,0.0,True
oral_diseases,A2,w1,8,0.7984459984459985,0.7984459984459985,0.0,True
oral_diseases,A2,w1,9,0.6992111689480112,0.6992111689480112,0.0,True
oral_diseases,A2,w1,10,0.8059013355065987,0.8059013355065987,0.0,True
oral_diseases,A2,w1,11,0.6992319814688236,0.6992319814688236,0.0,True
oral_diseases,A2,w1,12,0.7805213792055898,0.7805213792055898,0.0,True
oral_diseases,A2,w1,13,0.7233433233433233,0.7233433233433233,0.0,True
oral_diseases,A2,w1,14,0.7705730672835935,0.7705730672835935,0.0,True
oral_diseases,A3,w1,0,0.6517998814051447,0.6517998814051447,0.0,True
oral_diseases,A3,w1,1,0.7922723475355055,0.7922723475355055,0.0,True
oral_diseases,A3,w1,2,0.6802897395002657,0.6802897395002657,0.0,True
oral_diseases,A3,w1,3,0.7543678543678544,0.7543678543678544,0.0,True
oral_diseases,A3,w1,4,0.728050093181672,0.728050093181672,0.0,True
oral_diseases,A3,w1,5,0.7195614327193275,0.7195614327193275,0.0,True
oral_diseases,A3,w1,6,0.7452703729019517,0.7452703729019517,0.0,True
oral_diseases,A3,w1,7,0.6755790992633097,0.6755790992633097,0.0,True
oral_diseases,A3,w1,8,0.7604728604728604,0.7604728604728604,0.0,True
oral_diseases,A3,w1,9,0.7284123770965876,0.7284123770965876,0.0,True
oral_diseases,A3,w1,10,0.7769649940702573,0.7769649940702573,0.0,True
oral_diseases,A3,w1,11,0.6805394167236273,0.6805394167236273,0.0,True
oral_diseases,A3,w1,12,0.792165071770335,0.792165071770335,0.0,True
oral_diseases,A3,w1,13,0.7031968031968032,0.7031968031968032,0.0,True
oral_diseases,A3,w1,14,0.8108299595141701,0.8108299595141701,0.0,True
oral_diseases,A4,w1,0,0.6866956143271932,0.6866956143271932,0.0,True
oral_diseases,A4,w1,1,0.7688805346700083,0.7688805346700083,0.0,True
oral_diseases,A4,w1,2,0.6679672666514771,0.6679672666514771,0.0,True
oral_diseases,A4,w1,3,0.7584748584748586,0.7584748584748586,0.0,True
oral_diseases,A4,w1,4,0.763565966197545,0.763565966197545,0.0,True
oral_diseases,A4,w1,5,0.7718132744448534,0.7718132744448534,0.0,True
oral_diseases,A4,w1,6,0.7671622237411712,0.7671622237411712,0.0,True
