axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,0.95,0.6859573143263928,0.5,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.0,0.685666455600631,0.5263157894736842,2,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,1.05,0.6835584223596337,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.1,0.6795584223596338,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.15,0.6785584223596336,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.2,0.6775584223596336,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.25,0.6760044057391351,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.3,0.6767071084418378,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.35,0.6737071084418378,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.4,0.6727071084418377,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.45,0.6717071084418377,0.5263157894736842,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.5,0.6759702663365748,0.5526315789473685,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.55,0.6756729690392774,0.5526315789473685,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.6,0.6894624427234879,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.65,0.6930009593141666,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.7,0.6867442399909652,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.75,0.6871340704994398,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.8,0.6855800538789412,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.85,0.6830260372584427,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.9,0.6820260372584425,0.631578947368421,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.95,0.6814784592094795,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.0,0.6814784592094795,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.05,0.6841811619121821,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.1,0.6836271452916836,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.15,0.6815191120506864,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.2,0.6749650954301878,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.25,0.6719650954301877,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.3,0.6745036120208664,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.35,0.6723955787798692,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.4,0.6678415621593705,0.6578947368421053,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.45,0.6711047200541074,0.6842105263157895,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.5,0.6737058280873484,0.7105263157894737,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.55,0.6707058280873482,0.7105263157894737,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.6,0.672860952741088,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.65,0.6703069361205893,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.7,0.6671989028795922,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.75,0.6610908696385949,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.8,0.6582957085918257,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.85,0.6537416919713273,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.9,0.6501876753508287,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.95,0.64863365873033,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,3.0,0.6482283281920355,0.7368421052631579,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,0.0,0.669678888616773,0.39473684210526316,2,B0,panderm,False,False,aptos2019,탐색적/exploratory
offset,2.6972412168979645,0.7073331573744739,0.7894736842105263,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,3.203862190246581,0.7049156260349744,0.8421052631578947,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,4.034777879714967,0.6670290649351637,0.868421052631579,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,5.5430346429348,0.5942080848866145,0.8947368421052632,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,6.32344150543213,0.5614797129163531,0.9210526315789473,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,8.237883687019348,0.4819318506261555,0.9473684210526315,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,9.090972423553467,0.440769621210487,0.9736842105263158,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
offset,9.618514060974121,0.4325738437155405,1.0,2,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,0.0,0.6579334418694952,0.3684210526315789,3,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.05,0.6718495881674434,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.1,0.6779421213786208,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.15,0.681034654589798,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.2,0.678034654589798,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.25,0.6757373572925006,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.3,0.6757373572925006,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.35,0.6737373572925007,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
