bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,epochs
0.6627873992372796,0.7164563438964218,0.24965893587994542,0.4364871259641906,"[0.9806094182825484, 0.6081081081081081, 0.73, 0.4358974358974359, 0.559322033898305]",B0_ce,aptos2019,6,,500
0.642926040176991,0.7014780332454078,0.2814207650273224,0.5104424519359492,"[0.9806094182825484, 0.527027027027027, 0.74, 0.5263157894736842, 0.4406779661016949]",B0_ce,aptos2019,7,,500
0.612709829036511,0.6792338112781602,0.28688524590163933,0.5166014024259482,"[0.9695290858725761, 0.6351351351351351, 0.71, 0.34210526315789475, 0.4067796610169492]",B0_ce,aptos2019,8,,500
0.586380641818661,0.6707547679484479,0.30601092896174864,0.5837252924626266,"[0.9695290858725761, 0.527027027027027, 0.7386934673366834, 0.20512820512820512, 0.4915254237288136]",B0_ce,aptos2019,9,,500
0.6464542648663031,0.7312810060013931,0.23601637107776263,0.457671191750679,"[0.9889196675900277, 0.5945945945945946, 0.79, 0.3333333333333333, 0.5254237288135594]",B0_ce,aptos2019,10,,500
0.6053808706299904,0.6752825003936952,0.3015006821282401,0.552464370722411,"[0.9750692520775623, 0.581081081081081, 0.705, 0.358974358974359, 0.4067796610169492]",B0_ce,aptos2019,11,,500
0.6186505368225637,0.6944383726735216,0.2691256830601093,0.5050736717749723,"[0.9833795013850416, 0.6216216216216216, 0.73, 0.3684210526315789, 0.3898305084745763]",B0_ce,aptos2019,12,,500
0.6603638503520657,0.734697720664342,0.24180327868852458,0.4656158695434248,"[0.9778393351800554, 0.6351351351351351, 0.795, 0.3684210526315789, 0.5254237288135594]",B0_ce,aptos2019,13,,500
0.6673970789895737,0.7217237586014381,0.24863387978142076,0.4480968541751823,"[0.9778393351800554, 0.5675675675675675, 0.7537688442211056, 0.46153846153846156, 0.576271186440678]",B0_ce,aptos2019,14,,500
0.6845302835185928,0.734986990667542,0.21828103683492497,0.40012901783167987,"[0.9889196675900277, 0.6081081081081081, 0.76, 0.7435897435897436, 0.3220338983050847]",B6s05,aptos2019,0,0.5,1000
0.6413524642390787,0.7409530468194766,0.2305593451568895,0.45875282049069543,"[0.9889196675900277, 0.6351351351351351, 0.81, 0.1794871794871795, 0.5932203389830508]",B6s05,aptos2019,1,0.5,1000
0.6774352088602054,0.6951966075411057,0.26639344262295084,0.4255214646544756,"[0.9916897506925207, 0.6486486486486487, 0.605, 0.6842105263157895, 0.4576271186440678]",B6s05,aptos2019,2,0.5,1000
0.6092112610286234,0.7139745501590015,0.27595628415300544,0.5436941082121607,"[0.9750692520775623, 0.6351351351351351, 0.79, 0.05263157894736842, 0.5932203389830508]",B6s05,aptos2019,3,0.5,1000
0.5934338180700279,0.7219983637311348,0.23224043715846995,0.5174042913371982,"[0.9889196675900277, 0.35135135135135137, 0.8793969849246231, 0.20512820512820512, 0.5423728813559322]",B6s05,aptos2019,4,0.5,1000
0.5890637061198121,0.7361207460022943,0.2291950886766712,0.5245750562633985,"[0.9889196675900277, 0.5405405405405406, 0.89, 0.05128205128205128, 0.4745762711864407]",B6s05,aptos2019,5,0.5,1000
0.6303717933913718,0.7165536872294717,0.23601637107776263,0.4483578188806134,"[0.9944598337950139, 0.4864864864864865, 0.77, 0.3076923076923077, 0.5932203389830508]",B6s05,aptos2019,6,0.5,1000
0.6632085785019726,0.7072150480906586,0.2609289617486339,0.4672171996401303,"[0.9889196675900277, 0.6486486486486487, 0.67, 0.5, 0.5084745762711864]",B6s05,aptos2019,7,0.5,1000
0.6047947131130379,0.7291005123249016,0.23633879781420766,0.5090955380470851,"[0.9833795013850416, 0.5405405405405406, 0.86, 0.13157894736842105, 0.5084745762711864]",B6s05,aptos2019,8,0.5,1000
0.6049040308284319,0.686097774498748,0.2896174863387978,0.553375473543665,"[0.9529085872576177, 0.7027027027027027, 0.7487437185929648, 0.1794871794871795, 0.4406779661016949]",B6s05,aptos2019,9,0.5,1000
0.6324438162353089,0.7511852832443168,0.208731241473397,0.45168647157163055,"[0.9750692520775623, 0.6081081081081081, 0.875, 0.07692307692307693, 0.6271186440677966]",B6s05,aptos2019,10,0.5,1000
0.5982123788294031,0.6628242222871147,0.2837653478854025,0.5074928059083653,"[0.9141274238227147, 0.4594594594594595, 0.81, 0.28205128205128205, 0.5254237288135594]",B6s05,aptos2019,11,0.5,1000
0.6045946060150014,0.6980715646442254,0.2691256830601093,0.5320631802279767,"[0.9750692520775623, 0.6486486486486487, 0.765, 0.21052631578947367, 0.423728813559322]",B6s05,aptos2019,12,0.5,1000
0.5695884567604367,0.7117432320369601,0.25,0.5541867909037729,"[0.9778393351800554, 0.44594594594594594, 0.88, 0.05263157894736842, 0.4915254237288136]",B6s05,aptos2019,13,0.5,1000
0.6696129627751444,0.7078297827398242,0.25136612021857924,0.44406641378103695,"[0.9861495844875346, 0.5675675675675675, 0.7035175879396985, 0.717948717948718, 0.3728813559322034]",B6s05,aptos2019,14,0.5,1000
