bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6616604362003208,0.6953957464008886,0.27694406548431105,"[0.9695290858725761, 0.7702702702702703, 0.625, 0.3333333333333333, 0.6101694915254238]",2929,733,11,B1,aptos2019,panderm,rebalance,ce,2,1,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.682982627023474,0.7024619236198802,0.3005464480874317,"[0.9778393351800554, 0.7027027027027027, 0.63, 0.5789473684210527, 0.5254237288135594]",2930,732,12,B1,aptos2019,panderm,rebalance,ce,2,2,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.5993365492190903,0.6608700089463923,0.29918032786885246,"[0.9750692520775623, 0.5540540540540541, 0.6683417085427136, 0.3076923076923077, 0.4915254237288136]",2930,732,13,B1,aptos2019,panderm,rebalance,ce,2,3,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6580286106567621,0.6790483910371905,0.2827868852459016,"[0.96398891966759, 0.6621621621621622, 0.635, 0.6052631578947368, 0.423728813559322]",2930,732,14,B1,aptos2019,panderm,rebalance,ce,2,4,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6516584856859517,0.7141203113509774,0.24010914051841747,"[0.9778393351800554, 0.581081081081081, 0.755, 0.4358974358974359, 0.5084745762711864]",14645,733,0,B2,aptos2019,panderm,aug,ce,0,0,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6439427951826187,0.7215803729809178,0.24043715846994534,"[0.9833795013850416, 0.5405405405405406, 0.785, 0.3684210526315789, 0.5423728813559322]",14650,732,1,B2,aptos2019,panderm,aug,ce,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6360495524615906,0.7324346175787884,0.23874488403819918,"[0.9889196675900277, 0.6351351351351351, 0.8, 0.23076923076923078, 0.5254237288135594]",14645,733,2,B2,aptos2019,panderm,aug,ce,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6810511278920593,0.7523748087034217,0.22814207650273224,"[0.9667590027700831, 0.7027027027027027, 0.825, 0.3684210526315789, 0.5423728813559322]",14650,732,3,B2,aptos2019,panderm,aug,ce,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6513908102799317,0.7427390447481833,0.23224043715846995,"[0.9861495844875346, 0.6081081081081081, 0.8291457286432161, 0.358974358974359, 0.4745762711864407]",14650,732,4,B2,aptos2019,panderm,aug,ce,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6464187412518789,0.7227052927558836,0.25375170532060026,"[0.9944598337950139, 0.6486486486486487, 0.755, 0.41025641025641024, 0.423728813559322]",14645,733,5,B2,aptos2019,panderm,aug,ce,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6728639581951944,0.756085487800997,0.2100954979536153,"[0.9806094182825484, 0.581081081081081, 0.85, 0.41025641025641024, 0.5423728813559322]",14645,733,6,B2,aptos2019,panderm,aug,ce,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6456512601149907,0.7359444633709492,0.22950819672131148,"[0.9833795013850416, 0.581081081081081, 0.815, 0.2894736842105263, 0.559322033898305]",14650,732,7,B2,aptos2019,panderm,aug,ce,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6585508224588408,0.7314382540864643,0.23770491803278687,"[0.9806094182825484, 0.6351351351351351, 0.7839195979899497, 0.38461538461538464, 0.5084745762711864]",14650,732,8,B2,aptos2019,panderm,aug,ce,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6394256905856511,0.721496451133898,0.25,"[0.9806094182825484, 0.6216216216216216, 0.78, 0.2894736842105263, 0.5254237288135594]",14650,732,9,B2,aptos2019,panderm,aug,ce,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6741835357950199,0.7594485447281417,0.2155525238744884,"[0.997229916897507, 0.6486486486486487, 0.815, 0.38461538461538464, 0.5254237288135594]",14645,733,10,B2,aptos2019,panderm,aug,ce,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6524959351974235,0.7390834708649783,0.208731241473397,"[0.9861495844875346, 0.6486486486486487, 0.795, 0.2564102564102564, 0.576271186440678]",14645,733,11,B2,aptos2019,panderm,aug,ce,2,1,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6925608955121608,0.7561127862229118,0.22404371584699453,"[0.9861495844875346, 0.6486486486486487, 0.795, 0.47368421052631576, 0.559322033898305]",14650,732,12,B2,aptos2019,panderm,aug,ce,2,2,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.5911229289885801,0.6977143491237242,0.25546448087431695,"[0.9833795013850416, 0.5, 0.8090452261306532, 0.2564102564102564, 0.4067796610169492]",14650,732,13,B2,aptos2019,panderm,aug,ce,2,3,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6385429451706273,0.7153327210749293,0.24316939890710382,"[0.961218836565097, 0.581081081081081, 0.815, 0.39473684210526316, 0.4406779661016949]",14650,732,14,B2,aptos2019,panderm,aug,ce,2,4,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6638164310174732,0.6638955764349261,0.2946793997271487,"[0.9335180055401662, 0.7297297297297297, 0.575, 0.5384615384615384, 0.5423728813559322]",2929,733,0,B3,aptos2019,panderm,rebalance,coral,0,0,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.646515086991776,0.6483066997441363,0.3005464480874317,"[0.9335180055401662, 0.7162162162162162, 0.565, 0.5263157894736842, 0.4915254237288136]",2930,732,1,B3,aptos2019,panderm,rebalance,coral,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6695408803545806,0.682210268807286,0.26875852660300137,"[0.96398891966759, 0.6891891891891891, 0.605, 0.5641025641025641, 0.5254237288135594]",2929,733,2,B3,aptos2019,panderm,rebalance,coral,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6620308236778024,0.6584506483596633,0.3005464480874317,"[0.9224376731301939, 0.6486486486486487, 0.595, 0.5, 0.6440677966101694]",2930,732,3,B3,aptos2019,panderm,rebalance,coral,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
