dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
aptos2019,wstrength_effnum,0.99,4,0.6258628751639606,0.6135477796240331,0.9658703071672355,8.23063850402832,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,4,0.6377004678998472,0.6277265629138888,0.9692832764505119,8.773378372192383,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,4,0.639772900608512,0.6262801343424602,0.9662116040955632,8.888686180114746,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,5,0.6216648776322939,0.6049037210512621,0.9662000682826903,8.08788013458252,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,5,0.6216648776322939,0.6049037210512621,0.9658586548310003,8.02405834197998,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,5,0.6167210305033207,0.5995515656171395,0.9634687606691703,7.491704940795898,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,5,0.6325314573802296,0.6170001734755833,0.9590303857972005,6.556755065917969,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,5,0.6394541899991921,0.6274481741694856,0.9436667804711506,4.714404582977295,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,5,0.6333829364546769,0.6169917362540314,0.9617616934107204,8.863642692565918,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,5,0.6333829364546769,0.6169917362540314,0.9614202799590303,8.796466827392578,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,5,0.6282547313264718,0.6112774505397456,0.9597132127005804,8.233809471130371,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,5,0.6310086808431332,0.617162846261207,0.9542505974735405,7.235028266906738,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,5,0.644152151801478,0.6319838510002445,0.9347900307272107,5.2360334396362305,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,5,0.6216648776322939,0.6049037210512621,0.9662000682826903,8.08788013458252,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,5,0.6240699739709082,0.607878078205947,0.9709798566063503,8.431731224060059,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,5,0.6236441624786148,0.6075723274903602,0.9689313758962103,8.63028335571289,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,5,0.6203468651813175,0.6040452534714829,0.9679071355411403,8.762500762939453,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,5,0.6333829364546769,0.6169917362540314,0.9617616934107204,8.863642692565918,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,5,0.639803607690222,0.6245087881153454,0.9460566746329805,8.479312896728516,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,5,0.6304954763964107,0.6149336455893832,0.9689313758962103,8.226114273071289,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,5,0.6203468651813175,0.6040452534714829,0.9662000682826903,8.724647521972656,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,5,0.6282547313264718,0.6112774505397456,0.9614202799590303,8.841578483581543,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.0001,6,0.6681058110445875,0.6663083196991153,0.9624445203141003,8.00554084777832,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,6,0.6681058110445875,0.6663083196991153,0.9617616934107204,7.942763805389404,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,6,0.6691058110445876,0.6663083196991153,0.9576647319904404,7.418523788452148,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,6,0.6754956415530622,0.6734338599120383,0.9532263571184705,6.494912624359131,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,6,0.6932703965129431,0.692678733013241,0.9375213383407306,4.661865234375,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
