dataset,target_prior,method,source_prior,arm,base,metric,metric_label,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,p_nb,se_nb,mde_post,mde_floor_bacc_ref,note,exploratory,gate,holm_p_within_w11_family
aptos2019,uniform,em,train,B4,B0,rec_3,severe,15,0.43742690058479533,0.5793072424651373,0.14188034188034188,0.10204608851257947,13,0.01871694926175775,0.265043734498926,0.026946604443792762,0.057424541709624875,0.17301104062836756,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.06758274442336948
aptos2019,uniform,em,train,B4,B0,rec_4,proliferative,15,0.5401129943502825,0.6225988700564972,0.08248587570621467,0.03993811987615179,15,0.03428300570450759,0.13068874570792174,0.002521812836082587,0.022474435464024285,0.06771191116905703,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.005043625672165174
aptos2019,uniform,em,uniform,B1,B0,bacc,BACC,15,0.6055058991196111,0.643411608683938,0.037905709564327,0.01631962234459414,15,0.018208922715250545,0.05760249641340345,0.0010254631767715487,0.00918356448220892,0.027668623909598806,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.003076389530314646
aptos2019,uniform,em,uniform,B1,B0,rec_0,no_dr,15,0.9841181902123729,0.9772853185595568,-0.006832871652816282,0.0060929835373052,1,-0.0141867304293943,0.0005209871237617366,0.06614540642019624,0.003428713362500992,0.010330169805486827,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.13229081284039249
aptos2019,uniform,em,uniform,B1,B0,rec_1,mild,15,0.48648648648648646,0.6117117117117117,0.12522522522522522,0.0376950791017416,15,0.07972956836206113,0.17072088208838931,3.8449763838361e-05,0.021212205912809007,0.06390901363315854,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00011534929151508301
aptos2019,uniform,em,uniform,B1,B0,rec_2,moderate,15,0.8895711892797319,0.7544355108877722,-0.1351356783919598,0.016599598950848612,0,-0.15517037989492216,-0.11510097688899745,8.208028869824935e-10,0.009341116119296873,0.0281433020154011,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.46240866094748e-09
aptos2019,uniform,em,uniform,B1,B0,rec_3,severe,15,0.2266756635177688,0.3527215474583895,0.12604588394062077,0.056506154631968945,15,0.05784640849041081,0.19424535939083074,0.0014124307037038362,0.03179778941859211,0.09580169859797481,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.004237292111111509
aptos2019,uniform,em,uniform,B1,B0,rec_4,proliferative,15,0.4406779661016949,0.5209039548022599,0.08022598870056498,0.04505627579068223,13,0.025845817289537026,0.13460616011159293,0.0068947851866170366,0.025354582680584038,0.0763893381413019,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00716223539092056
aptos2019,uniform,em,uniform,B3,B0,bacc,BACC,15,0.6055058991196111,0.6032040413114254,-0.0023018578081856517,0.0368845873130618,6,-0.04681930061299313,0.04221558499662182,0.9132696645064782,0.02075611670642444,0.06253488915838308,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.9132696645064782
aptos2019,uniform,em,uniform,B3,B0,rec_0,no_dr,15,0.9841181902123729,0.8413665743305633,-0.14275161588180976,0.050428411777808754,0,-0.20361562712861275,-0.08188760463500676,0.0001838556366694835,0.02837765246757049,0.08549736816065232,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0005515669100084505
aptos2019,uniform,em,uniform,B3,B0,rec_1,mild,15,0.48648648648648646,0.6207207207207207,0.13423423423423425,0.07067500510299025,15,0.048933822148895065,0.21953464631957342,0.0045312325756103585,0.039771046960455685,0.11982385956690748,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0045312325756103585
aptos2019,uniform,em,uniform,B3,B0,rec_2,moderate,15,0.8895711892797319,0.557929648241206,-0.331641541038526,0.04760652602676473,0,-0.38909970863422444,-0.27418337344282756,6.26586124649513e-09,0.026789688652664956,0.08071308492707883,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.253172249299026e-08
aptos2019,uniform,em,uniform,B3,B0,rec_3,severe,15,0.2266756635177688,0.22312190733243364,-0.0035537561853351387,0.12244008071602887,6,-0.15133145108071988,0.14422393871004963,0.9595938060662577,0.06890088218462877,0.20758743512927627,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.9595938060662577
aptos2019,uniform,em,uniform,B3,B0,rec_4,proliferative,15,0.4406779661016949,0.7728813559322034,0.33220338983050846,0.06833923286783194,15,0.24972211208985243,0.4146846675711645,5.541270667881174e-07,0.03845663450136866,0.11586374320217517,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.6623812003643522e-06
aptos2019,uniform,em,uniform,B4,B0,bacc,BACC,15,0.6055058991196111,0.6494457188695133,0.04393981974990227,0.020128824936813436,14,0.01964555815909283,0.06823408134071171,0.0016688157634453897,0.011327122518834137,0.03412682445457015,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0033376315268907795
aptos2019,uniform,em,uniform,B4,B0,rec_0,no_dr,15,0.9841181902123729,0.9806094182825483,-0.0035087719298245723,0.004248607634659677,1,-0.008636581704967485,0.0016190378453183399,0.16431789846960182,0.002390825066207903,0.00720317690573202,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.16431789846960182
aptos2019,uniform,em,uniform,B4,B0,rec_1,mild,15,0.48648648648648646,0.6432432432432432,0.15675675675675674,0.06616300753995964,15,0.07690204999388203,0.23661146351963144,0.000872944199290268,0.03723200410218838,0.11217412595074484,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.001745888398580536
aptos2019,uniform,em,uniform,B4,B0,rec_2,moderate,15,0.8895711892797319,0.7417638190954775,-0.1478073701842546,0.027207759789326113,0,-0.18064547353587707,-0.11496926683263214,1.4425266395662597e-07,0.015310661678668968,0.04612859643059902,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),1.4425266395662597e-07
aptos2019,uniform,em,uniform,B4,B0,rec_3,severe,15,0.2266756635177688,0.3460188933873144,0.11934322986954561,0.07593839516325289,14,0.027690227636501072,0.21099623210259016,0.014383514459057287,0.04273292199609037,0.12874751950167107,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.028767028918114574
aptos2019,uniform,em,uniform,B4,B0,rec_4,proliferative,15,0.4406779661016949,0.5355932203389832,0.09491525423728815,0.0482806530968117,15,0.03664345646513493,0.15318705200944138,0.00358111769546028,0.027169041145403833,0.08185601384875132,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.00716223539092056
aptos2019,uniform,oracle,train,B1,B0,bacc,BACC,15,0.666426818578659,0.661294229100044,-0.005132589478615035,0.009215921364538634,5,-0.016255643364435923,0.005990464407205853,0.3391260037676604,0.005186088643910477,0.015624862930748018,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.6782520075353208
aptos2019,uniform,oracle,train,B1,B0,rec_0,no_dr,15,0.9732225300092335,0.9588180978762697,-0.014404432132964,0.009720697109222024,0,-0.026136719494883432,-0.0026721447710445663,0.019660156662126865,0.005470141822499533,0.016480670126737377,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.03932031332425373
aptos2019,uniform,oracle,train,B1,B0,rec_1,mild,15,0.6828828828828828,0.7243243243243244,0.041441441441441434,0.02865131965888161,13,0.006861049545750189,0.07602183333713268,0.02222297478481257,0.016122998193942768,0.04857603757098492,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.02222297478481257
aptos2019,uniform,oracle,train,B1,B0,rec_2,moderate,15,0.6182864321608039,0.5001892797319932,-0.11809715242881068,0.024102594203430992,0,-0.14718751068039265,-0.0890067941772287,5.041076177685477e-07,0.013563287396110894,0.040864034729413544,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),5.041076177685477e-07
aptos2019,uniform,oracle,train,B1,B0,rec_3,severe,15,0.49955015744489434,0.5479982006297796,0.048448043184885305,0.039339533348241945,13,0.0009676305416890033,0.0959284558280816,0.04608261569831381,0.022137592008877632,0.06669705523866988,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.09216523139662762
aptos2019,uniform,oracle,train,B1,B0,rec_4,proliferative,15,0.5581920903954802,0.5751412429378532,0.016949152542372874,0.021246887136542675,10,-0.008694541796760626,0.04259284688150637,0.1781809683775222,0.011956291263644891,0.03602241014023367,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.1781809683775222
aptos2019,uniform,oracle,train,B3,B0,bacc,BACC,15,0.666426818578659,0.5647218873296005,-0.10170493124905851,0.018388132415621712,0,-0.12389828334357363,-0.07951157915454339,1.1563432614320845e-07,0.010347580120455153,0.031175618495624727,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),3.4690297842962535e-07
aptos2019,uniform,oracle,train,B3,B0,rec_0,no_dr,15,0.9732225300092335,0.45558633425669437,-0.5176361957525392,0.032924004086589805,0,-0.5573734566412076,-0.47789893486387064,1.1127706394548741e-13,0.01852737202842588,0.055820034767636806,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),3.3383119183646223e-13
aptos2019,uniform,oracle,train,B3,B0,rec_1,mild,15,0.6828828828828828,0.7729729729729728,0.09009009009009007,0.04010924592599079,15,0.04168068140404146,0.13849949877613868,0.001338288348483158,0.02257073347142289,0.06800204179917538,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.002676576696966316
aptos2019,uniform,oracle,train,B3,B0,rec_2,moderate,15,0.6182864321608039,0.28530150753768846,-0.3329849246231156,0.03474107515671177,0,-0.37491527924900964,-0.2910545699972215,9.370385246035743e-11,0.019549895037161376,0.058900734491847684,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.811115573810723e-10
aptos2019,uniform,oracle,train,B3,B0,rec_3,severe,15,0.49955015744489434,0.7029689608636978,0.20341880341880345,0.0742760857528415,15,0.11377210705747125,0.29306549978013563,0.00024930950981531287,0.04179748823803208,0.125929205883446,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0007479285294459386
aptos2019,uniform,oracle,train,B3,B0,rec_4,proliferative,15,0.5581920903954802,0.6067796610169491,0.04858757062146892,0.03889698187131865,12,0.00164129056581927,0.09553385067711857,0.043457600846548095,0.021888554381706796,0.06594674434806987,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.13037280253964428
aptos2019,uniform,oracle,train,B4,B0,bacc,BACC,15,0.666426818578659,0.6614381296393972,-0.0049886889392618166,0.017825221171497246,7,-0.02650264156261572,0.016525263684092087,0.6266712747493116,0.010030812268906807,0.030221247176283297,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.6782520075353208
aptos2019,uniform,oracle,train,B4,B0,rec_0,no_dr,15,0.9732225300092335,0.9610341643582639,-0.012188365650969545,0.009352877017248826,0,-0.02347671664001062,-0.0009000146619284714,0.03624771092099007,0.005263157894736842,0.01585706036565908,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.03932031332425373
aptos2019,uniform,oracle,train,B4,B0,rec_1,mild,15,0.6828828828828828,0.7837837837837838,0.10090090090090091,0.03570471888283994,15,0.05780748718753454,0.1439943146142673,0.00018677880758341759,0.020092167652906407,0.06053451591632512,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0005603364227502528
aptos2019,uniform,oracle,train,B4,B0,rec_2,moderate,15,0.6182864321608039,0.41543048576214403,-0.20285594639865995,0.034154469418876725,0,-0.24407830374749634,-0.16163358904982356,4.7680074859894684e-08,0.019219793549192423,0.057906191039759344,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),9.536014971978937e-08
aptos2019,uniform,oracle,train,B4,B0,rec_3,severe,15,0.49955015744489434,0.5514619883040937,0.05191183085919929,0.08070753571960512,9,-0.04549723257478794,0.1493208942931865,0.27220361518109326,0.045416667299699454,0.1368332186458939,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.27220361518109326
aptos2019,uniform,oracle,train,B4,B0,rec_4,proliferative,15,0.5581920903954802,0.5954802259887004,0.037288135593220334,0.03151422644750402,12,-0.0007476098390647584,0.07532388102550543,0.05406938182149459,0.017734045836143665,0.05342986871670807,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.13037280253964428
aptos2019,uniform,oracle,uniform,B1,B0,bacc,BACC,15,0.6457036359493563,0.6554548011915637,0.009751165242207397,0.013488027591129157,11,-0.006528059783176615,0.026030390267591408,0.21974223648336125,0.007590137106449578,0.022867879833313978,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.3418427953381586
aptos2019,uniform,oracle,uniform,B1,B0,rec_0,no_dr,15,0.9819021237303784,0.9758079409048938,-0.006094182825484766,0.003503908764729488,0,-0.010323186574480763,-0.0018651790764887674,0.00797788089486683,0.0019717596033298718,0.005940599100748257,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.02393364268460049
aptos2019,uniform,oracle,uniform,B1,B0,rec_1,mild,15,0.6036036036036035,0.6648648648648648,0.061261261261261274,0.024952562040000674,15,0.031145043773970368,0.09137747874855218,0.0006496949987839669,0.0140415910155281,0.0423050877089938,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0012993899975679338
aptos2019,uniform,oracle,uniform,B1,B0,rec_2,moderate,15,0.7727638190954774,0.6656633165829144,-0.1071005025125628,0.024704229684648506,0,-0.13691699802297103,-0.07728400700215458,2.117892482850913e-06,0.013901846593124179,0.041884059918047396,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),4.235784965701826e-06
aptos2019,uniform,oracle,uniform,B1,B0,rec_3,severe,15,0.3595141700404858,0.4285650022492128,0.06905083220872693,0.04749964019830944,13,0.0117216692759929,0.12637999514146098,0.021669297041589812,0.026729540637157805,0.08053186849165225,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.043338594083179624
aptos2019,uniform,oracle,uniform,B1,B0,rec_4,proliferative,15,0.5107344632768361,0.5423728813559322,0.031638418079096044,0.03889698187131865,12,-0.015307861976553608,0.0785846981347457,0.17034814575544438,0.021888554381706796,0.06594674434806987,0.019,잡음 수준 — 부호 해석 금지,탐색적/exploratory,없음 (서술 · 판정 아님),0.34069629151088876
aptos2019,uniform,oracle,uniform,B3,B0,bacc,BACC,15,0.6457036359493563,0.6830856052764636,0.03738196932710729,0.013252587765789378,15,0.021386905782766218,0.053377032871448356,0.00019003600118089502,0.007457647715945754,0.02246871030333856,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0005701080035426851
aptos2019,uniform,oracle,uniform,B3,B0,rec_0,no_dr,15,0.9819021237303784,0.9774699907663896,-0.004432132963988914,0.004999323054168209,1,-0.010466010372937864,0.0016017444449600363,0.13747790979820415,0.0028132762306571114,0.008475955292812693,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.2749558195964083
aptos2019,uniform,oracle,uniform,B3,B0,rec_1,mild,15,0.6036036036036035,0.7216216216216215,0.11801801801801805,0.04257037640627673,15,0.06663817524628025,0.16939786078975583,0.00022299063200680784,0.023955688955538155,0.07217469311509499,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.0006689718960204235
aptos2019,uniform,oracle,uniform,B3,B0,rec_2,moderate,15,0.7727638190954774,0.6172948073701843,-0.15546901172529318,0.027768430762160845,0,-0.18898381067753706,-0.12195421277304928,9.948413139964063e-08,0.015626168859142184,0.04707916954784593,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),2.984523941989219e-07
aptos2019,uniform,oracle,uniform,B3,B0,rec_3,severe,15,0.3595141700404858,0.5114709851551957,0.15195681511470985,0.06518731511629315,15,0.07327970948091908,0.23063392074850061,0.000996142087426435,0.036682951305601334,0.11051991691625604,0.019,,탐색적/exploratory,없음 (서술 · 판정 아님),0.002988426262279305
