dataset,arm,wave,fold,variant,n_test,n_excluded,n_leaked_in_fold,n_conflict_in_fold,n_leaked_and_conflict,bacc,mcc,per_class_recall,per_class_n,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4,recall_c5,recall_c6
aptos2019,B1,w1,1,conflict_excluded,698,35,31,11,7,0.6511796820963671,0.6809511200975824,"[0.9637883008356546, 0.6857142857142857, 0.6263736263736264, 0.47058823529411764, 0.5094339622641509]","[359, 70, 182, 34, 53]",0.9637883008356546,0.6857142857142857,0.6263736263736264,0.47058823529411764,0.5094339622641509,,
aptos2019,B1,w1,1,leaked_only,31,702,31,11,7,0.79,0.6333007670377255,"[1.0, 1.0, 0.75, 0.2, 1.0]","[2, 4, 16, 5, 4]",1.0,1.0,0.75,0.2,1.0,,
aptos2019,B1,w1,2,full,732,0,42,17,13,0.6721492012694416,0.7091674645135138,"[0.9778393351800554, 0.7162162162162162, 0.66, 0.4473684210526316, 0.559322033898305]","[361, 74, 200, 38, 59]",0.9778393351800554,0.7162162162162162,0.66,0.4473684210526316,0.559322033898305,,
aptos2019,B1,w1,2,leakfree,690,42,42,17,13,0.6657255271110019,0.7060358967378451,"[0.9804469273743017, 0.6923076923076923, 0.64, 0.4444444444444444, 0.5714285714285714]","[358, 65, 175, 36, 56]",0.9804469273743017,0.6923076923076923,0.64,0.4444444444444444,0.5714285714285714,,
aptos2019,B1,w1,2,conflict_excluded,686,46,42,17,13,0.6654390635564571,0.7082902341156632,"[0.9803921568627451, 0.703125, 0.6436781609195402, 0.42857142857142855, 0.5714285714285714]","[357, 64, 174, 35, 56]",0.9803921568627451,0.703125,0.6436781609195402,0.42857142857142855,0.5714285714285714,,
aptos2019,B1,w1,2,leaked_only,42,690,42,17,13,0.6377777777777778,0.6151162637281684,"[0.6666666666666666, 0.8888888888888888, 0.8, 0.5, 0.3333333333333333]","[3, 9, 25, 2, 3]",0.6666666666666666,0.8888888888888888,0.8,0.5,0.3333333333333333,,
aptos2019,B1,w1,3,full,732,0,36,12,6,0.6813626448646872,0.7076934387931734,"[0.9778393351800554, 0.7027027027027027, 0.65, 0.5, 0.576271186440678]","[361, 74, 200, 38, 59]",0.9778393351800554,0.7027027027027027,0.65,0.5,0.576271186440678,,
aptos2019,B1,w1,3,leakfree,696,36,36,12,6,0.6638873847279549,0.6987724028892596,"[0.9832869080779945, 0.6911764705882353, 0.6222222222222222, 0.4857142857142857, 0.5370370370370371]","[359, 68, 180, 35, 54]",0.9832869080779945,0.6911764705882353,0.6222222222222222,0.4857142857142857,0.5370370370370371,,
aptos2019,B1,w1,3,conflict_excluded,690,42,36,12,6,0.6669100517475105,0.7015681661547273,"[0.9832869080779945, 0.7014925373134329, 0.6214689265536724, 0.5, 0.5283018867924528]","[359, 67, 177, 34, 53]",0.9832869080779945,0.7014925373134329,0.6214689265536724,0.5,0.5283018867924528,,
aptos2019,B1,w1,3,leaked_only,36,696,36,12,6,0.6799999999999999,0.7433501205316164,"[0.0, 0.8333333333333334, 0.9, 0.6666666666666666, 1.0]","[2, 6, 20, 3, 5]",0.0,0.8333333333333334,0.9,0.6666666666666666,1.0,,
aptos2019,B1,w1,4,full,732,0,43,13,9,0.639772900608512,0.6885750368752487,"[0.9750692520775623, 0.5675675675675675, 0.678391959798995, 0.38461538461538464, 0.5932203389830508]","[361, 74, 199, 39, 59]",0.9750692520775623,0.5675675675675675,0.678391959798995,0.38461538461538464,0.5932203389830508,,
aptos2019,B1,w1,4,leakfree,689,43,43,13,9,0.6262801343424602,0.6804719716367712,"[0.9749303621169917, 0.546875, 0.6571428571428571, 0.3783783783783784, 0.5740740740740741]","[359, 64, 175, 37, 54]",0.9749303621169917,0.546875,0.6571428571428571,0.3783783783783784,0.5740740740740741,,
aptos2019,B1,w1,4,conflict_excluded,685,47,43,13,9,0.6293898294359459,0.6824068631297395,"[0.9749303621169917, 0.5555555555555556, 0.653179190751445, 0.3783783783783784, 0.5849056603773585]","[359, 63, 173, 37, 53]",0.9749303621169917,0.5555555555555556,0.653179190751445,0.3783783783783784,0.5849056603773585,,
aptos2019,B1,w1,4,leaked_only,43,689,43,13,9,0.7666666666666666,0.6863440243329478,"[1.0, 0.7, 0.8333333333333334, 0.5, 0.8]","[2, 10, 24, 2, 5]",1.0,0.7,0.8333333333333334,0.5,0.8,,
