dataset,arm,family,loss,fold,repeat,n_train_fold,n_inner_train,n_inner_val,T,T_converged,T_insample,nll_val_T1,nll_val_T,secs,n_test,n_pred_changed,bacc_T1,bacc_T,exploratory
aptos2019,B1,softmax,ce,12,2,2930,2637,293,2.021009459823266,True,0.5020250514416765,0.6202268317564756,0.48656353290538934,0.25,732,0,0.633974861146888,0.633974861146888,탐색적/exploratory
aptos2019,B1,softmax,ce,13,2,2930,2637,293,2.3376675696067073,True,0.5500442251981013,0.7947145033759098,0.5717729985934404,0.26,732,0,0.6739827742198277,0.6739827742198277,탐색적/exploratory
aptos2019,B1,softmax,ce,14,2,2930,2637,293,1.988809942802606,True,0.5326886333750819,0.6475176854521347,0.5223912077671065,0.27,732,0,0.6691026424499651,0.6691026424499651,탐색적/exploratory
aptos2019,B1d,softmax,ce,0,0,2929,2636,293,2.3432459192369137,True,0.4422069285290428,0.7648372366641052,0.5361804922083622,0.29,733,0,0.6625615206411488,0.6625615206411488,탐색적/exploratory
aptos2019,B1d,softmax,ce,1,0,2929,2636,293,2.354187906882932,True,0.48511785009673825,0.71980994661426,0.5076315605093699,0.3,733,0,0.6327823294551779,0.6327823294551779,탐색적/exploratory
aptos2019,B1d,softmax,ce,2,0,2930,2637,293,2.5440741577139474,True,0.43833754405990977,0.8647158113750328,0.5694480701667233,0.33,732,0,0.6744578111140861,0.6744578111140861,탐색적/exploratory
aptos2019,B1d,softmax,ce,3,0,2930,2637,293,2.620124048325524,True,0.47861660029706343,0.8875941118472754,0.5737926055037816,0.28,732,0,0.6140582402675927,0.6140582402675927,탐색적/exploratory
aptos2019,B1d,softmax,ce,4,0,2930,2637,293,2.295601217836088,True,0.45193652705938286,0.7212163766777278,0.5128698693766776,0.28,732,0,0.6026030654131957,0.6026030654131957,탐색적/exploratory
aptos2019,B1d,softmax,ce,5,1,2929,2636,293,2.7283598478944695,True,0.4857448694144584,0.9454874499642865,0.5937759748803524,0.25,733,0,0.5968278714994054,0.5968278714994054,탐색적/exploratory
aptos2019,B1d,softmax,ce,6,1,2929,2636,293,2.568871143598655,True,0.4723852142312056,0.9000002496563342,0.5942301469621908,0.26,733,0,0.6464898787702675,0.6464898787702675,탐색적/exploratory
