bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.7454878454878455,0.6951100430423188,0.42718446601941745,0.4171495171495172,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",w16_fz_ce,oral_diseases,3,413,103
0.7454878454878455,0.6953496121069672,0.42718446601941745,0.4171495171495172,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.6363636363636364, 0.6666666666666666, 0.9230769230769231]",w16_fz_wce,oral_diseases,3,413,103
0.770840562945826,0.7379402146367858,0.46601941747572817,0.4680065548486602,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7894736842105263, 0.9230769230769231]",w16_fz_ce,oral_diseases,4,413,103
0.7410995437311226,0.7041478844468492,0.5145631067961165,0.5199697962855858,"[0.75, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5, 0.7368421052631579, 0.9230769230769231]",w16_fz_wce,oral_diseases,4,413,103
0.7503332924385556,0.7183188203146846,0.38461538461538464,0.3967652230810126,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",w16_fz_ce,oral_diseases,5,412,104
0.7613223034275666,0.7294995868567651,0.375,0.3857762120920016,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.7894736842105263, 0.6923076923076923]",w16_fz_wce,oral_diseases,5,412,104
0.7480661881977672,0.7150992075689645,0.3883495145631068,0.3812153489785069,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.7368421052631579, 0.75]",w16_fz_ce,oral_diseases,6,413,103
0.7336931343510292,0.6924696138963046,0.4563106796116505,0.44816776790461,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.6842105263157895, 0.6666666666666666]",w16_fz_wce,oral_diseases,6,413,103
0.7320004556846662,0.682601595736349,0.47572815533980584,0.44479570137464874,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.631578947368421, 0.5833333333333334]",w16_fz_ce,oral_diseases,7,413,103
0.7395192526771474,0.694759421984845,0.4174757281553398,0.39926520847573477,"[0.75, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9090909090909091, 0.6842105263157895, 0.5833333333333334]",w16_fz_wce,oral_diseases,7,413,103
0.7984459984459985,0.7533974192486541,0.4563106796116505,0.4353757353757354,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",w16_fz_ce,oral_diseases,8,413,103
0.7984459984459985,0.7533974192486541,0.4563106796116505,0.4353757353757354,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",w16_fz_wce,oral_diseases,8,413,103
0.6872300944669366,0.6360414193763514,0.4854368932038835,0.48600748666538135,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.5263157894736842, 0.5384615384615384]",w16_fz_ce,oral_diseases,9,413,103
0.6792935865304287,0.6247230990692058,0.49514563106796117,0.49394399460188926,"[0.8125, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5263157894736842, 0.5384615384615384]",w16_fz_wce,oral_diseases,9,413,103
0.7859837530890162,0.7430804692228826,0.36538461538461536,0.3479086702770913,"[0.875, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.7692307692307693]",w16_fz_ce,oral_diseases,10,412,104
0.7859837530890162,0.7430804692228826,0.36538461538461536,0.3479086702770913,"[0.875, 1.0, 0.75, 0.5, 0.8181818181818182, 0.7894736842105263, 0.7692307692307693]",w16_fz_wce,oral_diseases,10,412,104
0.6851627173995595,0.6373092016060273,0.5436893203883495,0.553582820688084,"[0.9375, 0.9333333333333333, 0.75, 0.6111111111111112, 0.45454545454545453, 0.5263157894736842, 0.5833333333333334]",w16_fz_ce,oral_diseases,11,413,103
0.6787261714893293,0.6273250818104149,0.5728155339805825,0.5827466393255867,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.47368421052631576, 0.5833333333333334]",w16_fz_wce,oral_diseases,11,413,103
0.756711855396066,0.7044576826671958,0.44660194174757284,0.43266784385205437,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.8181818181818182, 0.631578947368421, 0.6666666666666666]",w16_fz_ce,oral_diseases,12,413,103
0.756711855396066,0.7047647377678243,0.4563106796116505,0.44565485683906736,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.8181818181818182, 0.631578947368421, 0.6666666666666666]",w16_fz_wce,oral_diseases,12,413,103
0.7154068154068154,0.6709837876127203,0.5145631067961165,0.5108447108447108,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6111111111111112, 0.6153846153846154]",w16_fz_ce,oral_diseases,13,413,103
0.7154068154068154,0.6709837876127203,0.5145631067961165,0.5108447108447108,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6111111111111112, 0.6153846153846154]",w16_fz_wce,oral_diseases,13,413,103
0.7780918642760748,0.7279875999904591,0.4368932038834951,0.4104483966326072,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.631578947368421, 0.7692307692307693]",w16_fz_ce,oral_diseases,14,413,103
