dataset,family,frontier_base,axis,recall_level,n_folds_valid,n_folds,bacc_mean,bacc_ci_lo,bacc_ci_hi,bacc_min,bacc_max,exploratory
oral_diseases,dinov2,A0d,tau,0.48,14,15,0.708471921770794,0.6672767303488893,0.7496671131926986,0.645660552897395,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.49,14,15,0.708471921770794,0.6672767303488893,0.7496671131926986,0.645660552897395,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.5,14,15,0.708471921770794,0.6672767303488893,0.7496671131926986,0.645660552897395,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.51,14,15,0.708471921770794,0.6672767303488893,0.7496671131926986,0.645660552897395,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.52,14,15,0.708471921770794,0.6672767303488893,0.7496671131926986,0.645660552897395,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.53,12,15,0.7154665205652049,0.677677200081155,0.7532558410492548,0.6778907496012759,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.54,12,15,0.7154665205652049,0.677677200081155,0.7532558410492548,0.6778907496012759,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.55,12,15,0.7154665205652049,0.677677200081155,0.7532558410492548,0.6778907496012759,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.56,12,15,0.7154665205652049,0.677677200081155,0.7532558410492548,0.6778907496012759,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.57,12,15,0.7154665205652049,0.677677200081155,0.7532558410492548,0.6778907496012759,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.58,11,15,0.718267325444359,0.6811337286472431,0.7554009222414749,0.6819069819069818,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.59,11,15,0.718267325444359,0.6811337286472431,0.7554009222414749,0.6819069819069818,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.6,11,15,0.718267325444359,0.6811337286472431,0.7554009222414749,0.6819069819069818,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.61,11,15,0.718267325444359,0.6811337286472431,0.7554009222414749,0.6819069819069818,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.62,11,15,0.7168091876225848,0.6766109434263311,0.7570074318188386,0.6658674658674659,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.63,11,15,0.7168091876225848,0.6766109434263311,0.7570074318188386,0.6658674658674659,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.64,9,15,0.7158477568565288,0.6681348497744753,0.7635606639385822,0.6658674658674659,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.65,9,15,0.7158477568565288,0.6681348497744753,0.7635606639385822,0.6658674658674659,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.66,9,15,0.7158477568565288,0.6681348497744753,0.7635606639385822,0.6658674658674659,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.67,8,15,0.7220952932301616,0.6773838008523921,0.7668067856079311,0.6886534518113466,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.68,8,15,0.7220952932301616,0.6773838008523921,0.7668067856079311,0.6886534518113466,0.7739986621565569,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.69,3,15,0.7191778250988777,0.6072210378100592,0.8311346123876963,0.6898434898434899,0.756545209176788,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.7,3,15,0.7191778250988777,0.6072210378100592,0.8311346123876963,0.6898434898434899,0.756545209176788,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.71,3,15,0.7191778250988777,0.6072210378100592,0.8311346123876963,0.6898434898434899,0.756545209176788,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.72,3,15,0.7191778250988777,0.6072210378100592,0.8311346123876963,0.6898434898434899,0.756545209176788,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.73,3,15,0.7191223250433776,0.606929781207636,0.8313148688791192,0.6896769896769898,0.756545209176788,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.74,2,15,0.6976767749794066,0.5731852433890897,0.8221683065697235,0.6896769896769898,0.7056765602818235,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.75,2,15,0.6976767749794066,0.5731852433890897,0.8221683065697235,0.6896769896769898,0.7056765602818235,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.76,2,15,0.6976767749794066,0.5731852433890897,0.8221683065697235,0.6896769896769898,0.7056765602818235,탐색적/exploratory
oral_diseases,dinov2,A0d,tau,0.77,2,15,0.6976767749794066,0.5731852433890897,0.8221683065697235,0.6896769896769898,0.7056765602818235,탐색적/exploratory
