dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B1,none,mean_conf,3,0.9023252569032314,0.9010466466839532,0.9031723744011968,0.0021257277172436195,탐색적/exploratory
aptos2019,B1,none,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B1,temp,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B1,temp,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B1,temp,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B1,temp,ece_top_ew,3,0.017132372068029294,0.013548641826261813,0.022419880449661964,0.008871238623400151,탐색적/exploratory
aptos2019,B1,temp,ece_top_em,3,0.019842551096376632,0.01823792170611741,0.023024084122029654,0.004786162415912246,탐색적/exploratory
aptos2019,B1,temp,ece_top_db,3,0.010312809521591063,0.0,0.02063893674323788,0.02063893674323788,탐색적/exploratory
aptos2019,B1,temp,ece_top_rms_em,3,0.025473836632012494,0.021546717496211332,0.030380254448949606,0.008833536952738273,탐색적/exploratory
aptos2019,B1,temp,ece_top_bias_corr,3,0.015161027110421431,0.009741317705711725,0.021546717496211332,0.011805399790499608,탐색적/exploratory
aptos2019,B1,temp,ece_dep_em,3,0.019842551096376632,0.01823792170611741,0.023024084122029654,0.004786162415912246,탐색적/exploratory
aptos2019,B1,temp,cwece_ew,3,0.03755642671662035,0.036620695853605445,0.038519646938127775,0.0018989510845223295,탐색적/exploratory
aptos2019,B1,temp,cwece_em,3,0.038287578642230875,0.03685391248040393,0.039201270314351375,0.002347357833947447,탐색적/exploratory
aptos2019,B1,temp,cwece_db,3,0.06826820797981552,0.06746102564298127,0.06933913093646187,0.001878105293480592,탐색적/exploratory
aptos2019,B1,temp,cwece_rms_em,3,0.06984914159623969,0.06910677973665415,0.07085659560347063,0.0017498158668164815,탐색적/exploratory
aptos2019,B1,temp,brier_multiclass,3,0.28067857475497854,0.2781220199635448,0.28367551308522526,0.005553493121680464,탐색적/exploratory
aptos2019,B1,temp,brier_balanced,3,0.4617323604035512,0.45476125600078526,0.4695717867745402,0.014810530773754937,탐색적/exploratory
aptos2019,B1,temp,brier_ovr_mean,3,0.0561357149509957,0.05562440399270896,0.05673510261704505,0.00111069862433609,탐색적/exploratory
aptos2019,B1,temp,nll,3,0.5300914382639806,0.5254528198749274,0.5354715327982429,0.010018712923315465,탐색적/exploratory
aptos2019,B1,temp,acc,3,0.79601310759148,0.792190060076461,0.7987438558164938,0.006553795740032786,탐색적/exploratory
aptos2019,B1,temp,bacc,3,0.6554072101092213,0.650315793897786,0.6605114759061125,0.010195682008326434,탐색적/exploratory
aptos2019,B1,temp,mean_conf,3,0.7897246430109052,0.783203972171435,0.7982879194409023,0.015083947269467268,탐색적/exploratory
aptos2019,B1,temp,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B1d,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B1d,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B1d,none,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B1d,none,ece_top_ew,3,0.13429937448433935,0.1312128314881269,0.13645172874600883,0.00523889725788193,탐색적/exploratory
aptos2019,B1d,none,ece_top_em,3,0.1342993744843385,0.13121283148812585,0.1364517287460099,0.00523889725788404,탐색적/exploratory
aptos2019,B1d,none,ece_top_db,3,0.1654133602942852,0.16333882588868773,0.16805389820996736,0.004715072321279629,탐색적/exploratory
aptos2019,B1d,none,ece_top_rms_em,3,0.16702923204516798,0.16493714204880336,0.16965219898348763,0.00471505693468427,탐색적/exploratory
aptos2019,B1d,none,ece_top_bias_corr,3,0.0016158717508828284,0.0015983007735202726,0.001650998319012581,5.269754549230843e-05,탐색적/exploratory
aptos2019,B1d,none,ece_dep_em,3,0.1342993744843385,0.13121283148812585,0.1364517287460099,0.00523889725788404,탐색적/exploratory
aptos2019,B1d,none,cwece_ew,3,0.058360743482275816,0.057232994453814065,0.05897190190257171,0.001738907448757647,탐색적/exploratory
