family,dataset,base_arm,tau,fold,n_train,n_test,bacc,mcc,mae_sample,mae_class,recall_0,recall_1,recall_2,recall_3,recall_4,pi_0,pi_1,pi_2,pi_3,pi_4,recall_5,recall_6,pi_5,pi_6,exploratory
panderm,aptos2019,B0,0.5,7,2930,732,0.656788806224883,0.7045560021034678,0.27459016393442626,0.4848561777421348,0.9833795013850416,0.6216216216216216,0.695,0.5263157894736842,0.4576271186440678,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,7,2930,732,0.6878657670769976,0.6964392928787776,0.2923497267759563,0.4524204613082964,0.9778393351800554,0.7027027027027027,0.6,0.6842105263157895,0.4745762711864407,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,8,2930,732,0.6385841893351165,0.7007058962560602,0.2677595628415301,0.49430951078784313,0.9778393351800554,0.6351351351351351,0.72,0.3684210526315789,0.4915254237288136,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,8,2930,732,0.6491966746313429,0.6949640902572342,0.2786885245901639,0.46897614023244333,0.9750692520775623,0.7027027027027027,0.665,0.39473684210526316,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,8,2930,732,0.6672183061506504,0.6840683075172408,0.28825136612021857,0.4395187948171656,0.96398891966759,0.7297297297297297,0.6,0.5,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,9,2930,732,0.5892626060102722,0.6777541897220332,0.2923497267759563,0.5628887374350688,0.9722991689750693,0.5405405405405406,0.7537688442211056,0.20512820512820512,0.4745762711864407,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,9,2930,732,0.6027974923893316,0.6702396128516337,0.30191256830601093,0.5476048403128755,0.9695290858725761,0.581081081081081,0.6984924623115578,0.2564102564102564,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,9,2930,732,0.6304864144654438,0.6750135957475547,0.30327868852459017,0.5136855462964858,0.9695290858725761,0.6081081081081081,0.6482412060301508,0.3333333333333333,0.5932203389830508,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,10,2929,733,0.6643416500574583,0.7452201549704509,0.21145975443383355,0.40828546858660947,0.9916897506925207,0.581081081081081,0.805,0.38461538461538464,0.559322033898305,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,10,2929,733,0.6751161708176593,0.7271423032069171,0.23465211459754434,0.4106346308314476,0.9861495844875346,0.6216216216216216,0.73,0.46153846153846156,0.576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,10,2929,733,0.67459822547052,0.703565812986649,0.2551159618008186,0.4100911927612712,0.9833795013850416,0.6216216216216216,0.645,0.5128205128205128,0.6101694915254238,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,11,2929,733,0.6237506041183678,0.7039971028144936,0.26193724420190995,0.5009348829556352,0.9750692520775623,0.6216216216216216,0.765,0.3333333333333333,0.423728813559322,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,11,2929,733,0.6348948583669463,0.683821709955466,0.29195088676671216,0.49607842295700877,0.9695290858725761,0.7027027027027027,0.66,0.38461538461538464,0.4576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,11,2929,733,0.6208274779671559,0.6532971641321246,0.33560709413369716,0.522931461356223,0.9556786703601108,0.7162162162162162,0.59,0.38461538461538464,0.4576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,12,2930,732,0.6377742198276025,0.7209997845774234,0.24863387978142076,0.48293441387300257,0.9833795013850416,0.6891891891891891,0.775,0.3684210526315789,0.3728813559322034,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
