bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,n_train,n_test,head,feats,lever,rank_violation_rows,bias_ordered,biases
0.5120047579822218,0.462933117783259,0.519781718963165,"[0.7617728531855956, 0.4864864864864865, 0.37, 0.1282051282051282, 0.8135593220338984]",B3c,aptos2019,0,2929,733,coral_true,panderm,rebalance,0,True,"[1.0814437866210938, -0.33610859513282776, -1.38619863986969, -1.7025140523910522]"
0.5504392239628635,0.5135333285765906,0.46248294679399726,"[0.7894736842105263, 0.6891891891891891, 0.4, 0.07692307692307693, 0.7966101694915254]",B3c,aptos2019,1,2929,733,coral_true,panderm,rebalance,0,True,"[1.087377905845642, -0.33495843410491943, -1.3873473405838013, -1.7029567956924438]"
0.5294808295783459,0.48233673392853554,0.5095628415300546,"[0.7700831024930748, 0.581081081081081, 0.385, 0.13157894736842105, 0.7796610169491526]",B3c,aptos2019,2,2930,732,coral_true,panderm,rebalance,0,True,"[1.0830292701721191, -0.3380754888057709, -1.3885960578918457, -1.703201174736023]"
0.5308940135496781,0.4998212059536552,0.4959016393442623,"[0.7894736842105263, 0.5405405405405406, 0.415, 0.07894736842105263, 0.8305084745762712]",B3c,aptos2019,3,2930,732,coral_true,panderm,rebalance,0,True,"[1.081046223640442, -0.3450203537940979, -1.3924750089645386, -1.705163836479187]"
0.5240426967081508,0.48775599209612835,0.4849726775956284,"[0.7700831024930748, 0.47297297297297297, 0.4271356783919598, 0.10256410256410256, 0.847457627118644]",B3c,aptos2019,4,2930,732,coral_true,panderm,rebalance,0,True,"[1.081694483757019, -0.3406986892223358, -1.3898626565933228, -1.704227089881897]"
0.5360532071544326,0.5015180462485038,0.48840381991814463,"[0.7867036011080333, 0.5945945945945946, 0.425, 0.1282051282051282, 0.7457627118644068]",B3c,aptos2019,5,2929,733,coral_true,panderm,rebalance,0,True,"[1.0772844552993774, -0.34554171562194824, -1.3938015699386597, -1.7058433294296265]"
0.5467352211558513,0.5085615339195495,0.4815825375170532,"[0.7922437673130194, 0.47297297297297297, 0.425, 0.1282051282051282, 0.9152542372881356]",B3c,aptos2019,6,2929,733,coral_true,panderm,rebalance,0,True,"[1.0794256925582886, -0.34269094467163086, -1.3885931968688965, -1.7031153440475464]"
0.5241908692579147,0.4810806458963747,0.5040983606557377,"[0.7534626038781164, 0.5675675675675675, 0.415, 0.10526315789473684, 0.7796610169491526]",B3c,aptos2019,7,2930,732,coral_true,panderm,rebalance,0,True,"[1.0915541648864746, -0.327244371175766, -1.3859739303588867, -1.7034142017364502]"
0.5200903227280051,0.49195014859820285,0.49863387978142076,"[0.7728531855955678, 0.6216216216216216, 0.4, 0.02631578947368421, 0.7796610169491526]",B3c,aptos2019,8,2930,732,coral_true,panderm,rebalance,0,True,"[1.079202651977539, -0.3439137935638428, -1.3880600929260254, -1.7025039196014404]"
0.5207545664839883,0.48136708913728493,0.5040983606557377,"[0.7506925207756233, 0.5675675675675675, 0.4371859296482412, 0.10256410256410256, 0.7457627118644068]",B3c,aptos2019,9,2930,732,coral_true,panderm,rebalance,0,True,"[1.0867549180984497, -0.3345249891281128, -1.3894933462142944, -1.7039293050765991]"
0.5434159261704217,0.5004546769284576,0.48567530695770805,"[0.7673130193905817, 0.5675675675675675, 0.44, 0.1794871794871795, 0.7627118644067796]",B3c,aptos2019,10,2929,733,coral_true,panderm,rebalance,0,True,"[1.084348201751709, -0.33823180198669434, -1.3894490003585815, -1.704122543334961]"
0.5372768180026737,0.4804907595832308,0.4870395634379263,"[0.7562326869806094, 0.5540540540540541, 0.4, 0.1794871794871795, 0.7966101694915254]",B3c,aptos2019,11,2929,733,coral_true,panderm,rebalance,0,True,"[1.0919914245605469, -0.3284761905670166, -1.386689305305481, -1.7033240795135498]"
0.5112500866047511,0.46580967944664453,0.5396174863387978,"[0.7451523545706371, 0.5405405405405406, 0.395, 0.07894736842105263, 0.7966101694915254]",B3c,aptos2019,12,2930,732,coral_true,panderm,rebalance,0,True,"[1.0874230861663818, -0.3307163119316101, -1.385512113571167, -1.7021794319152832]"
0.5538252931554964,0.5353364186662088,0.43989071038251365,"[0.8060941828254847, 0.6081081081081081, 0.47, 0.10526315789473684, 0.7796610169491526]",B3c,aptos2019,13,2930,732,coral_true,panderm,rebalance,0,True,"[1.0796782970428467, -0.34254249930381775, -1.3884304761886597, -1.7029776573181152]"
0.5112612179088747,0.48491879683307443,0.47540983606557374,"[0.814404432132964, 0.4594594594594595, 0.39195979899497485, 0.07692307692307693, 0.8135593220338984]",B3c,aptos2019,14,2930,732,coral_true,panderm,rebalance,0,True,"[1.0748720169067383, -0.35150280594825745, -1.3948471546173096, -1.7058587074279785]"
