arm,fold,bacc,mae_plain,macro_mae_true,repro_dbacc,repro_dmae
B1d,5,0.5968278714994054,0.3015006821282401,0.5227494325993786,0.0,0.0
B1d,6,0.6464898787702675,0.252387448840382,0.43278463100877296,0.0,0.0
B1d,7,0.6206958885266787,0.30601092896174864,0.5151204865600847,0.0,5.551115123125783e-17
B1d,8,0.6293915511830906,0.2650273224043716,0.4718468447319567,0.0,0.0
B1d,9,0.6305321094504818,0.2937158469945355,0.5047356273179271,0.0,0.0
B1d,10,0.6253457742559109,0.29740791268758526,0.4899141935385421,0.0,5.551115123125783e-17
B1d,11,0.6278163503262804,0.2946793997271487,0.5101725807617165,0.0,0.0
B1d,12,0.6391291444973308,0.27049180327868855,0.45374526528970394,0.0,5.551115123125783e-17
B1d,13,0.6407021101104861,0.2896174863387978,0.503915098158396,0.0,0.0
B1d,14,0.6379010308696064,0.27595628415300544,0.4734590861691693,0.0,5.551115123125783e-17
B3d,0,0.6533423935226836,0.33424283765347884,0.4313832553150361,0.0,5.551115123125783e-17
B3d,1,0.6436925997098306,0.30559345156889495,0.4251513518524176,0.0,5.551115123125783e-17
B3d,2,0.6765525103957425,0.28005464480874315,0.4079198680816128,0.0,5.551115123125783e-17
B3d,3,0.6342479484508219,0.34153005464480873,0.44299533666724616,0.0,5.551115123125783e-17
B3d,4,0.606021777685439,0.34289617486338797,0.49311844231725105,0.0,5.551115123125783e-17
B3d,5,0.6494043202064705,0.29195088676671216,0.4090843818389243,0.0,5.551115123125783e-17
B3d,6,0.6297206235984583,0.32332878581173263,0.42622613065849835,0.0,5.551115123125783e-17
B3d,7,0.6313526075960931,0.3401639344262295,0.4565466732989621,0.0,0.0
B3d,8,0.6387706833083142,0.3155737704918033,0.4340266932973633,0.0,0.0
B3d,9,0.6473152060512781,0.33060109289617484,0.4482957505101418,0.0,5.551115123125783e-17
B3d,10,0.6244032138586343,0.339699863574352,0.4691795116796761,0.0,0.0
B3d,11,0.6291198558347719,0.3519781718963165,0.4767253532411521,0.0,0.0
B3d,12,0.6079233474988675,0.31420765027322406,0.4707254178917168,0.0,5.551115123125783e-17
B3d,13,0.626835061410065,0.31830601092896177,0.45964038154309994,0.0,5.551115123125783e-17
B3d,14,0.6359587670410766,0.3128415300546448,0.43418000339890883,0.0,0.0
B4d,0,0.6770344561805663,0.2605729877216917,0.4286499231139825,0.0,0.0
B4d,1,0.6368293786351911,0.27967257844474763,0.4555117451074538,0.0,5.551115123125783e-17
B4d,2,0.6450672293966345,0.2773224043715847,0.4702121289795359,0.0,0.0
B4d,3,0.63930507459429,0.29098360655737704,0.4609893993246733,0.0,5.551115123125783e-17
B4d,4,0.626500604956762,0.2937158469945355,0.5208255223315972,0.0,0.0
B4d,5,0.6183417095021396,0.28512960436562074,0.4947533057441034,0.0,5.551115123125783e-17
B4d,6,0.6416541397494024,0.2728512960436562,0.4528054364519926,0.0,0.0
B4d,7,0.6201199333048246,0.3005464480874317,0.5021374864699903,0.0,0.0
B4d,8,0.6355170436881314,0.273224043715847,0.491586651067237,0.0,0.0
B4d,9,0.6429376611076933,0.2827868852459016,0.47439540708986677,0.0,0.0
B4d,10,0.6286640847437128,0.286493860845839,0.5050313627470302,0.0,0.0
B4d,11,0.6274997378675016,0.29740791268758526,0.4977501101776419,0.0,5.551115123125783e-17
B4d,12,0.6307670148198812,0.26639344262295084,0.4714255725747815,0.0,5.551115123125783e-17
B4d,13,0.6406672943660595,0.2786885245901639,0.47859528108793337,0.0,0.0
B4d,14,0.6445938737743081,0.2786885245901639,0.4659761073433265,0.0,0.0
