dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,S1_la__ldam,w10_decouple,panderm,B0,union,1,0.23076923076923078,0.626299167022863,0.666965204525982,-0.040666037503118924,탐색적/exploratory
aptos2019,S1_la__ldam,w10_decouple,dinov2,B0d,tau,1,0.23076923076923078,0.626299167022863,0.6646625466654575,-0.03836337964259451,탐색적/exploratory
aptos2019,S1_la__ldam,w10_decouple,dinov2,B0d,offset,1,0.23076923076923078,0.626299167022863,0.6381963246983672,-0.011897157675504144,탐색적/exploratory
aptos2019,S1_la__ldam,w10_decouple,dinov2,B0d,union,1,0.23076923076923078,0.626299167022863,0.6646625466654575,-0.03836337964259451,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,panderm,B0,tau,1,0.46153846153846156,0.6791932788661275,0.6576679849590314,0.02152529390709601,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,panderm,B0,offset,1,0.46153846153846156,0.6791932788661275,0.666965204525982,0.0122280743401455,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,panderm,B0,union,1,0.46153846153846156,0.6791932788661275,0.666965204525982,0.0122280743401455,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,dinov2,B0d,tau,1,0.46153846153846156,0.6791932788661275,0.6646625466654575,0.014530732200669916,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,dinov2,B0d,offset,1,0.46153846153846156,0.6791932788661275,0.6381963246983672,0.04099695416776028,탐색적/exploratory
aptos2019,S1_la__la,w10_decouple,dinov2,B0d,union,1,0.46153846153846156,0.6791932788661275,0.6646625466654575,0.014530732200669916,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,panderm,B0,tau,2,0.5263157894736842,0.6964719609980421,0.6930009593141666,0.0034710016838754854,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,panderm,B0,offset,2,0.5263157894736842,0.6964719609980421,0.7073331573744739,-0.010861196376431792,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,panderm,B0,union,2,0.5263157894736842,0.6964719609980421,0.7073331573744739,-0.010861196376431792,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,dinov2,B0d,tau,2,0.5263157894736842,0.6964719609980421,0.689277817890194,0.00719414310784805,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,dinov2,B0d,offset,2,0.5263157894736842,0.6964719609980421,0.689750407010607,0.006721553987435125,탐색적/exploratory
aptos2019,S1_ce_e2e,w10_decouple,dinov2,B0d,union,2,0.5263157894736842,0.6964719609980421,0.689750407010607,0.006721553987435125,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,tau,2,0.39473684210526316,0.6657350414877998,0.6930009593141666,-0.02726591782636678,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,offset,2,0.39473684210526316,0.6657350414877998,0.7073331573744739,-0.04159811588667406,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,panderm,B0,union,2,0.39473684210526316,0.6657350414877998,0.7073331573744739,-0.04159811588667406,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,tau,2,0.39473684210526316,0.6657350414877998,0.689277817890194,-0.023542776402394217,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,offset,2,0.39473684210526316,0.6657350414877998,0.689750407010607,-0.02401536552280714,탐색적/exploratory
aptos2019,S1_ce__B0,w10_decouple,dinov2,B0d,union,2,0.39473684210526316,0.6657350414877998,0.689750407010607,-0.02401536552280714,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,tau,2,0.5,0.6869882395189217,0.6930009593141666,-0.00601271979524487,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,offset,2,0.5,0.6869882395189217,0.7073331573744739,-0.020344917855552147,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,panderm,B0,union,2,0.5,0.6869882395189217,0.7073331573744739,-0.020344917855552147,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,tau,2,0.5,0.6869882395189217,0.689277817890194,-0.002289578371272305,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,offset,2,0.5,0.6869882395189217,0.689750407010607,-0.00276216749168523,탐색적/exploratory
aptos2019,S1_ce__B1,w10_decouple,dinov2,B0d,union,2,0.5,0.6869882395189217,0.689750407010607,-0.00276216749168523,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,tau,2,0.5526315789473685,0.688292641578148,0.6930009593141666,-0.004708317736018652,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,offset,2,0.5526315789473685,0.688292641578148,0.7073331573744739,-0.01904051579632593,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,panderm,B0,union,2,0.5526315789473685,0.688292641578148,0.7073331573744739,-0.01904051579632593,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,tau,2,0.5526315789473685,0.688292641578148,0.689277817890194,-0.0009851763120460877,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,offset,2,0.5526315789473685,0.688292641578148,0.689750407010607,-0.0014577654324590128,탐색적/exploratory
aptos2019,S1_ce__B3,w10_decouple,dinov2,B0d,union,2,0.5526315789473685,0.688292641578148,0.689750407010607,-0.0014577654324590128,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,tau,2,0.5789473684210527,0.712613601958219,0.6930009593141666,0.01961264264405238,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,offset,2,0.5789473684210527,0.712613601958219,0.7073331573744739,0.005280444583745103,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,panderm,B0,union,2,0.5789473684210527,0.712613601958219,0.7073331573744739,0.005280444583745103,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,tau,2,0.5789473684210527,0.712613601958219,0.689277817890194,0.023335784068024945,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,offset,2,0.5789473684210527,0.712613601958219,0.689750407010607,0.02286319494761202,탐색적/exploratory
aptos2019,S1_ce__B4,w10_decouple,dinov2,B0d,union,2,0.5789473684210527,0.712613601958219,0.689750407010607,0.02286319494761202,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,panderm,B0,tau,2,0.39473684210526316,0.6719201079101544,0.6930009593141666,-0.02108085140401217,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,panderm,B0,offset,2,0.39473684210526316,0.6719201079101544,0.7073331573744739,-0.035413049464319446,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,panderm,B0,union,2,0.39473684210526316,0.6719201079101544,0.7073331573744739,-0.035413049464319446,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,dinov2,B0d,tau,2,0.39473684210526316,0.6719201079101544,0.689277817890194,-0.017357709980039604,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,dinov2,B0d,offset,2,0.39473684210526316,0.6719201079101544,0.689750407010607,-0.01783029910045253,탐색적/exploratory
aptos2019,S1_ce__ldam,w10_decouple,dinov2,B0d,union,2,0.39473684210526316,0.6719201079101544,0.689750407010607,-0.01783029910045253,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,panderm,B0,tau,2,0.5789473684210527,0.7082237714497445,0.6930009593141666,0.015222812135577857,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,panderm,B0,offset,2,0.5789473684210527,0.7082237714497445,0.7073331573744739,0.0008906140752705793,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,panderm,B0,union,2,0.5789473684210527,0.7082237714497445,0.7073331573744739,0.0008906140752705793,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,dinov2,B0d,tau,2,0.5789473684210527,0.7082237714497445,0.689277817890194,0.01894595355955042,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,dinov2,B0d,offset,2,0.5789473684210527,0.7082237714497445,0.689750407010607,0.018473364439137496,탐색적/exploratory
aptos2019,S1_ce__la,w10_decouple,dinov2,B0d,union,2,0.5789473684210527,0.7082237714497445,0.689750407010607,0.018473364439137496,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,panderm,B0,tau,2,0.4473684210526316,0.6801449287683852,0.6930009593141666,-0.012856030545781438,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,panderm,B0,offset,2,0.4473684210526316,0.6801449287683852,0.7073331573744739,-0.027188228606088716,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,panderm,B0,union,2,0.4473684210526316,0.6801449287683852,0.7073331573744739,-0.027188228606088716,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,dinov2,B0d,tau,2,0.4473684210526316,0.6801449287683852,0.689277817890194,-0.009132889121808874,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,dinov2,B0d,offset,2,0.4473684210526316,0.6801449287683852,0.689750407010607,-0.009605478242221799,탐색적/exploratory
aptos2019,S1_la_e2e,w10_decouple,dinov2,B0d,union,2,0.4473684210526316,0.6801449287683852,0.689750407010607,-0.009605478242221799,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,panderm,B0,tau,2,0.42105263157894735,0.6774441827620381,0.6930009593141666,-0.015556776552128504,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,panderm,B0,offset,2,0.42105263157894735,0.6774441827620381,0.7073331573744739,-0.02988897461243578,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,panderm,B0,union,2,0.42105263157894735,0.6774441827620381,0.7073331573744739,-0.02988897461243578,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,dinov2,B0d,tau,2,0.42105263157894735,0.6774441827620381,0.689277817890194,-0.01183363512815594,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,dinov2,B0d,offset,2,0.42105263157894735,0.6774441827620381,0.689750407010607,-0.012306224248568864,탐색적/exploratory
aptos2019,S1_la__B0,w10_decouple,dinov2,B0d,union,2,0.42105263157894735,0.6774441827620381,0.689750407010607,-0.012306224248568864,탐색적/exploratory
aptos2019,S1_la__B1,w10_decouple,panderm,B0,tau,2,0.47368421052631576,0.6824683623009835,0.6930009593141666,-0.010532597013183098,탐색적/exploratory
