dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,0,no_dr,3,295,0.010169491525423728,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,1,mild,15,295,0.05084745762711865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,2,moderate,81,295,0.2745762711864407,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,3,severe,41,295,0.13898305084745763,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat0,5,1,4,proliferative_dr,4,proliferative_dr,155,295,0.5254237288135594,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,0,no_dr,0,no_dr,1775,1805,0.9833795013850416,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,0,no_dr,1,mild,22,1805,0.01218836565096953,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,0,no_dr,2,moderate,8,1805,0.00443213296398892,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,0,no_dr,3,severe,0,1805,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,0,no_dr,4,proliferative_dr,0,1805,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,1,mild,0,no_dr,32,370,0.08648648648648649,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,1,mild,1,mild,217,370,0.5864864864864865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,1,mild,2,moderate,106,370,0.2864864864864865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,1,mild,3,severe,3,370,0.008108108108108109,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
