dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,affine_offset,offset,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.64008766375438,"[0.9750692520775623, 0.5945945945945946, 0.592964824120603, 0.46153846153846156, 0.576271186440678]",0.848475391594085,0.31420765027322406,0.6333250542623802,43,,1.0,1.000000011920929,0.9999999403953552,,
aptos2019,affine_scale,scale,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6279645244708364,"[0.9833795013850416, 0.527027027027027, 0.5829145728643216, 0.48717948717948717, 0.559322033898305]",0.8564841680333038,0.31010928961748635,0.6162265043097216,43,,1.3430429697036743,0.9983570814132691,1.0,,
aptos2019,affine_taunorm,tau=0.0,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6217396951613836,"[0.9806094182825484, 0.47297297297297297, 0.7537688442211056, 0.358974358974359, 0.5423728813559322]",0.8704641827707178,0.2691256830601093,0.6092852313614848,43,,,,,2.215043306350708,-0.7
aptos2019,vs,"g=0.2,t=0.0",4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6344729651748573,"[0.9750692520775623, 0.581081081081081, 0.5527638190954773, 0.48717948717948717, 0.576271186440678]",0.8480524512728413,0.32650273224043713,0.6270267559640818,43,0.8996587030716724,,0.9914677381515503,0.9931726455688477,,
aptos2019,vs_la_corner,"g=0,t=1",4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6381376054888459,"[0.9750692520775623, 0.5675675675675675, 0.6532663316582915, 0.38461538461538464, 0.6101694915254238]",0.8543611951576494,0.2978142076502732,0.6211445523318783,43,,,0.9771771609783173,0.9755465388298035,,
aptos2019,wd_ce,wd=1.0,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6229595381068036,"[0.9806094182825484, 0.4864864864864865, 0.7889447236180904, 0.3333333333333333, 0.5254237288135594]",0.8730570297136392,0.2581967213114754,0.6101582651095185,43,0.9392491467576792,,,0.9802137613296509,,
aptos2019,wd_wce,wd=1.0,4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6525582767243912,"[0.9722991689750693, 0.6081081081081081, 0.6532663316582915, 0.4358974358974359, 0.5932203389830508]",0.8608453944215471,0.28825136612021857,0.6436160774284033,43,0.937542662116041,,,0.9287066459655762,,
aptos2019,ordcost,"abs,lam=1.0,wce",4,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6477424442703678,"[0.9722991689750693, 0.5945945945945946, 0.6683417085427136, 0.41025641025641024, 0.5932203389830508]",0.8672979969143573,0.28005464480874315,0.6356498254621512,43,0.9665529010238908,,0.915370637178421,0.9060026407241821,,
aptos2019,B0,ce·wd1e-4,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6216648776322939,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",0.8827476503101986,0.252387448840382,0.6049037210512621,35,0.9662000682826903,,,,,
aptos2019,B1,wce·wd1e-4,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6333829364546769,"[0.9916897506925207, 0.581081081081081, 0.625, 0.358974358974359, 0.6101694915254238]",0.8754459178202482,0.286493860845839,0.6169917362540314,35,0.9617616934107204,,,,,
aptos2019,affine,full,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6741334011529796,"[0.9944598337950139, 0.7432432432432432, 0.45, 0.5897435897435898, 0.5932203389830508]",0.8670605199053103,0.3015006821282401,0.6666631183024625,35,,1.3943548202514648,0.9978009462356567,1.0,,
aptos2019,affine_offset,offset,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6559535498544842,"[0.9944598337950139, 0.7162162162162162, 0.48, 0.5128205128205128, 0.576271186440678]",0.8615787096708987,0.3069577080491132,0.6489241359733162,35,,1.0,1.000000011920929,1.0,,
