dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,6,"g=0.4,t=1.5",0.7468397475540332,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.0,t=0.0",0.7462170369313226,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.0,t=0.5",0.7443122750265607,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.0,t=1.0",0.7429081236224093,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.0,t=1.5",0.7437017744160601,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.1,t=0.0",0.7479874887017745,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.1,t=0.5",0.745606536320822,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.1,t=1.0",0.7464228628514343,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.1,t=1.5",0.7426133390419105,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.2,t=0.0",0.7464228628514343,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.2,t=0.5",0.7445181009466724,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.2,t=1.0",0.7415249036677608,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.2,t=1.5",0.7445181009466724,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.3,t=0.0",0.7453344274772846,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.3,t=0.5",0.7434296655725227,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.3,t=1.0",0.7481915703344275,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.3,t=1.5",0.7460270681699254,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.4,t=0.0",0.7529534750963323,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.4,t=0.5",0.7460270681699253,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.4,t=1.0",0.7469794491223063,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,7,"g=0.4,t=1.5",0.7449386327957757,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.0,t=0.0",0.7052141112855399,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.0,t=0.5",0.7044431362288506,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.0,t=1.0",0.7104748822605965,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.0,t=1.5",0.7185945403802546,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.1,t=0.0",0.7143637711494855,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.1,t=0.5",0.716982818768533,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.1,t=1.0",0.7147850165707308,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.1,t=1.5",0.7212135879993022,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.2,t=0.0",0.7205542473399615,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.2,t=0.5",0.7286494854351997,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.2,t=1.0",0.7256183499040642,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.2,t=1.5",0.728475492761207,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.3,t=0.0",0.7296018663875807,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.3,t=0.5",0.7306732949590092,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.3,t=1.0",0.7320469213326356,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
