dataset,n_train,n_test,draw,bacc,mcc
oral_diseases,407,54,47,0.658673469387755,0.6104475355709399
oral_diseases,407,54,48,0.8714852607709751,0.8508683139566833
oral_diseases,407,54,49,0.7873582766439909,0.7405204046968766
oral_diseases,407,54,50,0.6786848072562358,0.6343597014718784
oral_diseases,407,54,51,0.7861678004535148,0.7636439058356421
oral_diseases,407,54,52,0.5729024943310657,0.502635331450908
oral_diseases,407,54,53,0.8103174603174603,0.7873981065158688
oral_diseases,407,54,54,0.7748866213151927,0.7422295529206744
oral_diseases,407,54,55,0.7303854875283446,0.6985599085162264
oral_diseases,407,54,56,0.7044217687074829,0.6381958328117121
oral_diseases,407,54,57,0.727267573696145,0.697180619261982
oral_diseases,407,54,58,0.7194444444444444,0.6764032350971286
oral_diseases,407,54,59,0.5617913832199547,0.5026445597338542
oral_diseases,407,54,60,0.6200680272108843,0.5466720659236105
oral_diseases,407,54,61,0.7024943310657595,0.6560217999670173
oral_diseases,407,54,62,0.73078231292517,0.6996148808425816
oral_diseases,407,54,63,0.7776643990929705,0.7653887544668244
oral_diseases,407,54,64,0.781235827664399,0.7430445113095733
oral_diseases,407,54,65,0.6820294784580498,0.6335091540680009
oral_diseases,407,54,66,0.6896825396825398,0.6184941916332617
oral_diseases,407,54,67,0.8319727891156462,0.8049190066184256
oral_diseases,407,54,68,0.7760204081632651,0.7396378868492983
oral_diseases,407,54,69,0.623299319727891,0.5680910762204157
oral_diseases,407,54,70,0.745124716553288,0.6988914945198813
oral_diseases,407,54,71,0.681235827664399,0.6335083157964633
oral_diseases,407,54,72,0.6720521541950114,0.6123139934300414
oral_diseases,407,54,73,0.8222222222222222,0.8057615075473976
oral_diseases,407,54,74,0.8077664399092971,0.7645646373238096
oral_diseases,407,54,75,0.8385487528344671,0.8074915277634512
oral_diseases,407,54,76,0.7433106575963719,0.722336982768489
oral_diseases,407,54,77,0.8254535147392291,0.8045941149778971
oral_diseases,407,54,78,0.7696712018140589,0.7437389782866584
oral_diseases,407,54,79,0.6576530612244899,0.5929738307283263
oral_diseases,407,54,80,0.7651360544217687,0.7180343268898157
oral_diseases,407,54,81,0.7848072562358276,0.740509923581659
oral_diseases,407,54,82,0.8097505668934241,0.7844831399957857
oral_diseases,407,54,83,0.6880952380952381,0.6551838639605491
oral_diseases,407,54,84,0.7601473922902494,0.7228051288284164
oral_diseases,407,54,85,0.6921201814058957,0.6529357417092051
oral_diseases,407,54,86,0.6857709750566894,0.6317494102580584
oral_diseases,407,54,87,0.791893424036281,0.7455719002816159
oral_diseases,407,54,88,0.7855442176870747,0.7422478232758308
oral_diseases,407,54,89,0.7270408163265306,0.6748598610856172
oral_diseases,407,54,90,0.7764739229024943,0.7430376417099185
oral_diseases,407,54,91,0.8456349206349206,0.8079903127866859
oral_diseases,407,54,92,0.7562358276643991,0.6987127916331456
oral_diseases,407,54,93,0.7623582766439909,0.6981513509706604
oral_diseases,407,54,94,0.6971088435374149,0.6551308377533501
oral_diseases,407,54,95,0.7234693877551021,0.679823291204342
oral_diseases,407,54,96,0.7497165532879819,0.6830360663207934
oral_diseases,407,54,97,0.7583333333333334,0.6992755889790317
oral_diseases,407,54,98,0.729251700680272,0.6988452096955773
oral_diseases,407,54,99,0.7700680272108843,0.7430445113095733
oral_diseases,407,54,100,0.7113945578231292,0.6750145485710272
oral_diseases,407,54,101,0.6481292517006801,0.5895754732545647
oral_diseases,407,54,102,0.7587868480725624,0.7245699049266682
oral_diseases,407,54,103,0.7859410430839001,0.7626470113567277
oral_diseases,407,54,104,0.742687074829932,0.6997296065039932
oral_diseases,407,54,105,0.6687641723356009,0.6101342585527334
oral_diseases,407,54,106,0.6938775510204082,0.6537028835836195
oral_diseases,407,54,107,0.8295918367346938,0.7869518430173486
oral_diseases,407,54,108,0.7248299319727891,0.6638639072297495
oral_diseases,407,54,109,0.7701247165532878,0.7188889661135963
oral_diseases,407,54,110,0.724092970521542,0.6794374723420263
oral_diseases,407,54,111,0.7795918367346938,0.7417225490023713
oral_diseases,407,54,112,0.7990929705215419,0.7661722616908634
oral_diseases,407,54,113,0.7421768707482992,0.6990403369686041
oral_diseases,407,54,114,0.7893424036281179,0.7638901205947214
oral_diseases,407,54,115,0.727267573696145,0.6828350269112355
oral_diseases,407,54,116,0.7399659863945578,0.6806870694931844
