epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
25,0.431990385055542,0.8613861386138614,0.6276175942526006,"[0.9833795013850416, 0.527027027027027, 0.795, 0.2564102564102564, 0.576271186440678]",B0,aptos2019,6,2929,733
50,0.2914360463619232,0.897234551041311,0.6829772968495913,"[0.9833795013850416, 0.581081081081081, 0.83, 0.41025641025641024, 0.6101694915254238]",B0,aptos2019,6,2929,733
75,0.24011225998401642,0.9207920792079208,0.6877725327634713,"[0.9833795013850416, 0.6081081081081081, 0.81, 0.41025641025641024, 0.6271186440677966]",B0,aptos2019,6,2929,733
100,0.20833280682563782,0.9320587231136906,0.6829367188754953,"[0.9861495844875346, 0.6081081081081081, 0.8, 0.41025641025641024, 0.6101694915254238]",B0,aptos2019,6,2929,733
125,0.18494661152362823,0.9419597132127006,0.6890292520866727,"[0.9861495844875346, 0.6216216216216216, 0.8, 0.41025641025641024, 0.6271186440677966]",B0,aptos2019,6,2929,733
150,0.16613911092281342,0.9484465687948105,0.6816238466812672,"[0.9861495844875346, 0.5945945945945946, 0.79, 0.41025641025641024, 0.6271186440677966]",B0,aptos2019,6,2929,733
175,0.1504565179347992,0.9549334243769204,0.6725313134700899,"[0.9861495844875346, 0.581081081081081, 0.775, 0.41025641025641024, 0.6101694915254238]",B0,aptos2019,6,2929,733
200,0.13709725439548492,0.9624445203141003,0.6681058110445875,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",B0,aptos2019,6,2929,733
25,0.41750046610832214,0.8641638225255973,0.6488627723925625,"[0.9889196675900277, 0.581081081081081, 0.805, 0.39473684210526316, 0.4745762711864407]",B0,aptos2019,7,2930,732
50,0.27577805519104004,0.9006825938566553,0.6390468059025738,"[0.9806094182825484, 0.6081081081081081, 0.805, 0.39473684210526316, 0.4067796610169492]",B0,aptos2019,7,2930,732
75,0.22411330044269562,0.9232081911262798,0.6436008225230724,"[0.9833795013850416, 0.6081081081081081, 0.825, 0.39473684210526316, 0.4067796610169492]",B0,aptos2019,7,2930,732
100,0.1925395429134369,0.936518771331058,0.6474179970383078,"[0.9861495844875346, 0.6081081081081081, 0.815, 0.42105263157894735, 0.4067796610169492]",B0,aptos2019,7,2930,732
125,0.17020513117313385,0.9450511945392491,0.6377152943356051,"[0.9861495844875346, 0.5945945945945946, 0.78, 0.42105263157894735, 0.4067796610169492]",B0,aptos2019,7,2930,732
150,0.15251970291137695,0.9532423208191126,0.6466811549330448,"[0.9861495844875346, 0.6081081081081081, 0.785, 0.4473684210526316, 0.4067796610169492]",B0,aptos2019,7,2930,732
