dataset,arm,target_prior,target_prior_source,target_assumed,method,source_prior,class_names,bacc,bacc_weighted,acc,acc_weighted,em_prior_l1_err,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,recw_0,recw_1,recw_2,recw_3,recw_4,recw_5,recw_6,n_folds,bacc_sd,exploratory
aptos2019,B4,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,raw,none,no_dr|mild|moderate|severe|proliferative,0.6649790345496154,0.6649790345496154,0.7974701615488411,0.7126793821751287,,,,0.0,0.02102756593285075,0.9776546629732226,0.6990990990990991,0.6523333333333333,0.47377417903733693,0.5220338983050847,,,0.9776546629732226,0.699099099099099,0.6523333333333333,0.47377417903733693,0.5220338983050848,,,15,0.025117442908815107,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,argmax_p,none,no_dr|mild|moderate|severe|proliferative,0.661779213714464,0.661779213714464,0.797014788142648,0.661779213714464,,,,0.02102756593285075,0.0,0.9778393351800554,0.709009009009009,0.6486700167504188,0.42874493927125507,0.5446327683615819,,,0.9778393351800555,0.7090090090090091,0.6486700167504188,0.4287449392712549,0.5446327683615819,,,15,0.026986291798856917,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,em,train,no_dr|mild|moderate|severe|proliferative,0.6505164145986609,0.6505164145986609,0.7115428771647321,0.6505164145986609,0.20864782686618827,0.10633786744685797,0.0,0.1625699212508418,0.15756379576409546,0.958264081255771,0.8117117117117117,0.28070016750418764,0.5793072424651372,0.6225988700564972,,,0.9582640812557711,0.8117117117117119,0.28070016750418764,0.579307242465137,0.6225988700564972,,,15,0.024858622879651467,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,em,uniform,no_dr|mild|moderate|severe|proliferative,0.6494457188695133,0.6494457188695133,0.8120341585966796,0.6494457188695133,0.26670958290679164,0.11607521072651843,0.0,0.05579622630256674,0.05160815770705512,0.9806094182825486,0.6432432432432432,0.7417638190954773,0.3460188933873144,0.535593220338983,,,0.9806094182825486,0.6432432432432432,0.7417638190954775,0.34601889338731434,0.535593220338983,,,15,0.030429656905976203,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,oracle,train,no_dr|mild|moderate|severe|proliferative,0.6614381296393972,0.6614381296393972,0.7432181046029368,0.6614381296393972,,,,0.11387391685738922,0.1103241165258923,0.961034164358264,0.7837837837837838,0.41543048576214403,0.5514619883040937,0.5954802259887005,,,0.961034164358264,0.7837837837837839,0.4154304857621441,0.5514619883040933,0.5954802259887005,,,15,0.02191120377339972,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,oracle,uniform,no_dr|mild|moderate|severe|proliferative,0.661779213714464,0.661779213714464,0.797014788142648,0.661779213714464,,,,0.02102756593285075,0.0,0.9778393351800554,0.709009009009009,0.6486700167504188,0.42874493927125507,0.5446327683615819,,,0.9778393351800555,0.7090090090090091,0.6486700167504188,0.4287449392712549,0.5446327683615819,,,15,0.026986291798856917,탐색적/exploratory
aptos2019,B4,uniform,정의상 균등,False,raw,none,no_dr|mild|moderate|severe|proliferative,0.6649790345496154,0.6649790345496153,0.7974701615488411,0.6649790345496153,,,,0.0,0.02102756593285075,0.9776546629732226,0.6990990990990991,0.6523333333333333,0.47377417903733693,0.5220338983050847,,,0.9776546629732226,0.6990990990990992,0.6523333333333333,0.47377417903733676,0.5220338983050847,,,15,0.025117442908815107,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,argmax_p,none,CaS|CoS|Gum|MC|OC|OLP|OT,0.7438928663928663,0.7438928663928663,0.743521284540702,0.7671494601077935,,,,0.0,0.0,0.8902777777777777,0.9733333333333333,0.6769230769230768,0.6148148148148148,0.6793939393939394,0.6592592592592593,0.7132478632478633,0.8902777777777778,0.9733333333333333,0.676923076923077,0.6148148148148148,0.6793939393939394,0.6592592592592592,0.7132478632478633,15,0.03919902251778943,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,em,train,CaS|CoS|Gum|MC|OC|OLP|OT,0.7408440438703596,0.7408440438703596,0.7396626835947224,0.7697339993502275,0.15466933733196192,0.05734084706674545,0.0,0.02713467762011451,0.02713467762011451,0.8902777777777777,0.9733333333333333,0.6991452991452991,0.5703703703703703,0.6666666666666666,0.6732943469785575,0.7128205128205128,0.8902777777777778,0.9733333333333333,0.6991452991452991,0.5703703703703703,0.6666666666666666,0.6732943469785575,0.7128205128205128,15,0.03623361571045264,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,em,uniform,CaS|CoS|Gum|MC|OC|OLP|OT,0.7332608716819243,0.7332608716819243,0.7357729648991784,0.765410563770213,0.15604717404738624,0.05327302199700285,0.0,0.027788150360965894,0.027788150360965894,0.8944444444444444,0.9733333333333333,0.6713675213675214,0.5888888888888889,0.629090909090909,0.6838206627680312,0.6918803418803419,0.8944444444444445,0.9733333333333333,0.6713675213675214,0.5888888888888889,0.6290909090909091,0.6838206627680311,0.6918803418803419,15,0.038375189809204215,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,oracle,train,CaS|CoS|Gum|MC|OC|OLP|OT,0.7395466327045275,0.7395466327045275,0.7383557381130197,0.7718750466557485,,,,0.03100572566591984,0.03100572566591984,0.8944444444444444,0.9733333333333333,0.7047008547008548,0.5555555555555556,0.6484848484848484,0.6768031189083821,0.7235042735042735,0.8944444444444445,0.9733333333333333,0.7047008547008548,0.5555555555555556,0.6484848484848484,0.676803118908382,0.7235042735042735,15,0.03911231053386872,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,oracle,uniform,CaS|CoS|Gum|MC|OC|OLP|OT,0.7390672680146364,0.7390672680146365,0.7403099327856609,0.7742804164646271,,,,0.04072691062982325,0.04072691062982325,0.8944444444444444,0.9733333333333333,0.6991452991452991,0.562962962962963,0.6357575757575759,0.7052631578947369,0.7025641025641025,0.8944444444444445,0.9733333333333333,0.6991452991452991,0.562962962962963,0.6357575757575759,0.7052631578947367,0.7025641025641025,15,0.034342500018318935,탐색적/exploratory
oral_diseases,A0,benign_heavy,가정 · 구성된 스트레스 시나리오 (pool 에서 MC·OC ×0.333333),True,raw,none,CaS|CoS|Gum|MC|OC|OLP|OT,0.7438928663928663,0.7438928663928663,0.743521284540702,0.7671494601077935,,,,0.0,0.0,0.8902777777777777,0.9733333333333333,0.6769230769230768,0.6148148148148148,0.6793939393939394,0.6592592592592593,0.7132478632478633,0.8902777777777778,0.9733333333333333,0.676923076923077,0.6148148148148148,0.6793939393939394,0.6592592592592592,0.7132478632478633,15,0.03919902251778943,탐색적/exploratory
