metric,variant,family,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,se_nb,ci_lo,ci_hi,ttest_p_nb,tost_p,improves,holm_p,sig_holm
sample_mae,leakfree,aptos_w1,B3,B0,15,0.24480962583353938,0.27492270755245796,0.030113081718918543,0.02047379696600523,0.011521249123466673,0.005402459970722556,0.05482370346711453,0.02042517055452742,0.8025602326704024,False,0.06127551166358226,False
sample_mae,leakfree,aptos_w1,B4,B0,15,0.24480962583353938,0.26003432108828844,0.015224695254749041,0.01956198800354043,0.011008145558602302,-0.008385428798002675,0.038834819307500754,0.18831405501620363,0.33552284127345783,False,0.2749096406077712,False
sample_mae,leakfree,aptos_mixup,B5,B0,15,0.24480962583353938,0.2500996517514852,0.005290025917945784,0.015788457144838598,0.008884661127728035,-0.013765676995466087,0.024345728831357653,0.5610708975180942,0.060012546205395756,False,1.0,False
sample_mae,leakfree,aptos_mixup,B5s,B0,15,0.24480962583353938,0.24829732275247543,0.003487696918936014,0.011864401543348654,0.006676471692511527,-0.010831910689422759,0.017807304527294787,0.6095687679132564,0.013409014688959083,False,1.0,False
sample_mae,leakfree,aptos_d2,B1d,B0d,15,0.2716049181082845,0.2842736231265936,0.012668705018309134,0.010913507082683538,0.006141373489201325,-0.0005032310868611813,0.02584064112347945,0.05818875675667345,0.1262050246291809,False,0.1163775135133469,False
sample_mae,leakfree,aptos_d2,B3d,B0d,15,0.2716049181082845,0.32007224337560675,0.04846732526732229,0.019270975845318398,0.010844383869532083,0.025208435105279314,0.07172621542936526,0.0005293808267882757,0.9900113261611483,False,0.0015881424803648272,True
sample_mae,leakfree,aptos_d2,B4d,B0d,15,0.2716049181082845,0.2785972330313601,0.00699231492307556,0.012285924523658355,0.006913675923630841,-0.007836045162505696,0.021820675008656816,0.32899845839184383,0.040435331439743906,False,0.32899845839184383,False
sample_mae,conflict_excluded,aptos_w1,B1,B0,15,0.2427932718790182,0.27426185560830924,0.03146858372929107,0.012157642703820425,0.006841487711213843,0.01679505196072638,0.04614211549785577,0.00041272309766169686,0.9420738086927732,False,0.0016508923906467874,True
sample_mae,conflict_excluded,aptos_w1,B2,B0,15,0.2427932718790182,0.22657755681234468,-0.016215715066673513,0.018274793098585575,0.010283800524065431,-0.03827227353189118,0.005840843398544158,0.13715869600729014,0.359194205353075,True,0.2743173920145803,False
sample_mae,conflict_excluded,aptos_w1,B3,B0,15,0.2427932718790182,0.27302452897294394,0.030231257093925712,0.020563990091527356,0.011572003630317058,0.005411777755085185,0.05505073643276624,0.020475022292585833,0.8042237919715108,False,0.0614250668777575,False
sample_mae,conflict_excluded,aptos_w1,B4,B0,15,0.2427932718790182,0.25807385282741024,0.015280580948392096,0.01964457481786406,0.011054619755045486,-0.008429220342222637,0.03899038223900683,0.18854181757910904,0.3379656314258581,False,0.2743173920145803,False
sample_mae,conflict_excluded,aptos_mixup,B5,B0,15,0.2427932718790182,0.248107528768557,0.005314256889538788,0.015865586050973584,0.008928063987670286,-0.013834535900094784,0.024463049679172358,0.5611881858992191,0.06112456991984738,False,1.0,False
sample_mae,conflict_excluded,aptos_mixup,B5s,B0,15,0.2427932718790182,0.24629357997136825,0.003500308092350059,0.011902742681305721,0.0066980474560503584,-0.010865574926428461,0.01786619111112858,0.6094330803573235,0.013665935781123921,False,1.0,False
sample_mae,conflict_excluded,aptos_d2,B1d,B0d,15,0.26929623068263614,0.2816289097697147,0.01233267908707853,0.010780110632481979,0.006066307113506081,-0.0006782556547903912,0.02534361382894745,0.0614690599123931,0.11344957260834103,False,0.1229381198247862,False
sample_mae,conflict_excluded,aptos_d2,B3d,B0d,15,0.26929623068263614,0.31823554254060704,0.04893931185797086,0.01904081832026991,0.010714866995445313,0.025958207763329917,0.07192041595261181,0.00043886856099851617,0.9913861251358455,False,0.0013166056829955486,True
sample_mae,conflict_excluded,aptos_d2,B4d,B0d,15,0.26929623068263614,0.27612501142616513,0.006828780743528908,0.012253207613205511,0.006895265089699878,-0.007960092030523752,0.02161765351758157,0.3388080542582338,0.03840581422064887,False,0.3388080542582338,False
