dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B1,scale,0,0.6981120524432887,"[0.9806094182825484, 0.7702702702702703, 0.505, 0.6923076923076923, 0.5423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,1,0.6559923879247322,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,1,0.6575010856707181,"[0.96398891966759, 0.7837837837837838, 0.425, 0.5384615384615384, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,1,0.6470285340652024,"[0.9584487534626038, 0.7432432432432432, 0.47, 0.48717948717948717, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,1,0.6590551022912166,"[0.9667590027700831, 0.7837837837837838, 0.43, 0.5384615384615384, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,2,0.6721492012694416,"[0.9778393351800554, 0.7162162162162162, 0.66, 0.4473684210526316, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,2,0.6896812818264529,"[0.9722991689750693, 0.8378378378378378, 0.5, 0.5789473684210527, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,2,0.6766195139221104,"[0.9695290858725761, 0.7972972972972973, 0.54, 0.5, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,2,0.6921384927347181,"[0.9861495844875346, 0.8243243243243243, 0.495, 0.5789473684210527, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,3,0.6813626448646872,"[0.9778393351800554, 0.7027027027027027, 0.65, 0.5, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,3,0.702398952875595,"[0.9806094182825484, 0.7702702702702703, 0.51, 0.6578947368421053, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,3,0.7018855142291924,"[0.9750692520775623, 0.7432432432432432, 0.54, 0.6578947368421053, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,3,0.7022567053649263,"[0.9806094182825484, 0.7432432432432432, 0.51, 0.6842105263157895, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,4,0.639772900608512,"[0.9750692520775623, 0.5675675675675675, 0.678391959798995, 0.38461538461538464, 0.5932203389830508]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
