arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,epochs_run,bacc,mcc,macro_mae,classmean_mae,per_class_recall,image_root,dp_on,lp,blocks,aug,std,wce,train_ce_best,bmix,alpha,split,splits_sha256
w16_ft2,aptos2019,2,2637,293,732,0.7088888888888889,23,0.6921898541106485,0.7409049057047805,0.2117486338797814,0.3950394054790035,"[0.9695290858725761, 0.7297297297297297, 0.755, 0.4473684210526316, 0.559322033898305]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,3,2637,293,732,0.7238888888888889,31,0.6522852525749845,0.7418215995168762,0.2144808743169398,0.4359375684431321,"[0.9778393351800554, 0.5405405405405406, 0.855, 0.4473684210526316, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,4,2637,293,732,0.696388888888889,18,0.6044511667463273,0.6695874083296239,0.2882513661202185,0.5115755529427721,"[0.9778393351800554, 0.5945945945945946, 0.6432160804020101, 0.1794871794871795, 0.6271186440677966]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,5,2636,293,733,0.7138888888888889,25,0.6432387416507798,0.7632999420683059,0.2005457025920873,0.458066343094983,"[0.9889196675900277, 0.581081081081081, 0.89, 0.23076923076923078, 0.5254237288135594]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,6,2636,293,733,0.6666666666666667,26,0.6463562184944409,0.7513237102135364,0.2046384720327421,0.4190452557531763,"[0.9944598337950139, 0.4594594594594595, 0.86, 0.3076923076923077, 0.6101694915254238]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,7,2637,293,732,0.7636111111111111,23,0.6824764403353539,0.7261519506067017,0.2486338797814207,0.4346964493955433,"[0.9833795013850416, 0.7297297297297297, 0.685, 0.42105263157894735, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,8,2637,293,732,0.7111111111111111,23,0.6842695101787548,0.7311800478349189,0.2308743169398907,0.4081239355229214,"[0.9750692520775623, 0.7702702702702703, 0.705, 0.39473684210526316, 0.576271186440678]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,9,2637,293,732,0.7313888888888889,20,0.677884661780171,0.7149429730543606,0.2663934426229508,0.4752556887911109,"[0.9861495844875346, 0.7972972972972973, 0.628140703517588, 0.38461538461538464, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,10,2636,293,733,0.7152777777777778,18,0.6903285733338318,0.7266628628485063,0.2291950886766712,0.3965556639897689,"[0.9889196675900277, 0.7972972972972973, 0.645, 0.41025641025641024, 0.6101694915254238]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,11,2636,293,733,0.6830555555555555,26,0.6425669545422585,0.7344953109452554,0.2223738062755798,0.4455071803936539,"[0.9806094182825484, 0.6486486486486487, 0.81, 0.28205128205128205, 0.4915254237288136]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,12,2637,293,732,0.6825,26,0.6237332573664797,0.7127398588039111,0.244535519125683,0.4861414188967125,"[0.9833795013850416, 0.6351351351351351, 0.77, 0.2894736842105263, 0.4406779661016949]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,13,2637,293,732,0.6725,33,0.6863442275554112,0.7496479149408283,0.2240437158469945,0.4282615285833747,"[0.9722991689750693, 0.7297297297297297, 0.785, 0.3684210526315789, 0.576271186440678]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,14,2637,293,732,0.6794444444444444,16,0.689248172698501,0.7311231366851063,0.2377049180327868,0.4398157900082519,"[0.9916897506925207, 0.5, 0.7537688442211056, 0.6923076923076923, 0.5084745762711864]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,oral_diseases,0,370,42,104,0.9045918367346938,18,0.6676242617032091,0.6440300103287634,0.5961538461538461,0.6190595953753848,"[0.8125, 0.8666666666666667, 0.5833333333333334, 0.6666666666666666, 0.36363636363636365, 0.8421052631578947, 0.5384615384615384]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,"[22, 23]",,,,,,,,
w16_ft2,oral_diseases,1,371,42,103,0.7765306122448979,26,0.8221880458722566,0.775860280222859,0.3495145631067961,0.3058403584719374,"[1.0, 1.0, 0.8333333333333334, 0.5555555555555556, 0.8181818181818182, 0.631578947368421, 0.9166666666666666]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,False,"[22, 23]",,,,,,,,
