dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B1d,9,full,732,0.2937158469945355,0.5047356273179271
aptos2019,B1d,9,leakfree,691,0.2865412445730825,0.5076884312149221
aptos2019,B1d,9,conflict_excluded,689,0.2844702467343977,0.5091744503197881
aptos2019,B1d,10,full,733,0.29740791268758526,0.4899141935385421
aptos2019,B1d,10,leakfree,688,0.29941860465116277,0.513744029204824
aptos2019,B1d,10,conflict_excluded,688,0.29941860465116277,0.513744029204824
aptos2019,B1d,11,full,733,0.2946793997271487,0.5101725807617165
aptos2019,B1d,11,leakfree,699,0.296137339055794,0.5294173094173095
aptos2019,B1d,11,conflict_excluded,697,0.29555236728837875,0.530772344805494
aptos2019,B1d,12,full,732,0.27049180327868855,0.45374526528970394
aptos2019,B1d,12,leakfree,693,0.2698412698412698,0.467732758294556
aptos2019,B1d,12,conflict_excluded,689,0.2612481857764877,0.4567210933720368
aptos2019,B1d,13,full,732,0.2896174863387978,0.503915098158396
aptos2019,B1d,13,leakfree,688,0.2877906976744186,0.5332828017808703
aptos2019,B1d,13,conflict_excluded,684,0.28362573099415206,0.530358414719634
aptos2019,B1d,14,full,732,0.27595628415300544,0.4734590861691693
aptos2019,B1d,14,leakfree,689,0.2728592162554427,0.48746186353489884
aptos2019,B1d,14,conflict_excluded,687,0.27074235807860264,0.48310758429838685
aptos2019,B2,0,full,733,0.22100954979536153,0.451092805609027
aptos2019,B2,0,leakfree,694,0.21757925072046108,0.46176826799625986
aptos2019,B2,0,conflict_excluded,692,0.21676300578034682,0.4632080601685714
aptos2019,B2,1,full,733,0.23465211459754434,0.4730979767106346
aptos2019,B2,1,leakfree,702,0.22934472934472935,0.4711909098033171
aptos2019,B2,1,conflict_excluded,698,0.22492836676217765,0.4691189497699133
aptos2019,B2,2,full,732,0.22404371584699453,0.4436670837230018
aptos2019,B2,2,leakfree,690,0.20869565217391303,0.4276211349172243
aptos2019,B2,2,conflict_excluded,686,0.20699708454810495,0.4240901188061432
aptos2019,B2,3,full,732,0.2527322404371585,0.46608371665717085
aptos2019,B2,3,leakfree,696,0.25,0.4704356258133089
aptos2019,B2,3,conflict_excluded,690,0.2463768115942029,0.46382776768539263
aptos2019,B2,4,full,732,0.24726775956284153,0.4768620146574286
