bacc,mcc,macro_mae,per_class_recall,rank_violation_rows,head,lr,epochs,train_loss,grad_norm,w_norm,bias_ordered,biases,arm,setting,dataset,fold,n_train,n_test,feats,lever,recall_no_dr,recall_mild,recall_moderate,recall_severe,recall_prolif
0.47802001616622014,0.44018610086698473,0.46994535519125685,"[0.778393351800554, 0.5675675675675675, 0.38, 0.34210526315789475, 0.3220338983050847]",0,coral_true,0.3,400,2.5005125999450684,8.164755821228027,18.39141273498535,True,"[5.364043712615967, -5.379857063293457, -13.161764144897461, -20.31158447265625]",B3c_convAlt,convAlt,aptos2019,3,2930,732,panderm,rebalance,0.778393351800554,0.5675675675675675,0.38,0.34210526315789475,0.3220338983050847
0.650480356265933,0.6768761104483662,0.2814207650273224,"[0.961218836565097, 0.6891891891891891, 0.635, 0.5263157894736842, 0.4406779661016949]",343,legacy,0.3,400,0.05740085616707802,0.0028192028403282166,69.29723358154297,True,"[6.237529277801514, -5.070455074310303, -14.032380104064941, -16.338157653808594]",B3_convAlt,convAlt,aptos2019,3,2930,732,panderm,rebalance,0.961218836565097,0.6891891891891891,0.635,0.5263157894736842,0.4406779661016949
0.5308940135496781,0.4998212059536552,0.4959016393442623,"[0.7894736842105263, 0.5405405405405406, 0.415, 0.07894736842105263, 0.8305084745762712]",0,coral_true,0.01,200,1.222468376159668,0.21364718675613403,1.7224721908569336,True,"[1.081046223640442, -0.3450203537940979, -1.3924750089645386, -1.705163836479187]",B3c_prereg,prereg,aptos2019,3,2930,732,panderm,rebalance,0.7894736842105263,0.5405405405405406,0.415,0.07894736842105263,0.8305084745762712
0.6642890606461667,0.650442753173908,0.29508196721311475,"[0.9279778393351801, 0.7297297297297297, 0.55, 0.6052631578947368, 0.5084745762711864]",557,legacy,0.01,200,0.5398716330528259,0.09761941432952881,6.171615123748779,True,"[0.4182949364185333, -0.7306767702102661, -1.4327991008758545, -1.4816895723342896]",B3_prereg,prereg,aptos2019,3,2930,732,panderm,rebalance,0.9279778393351801,0.7297297297297297,0.55,0.6052631578947368,0.5084745762711864
0.5976859477230716,0.6103290344597809,0.31830601092896177,"[0.9307479224376731, 0.581081081081081, 0.5326633165829145, 0.38461538461538464, 0.559322033898305]",0,coral_true,0.03,800,0.5721775889396667,0.2187517136335373,8.64832592010498,True,"[1.6751031875610352, -2.573354721069336, -5.485414981842041, -7.775237083435059]",B3c_conv,conv,aptos2019,4,2930,732,panderm,rebalance,0.9307479224376731,0.581081081081081,0.5326633165829145,0.38461538461538464,0.559322033898305
0.6282584886736449,0.6755600669522603,0.26366120218579236,"[0.9722991689750693, 0.47297297297297297, 0.6834170854271356, 0.48717948717948717, 0.5254237288135594]",543,legacy,0.03,800,0.1265992522239685,0.00871048029512167,24.848487854003906,True,"[1.0325725078582764, -1.9923012256622314, -5.264750003814697, -5.376223564147949]",B3_conv,conv,aptos2019,4,2930,732,panderm,rebalance,0.9722991689750693,0.47297297297297297,0.6834170854271356,0.48717948717948717,0.5254237288135594
0.48508885974478166,0.459160777463365,0.44672131147540983,"[0.8587257617728532, 0.47297297297297297, 0.33668341708542715, 0.3333333333333333, 0.423728813559322]",0,coral_true,0.3,400,1.7992547750473022,6.120969295501709,17.589752197265625,True,"[4.005862712860107, -5.939741611480713, -12.2241792678833, -17.898527145385742]",B3c_convAlt,convAlt,aptos2019,4,2930,732,panderm,rebalance,0.8587257617728532,0.47297297297297297,0.33668341708542715,0.3333333333333333,0.423728813559322
0.6013246015063876,0.663265332574126,0.27595628415300544,"[0.9722991689750693, 0.47297297297297297, 0.6934673366834171, 0.41025641025641024, 0.4576271186440678]",434,legacy,0.3,400,0.04985811188817024,0.0027010166086256504,68.64916229248047,True,"[6.0863423347473145, -4.672363758087158, -11.38802433013916, -14.706393241882324]",B3_convAlt,convAlt,aptos2019,4,2930,732,panderm,rebalance,0.9722991689750693,0.47297297297297297,0.6934673366834171,0.41025641025641024,0.4576271186440678
0.5240426967081508,0.48775599209612835,0.4849726775956284,"[0.7700831024930748, 0.47297297297297297, 0.4271356783919598, 0.10256410256410256, 0.847457627118644]",0,coral_true,0.01,200,1.2274696826934814,0.21292133629322052,1.6890746355056763,True,"[1.081694483757019, -0.3406986892223358, -1.3898626565933228, -1.704227089881897]",B3c_prereg,prereg,aptos2019,4,2930,732,panderm,rebalance,0.7700831024930748,0.47297297297297297,0.4271356783919598,0.10256410256410256,0.847457627118644
0.6442905882279614,0.6562431305614627,0.2814207650273224,"[0.9445983379501385, 0.581081081081081, 0.5979899497487438, 0.5384615384615384, 0.559322033898305]",544,legacy,0.01,200,0.5432131290435791,0.09815313667058945,6.041975021362305,True,"[0.3845796585083008, -0.6750624179840088, -1.4453320503234863, -1.4835233688354492]",B3_prereg,prereg,aptos2019,4,2930,732,panderm,rebalance,0.9445983379501385,0.581081081081081,0.5979899497487438,0.5384615384615384,0.559322033898305
