bacc,mcc,macro_mae,per_class_recall,train_acc,train_bacc,train_loss,weight_norm,dataset,fold,setting,wd,epochs,n_train,n_test,ref_cell,exploratory
0.6427510783418102,0.7039616475677131,0.2742155525238745,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",0.9675657220894504,0.9225623773884308,0.1265990287065506,8.009208679199219,aptos2019,1,baseline,0.0,200,2929,733,False,탐색적/exploratory
0.6298167342601823,0.680437865760764,0.29740791268758526,"[0.9584487534626038, 0.6351351351351351, 0.705, 0.358974358974359, 0.4915254237288136]",0.9918060771594401,0.9785596394445907,0.01667494885623455,30.573631286621094,aptos2019,1,baseline,0.0,2000,2929,733,False,탐색적/exploratory
0.637664702877295,0.7347041128255676,0.23465211459754434,"[0.9806094182825484, 0.6621621621621622, 0.815, 0.20512820512820512, 0.5254237288135594]",0.906452714236941,0.8030296925888851,0.27321818470954895,4.100098133087158,aptos2019,1,baseline,0.0001,50,2929,733,False,탐색적/exploratory
0.6427510783418102,0.7039616475677131,0.2742155525238745,"[0.9695290858725761, 0.6756756756756757, 0.735, 0.358974358974359, 0.4745762711864407]",0.9675657220894504,0.9225623773884308,0.12660694122314453,8.008549690246582,aptos2019,1,baseline,0.0001,200,2929,733,True,탐색적/exploratory
0.6298167342601823,0.680437865760764,0.29740791268758526,"[0.9584487534626038, 0.6351351351351351, 0.705, 0.358974358974359, 0.4915254237288136]",0.9918060771594401,0.9785596394445907,0.016686804592609406,30.5538330078125,aptos2019,1,baseline,0.0001,2000,2929,733,False,탐색적/exploratory
0.637664702877295,0.7347041128255676,0.23465211459754434,"[0.9806094182825484, 0.6621621621621622, 0.815, 0.20512820512820512, 0.5254237288135594]",0.906452714236941,0.8030296925888851,0.27317550778388977,4.086721897125244,aptos2019,1,baseline,0.01,50,2929,733,False,탐색적/exploratory
0.6437510783418103,0.7059234939969912,0.27148703956343795,"[0.9695290858725761, 0.6756756756756757, 0.74, 0.358974358974359, 0.4745762711864407]",0.9672243086377603,0.9212636760897295,0.1273769587278366,7.944809436798096,aptos2019,1,baseline,0.01,200,2929,733,False,탐색적/exploratory
0.6298167342601823,0.680437865760764,0.29740791268758526,"[0.9584487534626038, 0.6351351351351351, 0.705, 0.358974358974359, 0.4915254237288136]",0.9918060771594401,0.9785596394445907,0.017873620614409447,28.806991577148438,aptos2019,1,baseline,0.01,2000,2929,733,False,탐색적/exploratory
0.6360026530157992,0.7290427653431698,0.24420190995907232,"[0.9722991689750693, 0.6621621621621622, 0.815, 0.20512820512820512, 0.5254237288135594]",0.905428473881871,0.799584832364364,0.2728828191757202,3.967977285385132,aptos2019,1,baseline,0.1,50,2929,733,False,탐색적/exploratory
0.6437510783418103,0.7059234939969912,0.27148703956343795,"[0.9695290858725761, 0.6756756756756757, 0.74, 0.358974358974359, 0.4745762711864407]",0.9644930010242404,0.9158800963505463,0.13432219624519348,7.4138689041137695,aptos2019,1,baseline,0.1,200,2929,733,False,탐색적/exploratory
0.6304836901787463,0.6894773806754607,0.286493860845839,"[0.96398891966759, 0.6216216216216216, 0.725, 0.3333333333333333, 0.5084745762711864]",0.9918060771594401,0.9791567841805955,0.02843797206878662,21.194791793823242,aptos2019,1,baseline,0.1,2000,2929,733,False,탐색적/exploratory
0.6597519519215842,0.6832700071785718,0.2946793997271487,"[0.96398891966759, 0.7432432432432432, 0.605, 0.41025641025641024, 0.576271186440678]",0.8897234551041311,0.8759439787924499,0.37107938528060913,4.151736259460449,aptos2019,1,reweight,0.0,50,2929,733,False,탐색적/exploratory
0.6559923879247322,0.6823980184757836,0.2987721691678035,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",0.9603960396039604,0.9643230393899115,0.16019077599048615,8.953235626220703,aptos2019,1,reweight,0.0,200,2929,733,False,탐색적/exploratory
0.6156528572149493,0.6624746658820815,0.3151432469304229,"[0.9584487534626038, 0.6486486486486487, 0.655, 0.3076923076923077, 0.5084745762711864]",0.9921474906111301,0.9924732414557613,0.02465161122381687,31.353866577148438,aptos2019,1,reweight,0.0,2000,2929,733,False,탐색적/exploratory
0.6597519519215842,0.6832700071785718,0.2946793997271487,"[0.96398891966759, 0.7432432432432432, 0.605, 0.41025641025641024, 0.576271186440678]",0.8897234551041311,0.8759439787924499,0.3710812032222748,4.151612758636475,aptos2019,1,reweight,0.0001,50,2929,733,False,탐색적/exploratory
0.6559923879247322,0.6823980184757836,0.2987721691678035,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",0.9603960396039604,0.9643230393899115,0.16020238399505615,8.952533721923828,aptos2019,1,reweight,0.0001,200,2929,733,True,탐색적/exploratory
0.6156528572149493,0.6624746658820815,0.3151432469304229,"[0.9584487534626038, 0.6486486486486487, 0.655, 0.3076923076923077, 0.5084745762711864]",0.9921474906111301,0.9924732414557613,0.02466716058552265,31.333356857299805,aptos2019,1,reweight,0.0001,2000,2929,733,False,탐색적/exploratory
0.6597519519215842,0.6832700071785718,0.2946793997271487,"[0.96398891966759, 0.7432432432432432, 0.605, 0.41025641025641024, 0.576271186440678]",0.8900648685558211,0.8761942916835638,0.3712579607963562,4.139575004577637,aptos2019,1,reweight,0.01,50,2929,733,False,탐색적/exploratory
0.6559923879247322,0.6823980184757836,0.2987721691678035,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",0.9600546261522704,0.9640727264987976,0.1613365113735199,8.88460922241211,aptos2019,1,reweight,0.01,200,2929,733,False,탐색적/exploratory
0.6156528572149493,0.6624746658820815,0.3151432469304229,"[0.9584487534626038, 0.6486486486486487, 0.655, 0.3076923076923077, 0.5084745762711864]",0.9921474906111301,0.9924732414557613,0.026218358427286148,29.529516220092773,aptos2019,1,reweight,0.01,2000,2929,733,False,탐색적/exploratory
0.6597519519215842,0.6830349843265059,0.2946793997271487,"[0.96398891966759, 0.7432432432432432, 0.605, 0.41025641025641024, 0.576271186440678]",0.890406282007511,0.8764446045746777,0.37293073534965515,4.032771587371826,aptos2019,1,reweight,0.1,50,2929,733,False,탐색적/exploratory
0.6592491072479334,0.6865618103965986,0.296043656207367,"[0.9667590027700831, 0.7162162162162162, 0.635, 0.4358974358974359, 0.5423728813559322]",0.9569819050870604,0.961931719214762,0.17155630886554718,8.315866470336914,aptos2019,1,reweight,0.1,200,2929,733,False,탐색적/exploratory
0.6347045033852396,0.6725397551728014,0.3015006821282401,"[0.9584487534626038, 0.6756756756756757, 0.655, 0.358974358974359, 0.5254237288135594]",0.9914646637077501,0.9903270825299415,0.0397227518260479,21.8232421875,aptos2019,1,reweight,0.1,2000,2929,733,False,탐색적/exploratory
0.6781437461218202,0.7586994962357783,0.2103825136612022,"[0.9916897506925207, 0.6351351351351351, 0.825, 0.4473684210526316, 0.4915254237288136]",0.898976109215017,0.7928670184005151,0.28434380888938904,4.013436794281006,aptos2019,2,baseline,0.0,50,2930,732,False,탐색적/exploratory
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",0.9655290102389078,0.9238694621938348,0.13107998669147491,8.084763526916504,aptos2019,2,baseline,0.0,200,2930,732,False,탐색적/exploratory
0.642445241053063,0.7094453262459746,0.26229508196721313,"[0.9861495844875346, 0.581081081081081, 0.74, 0.4473684210526316, 0.4576271186440678]",0.9938566552901024,0.9852585863075207,0.01510821282863617,31.396434783935547,aptos2019,2,baseline,0.0,2000,2930,732,False,탐색적/exploratory
0.6781437461218202,0.7586994962357783,0.2103825136612022,"[0.9916897506925207, 0.6351351351351351, 0.825, 0.4473684210526316, 0.4915254237288136]",0.898976109215017,0.7928670184005151,0.28434309363365173,4.013302803039551,aptos2019,2,baseline,0.0001,50,2930,732,False,탐색적/exploratory
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",0.9655290102389078,0.9238694621938348,0.13108831644058228,8.084101676940918,aptos2019,2,baseline,0.0001,200,2930,732,True,탐색적/exploratory
0.642445241053063,0.7094453262459746,0.26229508196721313,"[0.9861495844875346, 0.581081081081081, 0.74, 0.4473684210526316, 0.4576271186440678]",0.9938566552901024,0.9852585863075207,0.015120760537683964,31.37613868713379,aptos2019,2,baseline,0.0001,2000,2930,732,False,탐색적/exploratory
0.6791437461218202,0.7607768932755462,0.20765027322404372,"[0.9916897506925207, 0.6351351351351351, 0.83, 0.4473684210526316, 0.4915254237288136]",0.8993174061433447,0.793117331291629,0.2842712700366974,4.000268936157227,aptos2019,2,baseline,0.01,50,2930,732,False,탐색적/exploratory
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",0.9651877133105802,0.9231937865181592,0.1318976730108261,8.020124435424805,aptos2019,2,baseline,0.01,200,2930,732,False,탐색적/exploratory
0.6504111016505025,0.713719537638592,0.25956284153005466,"[0.9861495844875346, 0.5945945945945946, 0.74, 0.47368421052631576, 0.4576271186440678]",0.9938566552901024,0.9852585863075207,0.016375647857785225,29.58365821838379,aptos2019,2,baseline,0.01,2000,2930,732,False,탐색적/exploratory
0.6791437461218202,0.7607768932755462,0.20765027322404372,"[0.9916897506925207, 0.6351351351351351, 0.83, 0.4473684210526316, 0.4915254237288136]",0.8993174061433447,0.7892883487510411,0.2837204933166504,3.884611129760742,aptos2019,2,baseline,0.1,50,2930,732,False,탐색적/exploratory
0.669678888616773,0.7435886113176439,0.22404371584699453,"[0.9861495844875346, 0.6351351351351351, 0.79, 0.39473684210526316, 0.5423728813559322]",0.9641638225255973,0.9220174850602557,0.1391548216342926,7.4864277839660645,aptos2019,2,baseline,0.1,200,2930,732,False,탐색적/exploratory
