cls,n_pos,prevalence,mean_p,ovr_intercept,ovr_slope,ovr_converged,ovr_brier,cw_ece_em,cw_ece_db,dataset,arm,scaling,repeat,exploratory
5,94,0.1821705426356589,0.1829786210770303,-0.061727402484375124,0.9358820940989253,True,0.09369586128468918,0.02479347947972114,0.0,oral_diseases,A0d,temp,0,탐색적/exploratory
6,63,0.12209302325581395,0.1316697750383287,-0.018119012956384475,1.1368552923522854,True,0.05237633875528082,0.023128211275888513,0.0,oral_diseases,A0d,temp,0,탐색적/exploratory
0,79,0.15310077519379844,0.14975740866931928,0.3061734816595325,1.2148065915669604,True,0.0388191047685772,0.025884269629410803,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
1,75,0.14534883720930233,0.15986847313391989,-0.5795537977732748,1.2559610887847206,True,0.01487108455314764,0.014875529821819004,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
2,61,0.1182170542635659,0.10967319757675559,0.1542516304950568,1.0051430864248803,True,0.05562590583638955,0.022787673268448716,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
3,90,0.1744186046511628,0.16297230866355783,-0.03446811870017273,0.8233249692826815,True,0.09580047362029454,0.03478630217476129,0.010406403282788716,oral_diseases,A0d,temp,1,탐색적/exploratory
4,54,0.10465116279069768,0.11448359081968688,-0.056448321744663486,1.0896326356306902,True,0.0581630049466117,0.014563780663611846,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
5,94,0.1821705426356589,0.17463488020446652,0.11136187914166701,1.0313341298342,True,0.0917654162308683,0.02468562795215583,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
6,63,0.12209302325581395,0.12861014093229403,0.2291923421028646,1.326546525456547,True,0.04856405047686632,0.020889838192561495,0.0,oral_diseases,A0d,temp,1,탐색적/exploratory
0,79,0.15310077519379844,0.1540730199153129,0.04953384349119655,1.0750857333746637,True,0.04109385084118016,0.022910329545425864,0.0,oral_diseases,A0d,temp,2,탐색적/exploratory
1,75,0.14534883720930233,0.15758235795365116,-0.41634803259374953,1.4473852488542216,True,0.012258471088546424,0.01855887458670639,0.02111028675839541,oral_diseases,A0d,temp,2,탐색적/exploratory
2,61,0.1182170542635659,0.11450423597567552,0.1906211454447824,1.1008229255862252,True,0.052379116541344195,0.030423598906061552,0.022975396376063533,oral_diseases,A0d,temp,2,탐색적/exploratory
3,90,0.1744186046511628,0.16712102309533455,-0.14870870817411105,0.7471693476811324,True,0.09740113928251994,0.041130475810852406,0.019155757824248904,oral_diseases,A0d,temp,2,탐색적/exploratory
4,54,0.10465116279069768,0.10825420063955812,-0.04686320367496693,1.012059609316835,True,0.056229544474250596,0.025627065106421026,0.0,oral_diseases,A0d,temp,2,탐색적/exploratory
5,94,0.1821705426356589,0.17443762432921003,0.021099618255704587,0.9261203047908237,True,0.09260319482225365,0.03361062777862856,0.0,oral_diseases,A0d,temp,2,탐색적/exploratory
6,63,0.12209302325581395,0.12402753809125774,0.09620174451098876,1.108231344507911,True,0.05246823971594283,0.019799632392500797,0.0,oral_diseases,A0d,temp,2,탐색적/exploratory
0,79,0.15310077519379844,0.1556328527822208,0.36934889781152686,1.5155979447924277,True,0.027335573111212968,0.026676901346204415,0.03148865215547854,oral_diseases,A1,temp,0,탐색적/exploratory
1,75,0.14534883720930233,0.1620128037874055,-0.5245905989800596,1.8883688036152724,True,0.01106441227469946,0.029779586890356372,0.04472499368668282,oral_diseases,A1,temp,0,탐색적/exploratory
2,61,0.1182170542635659,0.11177763242533102,0.2356264399028945,1.0923691121323376,True,0.051005183408388687,0.017746957766443364,0.0,oral_diseases,A1,temp,0,탐색적/exploratory
3,90,0.1744186046511628,0.1548328582196531,0.1706315381598499,0.9376602207728889,True,0.0892576613257723,0.03199011802372702,0.0,oral_diseases,A1,temp,0,탐색적/exploratory
4,54,0.10465116279069768,0.11447390467603667,-0.147698214501643,1.0148275775262274,True,0.05750124878240813,0.02640532484960216,0.0030138475600596506,oral_diseases,A1,temp,0,탐색적/exploratory
5,94,0.1821705426356589,0.18137395670006792,-0.12083111852431412,0.8316101919218316,True,0.0895346735049243,0.040612413808230816,0.024206551580939702,oral_diseases,A1,temp,0,탐색적/exploratory
6,63,0.12209302325581395,0.11989599140928499,0.24677903696683673,1.1823247563580794,True,0.04961442708000492,0.024217553950026144,0.002578507861979002,oral_diseases,A1,temp,0,탐색적/exploratory
0,79,0.15310077519379844,0.15227273808401426,0.24346802851854255,1.2241367425117182,True,0.02703136471288766,0.020423535162243288,0.015759086672687425,oral_diseases,A1,temp,1,탐색적/exploratory
1,75,0.14534883720930233,0.16357404318691537,-0.9734469549520625,1.2343995328871362,True,0.01652142373276236,0.01884549225666774,0.021535810688814997,oral_diseases,A1,temp,1,탐색적/exploratory
2,61,0.1182170542635659,0.1109769392922159,0.07177544320729572,0.9339660047683509,True,0.05216742897366032,0.010753040054030718,0.0,oral_diseases,A1,temp,1,탐색적/exploratory
3,90,0.1744186046511628,0.1622995158777279,-0.013184808329551143,0.8040612006807012,True,0.08934557496202615,0.03952625052700268,0.023594164893901454,oral_diseases,A1,temp,1,탐색적/exploratory
4,54,0.10465116279069768,0.11759031262458201,-0.18253605729977973,1.0644090354003903,True,0.05131284564758018,0.018771290560863445,0.0,oral_diseases,A1,temp,1,탐색적/exploratory
5,94,0.1821705426356589,0.1743706077545861,-0.06009032481066088,0.8005182426341446,True,0.08227800079294824,0.02533850033167047,0.0,oral_diseases,A1,temp,1,탐색적/exploratory
6,63,0.12209302325581395,0.11891584317995846,0.2108575820340052,1.136864202047889,True,0.044462868180426295,0.02288337008888891,0.0,oral_diseases,A1,temp,1,탐색적/exploratory
0,79,0.15310077519379844,0.15163470553644057,0.7850313201377758,1.7428297221775693,True,0.02620653290785428,0.03206144173640799,0.05811160491355871,oral_diseases,A1,temp,2,탐색적/exploratory
1,75,0.14534883720930233,0.16233652149717417,-0.4647962827735074,2.3744513017282514,True,0.0103098594236198,0.03230093739236662,0.04988798510230248,oral_diseases,A1,temp,2,탐색적/exploratory
2,61,0.1182170542635659,0.11646132677030832,0.2881674148480019,1.2225968431097127,True,0.044604459160051804,0.03123457539404466,0.03245481164640539,oral_diseases,A1,temp,2,탐색적/exploratory
3,90,0.1744186046511628,0.16183342110972548,0.057375771420664856,0.8978320970105839,True,0.0919907884121418,0.03943153268211765,0.028348340582390025,oral_diseases,A1,temp,2,탐색적/exploratory
4,54,0.10465116279069768,0.11214005522208702,-0.17252303064910648,0.9608228554731845,True,0.057170804227946535,0.018028679047347847,0.0,oral_diseases,A1,temp,2,탐색적/exploratory
5,94,0.1821705426356589,0.18028400789747634,-0.19457694637438105,0.750481774560272,True,0.08898069599123436,0.028745588333029183,0.0,oral_diseases,A1,temp,2,탐색적/exploratory
6,63,0.12209302325581395,0.1153099619667881,0.328277989237481,1.1563771955657791,True,0.05114556822943061,0.0189171007236168,0.0,oral_diseases,A1,temp,2,탐색적/exploratory
0,79,0.15310077519379844,0.15641950964646675,0.19531842249243814,1.3826730290618499,True,0.030004897100376463,0.01984834567308706,0.01511786850711103,oral_diseases,A2,temp,0,탐색적/exploratory
1,75,0.14534883720930233,0.15793066164255304,-0.5168964344917728,1.6616177219240973,True,0.011640968598049119,0.02132103412338105,0.030692263286348043,oral_diseases,A2,temp,0,탐색적/exploratory
2,61,0.1182170542635659,0.1129242954070316,0.16610181337887084,1.049260619299798,True,0.0500819319073608,0.02300600318040693,0.012145383774772096,oral_diseases,A2,temp,0,탐색적/exploratory
3,90,0.1744186046511628,0.15153378956243135,0.13339436583930034,0.8588371507100363,True,0.09127428720290644,0.02837410755944744,0.0,oral_diseases,A2,temp,0,탐색적/exploratory
