dataset,rep,space,fold,i,j,i_name,j_name,cdnv,exploratory
aptos2019,frozen,raw,6,1,3,mild,severe,2.688150713274964,탐색적/exploratory
aptos2019,frozen,raw,6,1,4,mild,proliferative,3.2519406203099774,탐색적/exploratory
aptos2019,frozen,raw,6,2,3,moderate,severe,6.545279443519814,탐색적/exploratory
aptos2019,frozen,raw,6,2,4,moderate,proliferative,10.364392205726151,탐색적/exploratory
aptos2019,frozen,raw,6,3,4,severe,proliferative,11.53677830579712,탐색적/exploratory
aptos2019,frozen,train_std,7,0,1,no_dr,mild,1.172118830768634,탐색적/exploratory
aptos2019,frozen,train_std,7,0,2,no_dr,moderate,1.2818869100349177,탐색적/exploratory
aptos2019,frozen,train_std,7,0,3,no_dr,severe,1.1116834883171907,탐색적/exploratory
aptos2019,frozen,train_std,7,0,4,no_dr,proliferative,1.104818420444085,탐색적/exploratory
aptos2019,frozen,train_std,7,1,2,mild,moderate,6.111365609720601,탐색적/exploratory
aptos2019,frozen,train_std,7,1,3,mild,severe,2.919340611573378,탐색적/exploratory
aptos2019,frozen,train_std,7,1,4,mild,proliferative,4.685943009543985,탐색적/exploratory
aptos2019,frozen,train_std,7,2,3,moderate,severe,12.23034465442873,탐색적/exploratory
aptos2019,frozen,train_std,7,2,4,moderate,proliferative,18.17716371228446,탐색적/exploratory
aptos2019,frozen,train_std,7,3,4,severe,proliferative,15.990781779487218,탐색적/exploratory
aptos2019,frozen,raw,7,0,1,no_dr,mild,0.9218325705694183,탐색적/exploratory
aptos2019,frozen,raw,7,0,2,no_dr,moderate,1.0160586519025459,탐색적/exploratory
aptos2019,frozen,raw,7,0,3,no_dr,severe,0.8984545084432635,탐색적/exploratory
aptos2019,frozen,raw,7,0,4,no_dr,proliferative,0.8690557808254642,탐색적/exploratory
aptos2019,frozen,raw,7,1,2,mild,moderate,6.120072690496869,탐색적/exploratory
aptos2019,frozen,raw,7,1,3,mild,severe,2.9837684885277063,탐색적/exploratory
aptos2019,frozen,raw,7,1,4,mild,proliferative,4.73267829135004,탐색적/exploratory
aptos2019,frozen,raw,7,2,3,moderate,severe,12.638113952765389,탐색적/exploratory
aptos2019,frozen,raw,7,2,4,moderate,proliferative,18.2114389023024,탐색적/exploratory
aptos2019,frozen,raw,7,3,4,severe,proliferative,17.59303631182601,탐색적/exploratory
aptos2019,frozen,train_std,8,0,1,no_dr,mild,1.4437139284754268,탐색적/exploratory
aptos2019,frozen,train_std,8,0,2,no_dr,moderate,1.5639557387441207,탐색적/exploratory
aptos2019,frozen,train_std,8,0,3,no_dr,severe,1.0205015392003467,탐색적/exploratory
aptos2019,frozen,train_std,8,0,4,no_dr,proliferative,1.430985476665289,탐색적/exploratory
aptos2019,frozen,train_std,8,1,2,mild,moderate,6.598936684501619,탐색적/exploratory
aptos2019,frozen,train_std,8,1,3,mild,severe,2.6049185504775787,탐색적/exploratory
aptos2019,frozen,train_std,8,1,4,mild,proliferative,4.121015144550117,탐색적/exploratory
aptos2019,frozen,train_std,8,2,3,moderate,severe,6.973140012941859,탐색적/exploratory
aptos2019,frozen,train_std,8,2,4,moderate,proliferative,11.891840096698068,탐색적/exploratory
aptos2019,frozen,train_std,8,3,4,severe,proliferative,11.770947140483614,탐색적/exploratory
aptos2019,frozen,raw,8,0,1,no_dr,mild,1.1237544368014958,탐색적/exploratory
aptos2019,frozen,raw,8,0,2,no_dr,moderate,1.250030124145673,탐색적/exploratory
aptos2019,frozen,raw,8,0,3,no_dr,severe,0.7787990241511212,탐색적/exploratory
aptos2019,frozen,raw,8,0,4,no_dr,proliferative,1.1241393156823016,탐색적/exploratory
aptos2019,frozen,raw,8,1,2,mild,moderate,6.6496294523571855,탐색적/exploratory
aptos2019,frozen,raw,8,1,3,mild,severe,2.4581346540368227,탐색적/exploratory
