arm,dataset,repr,fold,n_train,n_test,bacc,mcc,macro_mae,per_class_recall,source,device,exploratory
B3,aptos2019,cls,14,2930,732,0.6643687307845462,0.6843218640560937,0.2554644808743169,"[0.961218836565097, 0.6351351351351351, 0.628140703517588, 0.48717948717948717, 0.6101694915254238]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,0,2929,733,0.6656601257019117,0.7040615320239654,0.2537517053206002,"[0.9833795013850416, 0.7162162162162162, 0.65, 0.48717948717948717, 0.4915254237288136]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,1,2929,733,0.6550806332124235,0.6970427949706703,0.2660300136425648,"[0.9722991689750693, 0.7567567567567568, 0.645, 0.358974358974359, 0.5423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,2,2930,732,0.6523972410835175,0.6972125730738822,0.2759562841530054,"[0.9806094182825484, 0.7162162162162162, 0.645, 0.39473684210526316, 0.5254237288135594]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,3,2930,732,0.6953603315978545,0.7026201368819407,0.2595628415300546,"[0.9750692520775623, 0.7297297297297297, 0.615, 0.631578947368421, 0.5254237288135594]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,4,2930,732,0.6698928076051497,0.6981643432569554,0.2663934426229508,"[0.9833795013850416, 0.6351351351351351, 0.6331658291457286, 0.5384615384615384, 0.559322033898305]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,5,2929,733,0.6389113164419986,0.6846507239381879,0.2755798090040928,"[0.9889196675900277, 0.6486486486486487, 0.63, 0.38461538461538464, 0.5423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,6,2929,733,0.7208816627539573,0.747121332132105,0.2264665757162346,"[0.9833795013850416, 0.7567567567567568, 0.69, 0.5641025641025641, 0.6101694915254238]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,7,2930,732,0.6745185359546129,0.7064997055718673,0.2691256830601093,"[0.9833795013850416, 0.7702702702702703, 0.635, 0.5263157894736842, 0.4576271186440678]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,8,2930,732,0.6762499825521563,0.6979663028693941,0.2650273224043716,"[0.9722991689750693, 0.6621621621621622, 0.65, 0.6052631578947368, 0.4915254237288136]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
