arm,fold,bacc,bacc_leakex,bacc_leaked_only,n_test,n_leaked,exploratory
B5,14,0.69046047939192,0.6939726086357092,0.6714285714285715,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,0,0.6654091647690408,0.6440692896213999,0.75,733,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,1,0.625013246988551,0.6188253923124514,0.7275,733,31,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,2,0.6551822328925481,0.6572749776604525,0.41244444444444445,732,42,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,3,0.6595565633712026,0.6526829289437842,0.5433333333333333,732,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,4,0.6374074194027758,0.6240279562292097,0.6433333333333333,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,5,0.6170748646055467,0.6026601692175462,0.7464705882352941,733,35,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,6,0.6673060530075412,0.6590026957815145,0.7666666666666667,733,36,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,7,0.6438860687533865,0.6488307581096955,0.45,732,37,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,8,0.6459612924347419,0.6373378545569427,0.5722222222222222,732,47,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,9,0.5947715462343394,0.5962516261055895,0.3682615629984051,732,41,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,10,0.6399771911376212,0.6297802380439751,0.634065934065934,733,45,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,11,0.6379310735504453,0.6292114442114441,0.6950000000000001,733,34,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,12,0.6264561170870857,0.6163463960093174,0.5193939393939394,732,39,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,13,0.681815448764883,0.6661287783277546,0.738095238095238,732,44,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
B5s,14,0.696387693415015,0.7030854753214973,0.45714285714285713,732,43,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
