bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test,splitter,splits_sha256,class_weight_range
0.7459463051568315,0.6941155551487215,0.42718446601941745,0.3996259588364851,"[0.875, 1.0, 0.8333333333333334, 0.5555555555555556, 0.5454545454545454, 0.5789473684210527, 0.8333333333333334]",w16_fz_wce_g,oral_diseases,7,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7216880341880342,0.6943032964906981,0.49514563106796117,0.4961080586080587,"[0.8125, 0.9333333333333333, 0.7692307692307693, 0.6111111111111112, 0.4, 0.8333333333333334, 0.6923076923076923]",w16_fz_ce_g,oral_diseases,8,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.3409090909090908]"
0.7326770451770451,0.7055497847377256,0.4563106796116505,0.45215201465201466,"[0.8125, 0.9333333333333333, 0.8461538461538461, 0.6111111111111112, 0.4, 0.8333333333333334, 0.6923076923076923]",w16_fz_wce_g,oral_diseases,8,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.3409090909090908]"
0.7087184745079481,0.6382808969209123,0.5631067961165048,0.5379830695620169,"[0.9333333333333333, 1.0, 0.75, 0.5, 0.8181818181818182, 0.42105263157894735, 0.5384615384615384]",w16_fz_ce_g,oral_diseases,9,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.6977294635189372,0.6265962493378283,0.5728155339805825,0.5449760765550239,"[0.9333333333333333, 1.0, 0.75, 0.5, 0.8181818181818182, 0.42105263157894735, 0.46153846153846156]",w16_fz_wce_g,oral_diseases,9,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.6978193590035696,0.6578776784501467,0.5145631067961165,0.5205770107085896,"[0.9375, 1.0, 0.5833333333333334, 0.6111111111111112, 0.45454545454545453, 0.631578947368421, 0.6666666666666666]",w16_fz_ce_g,oral_diseases,10,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.6978193590035696,0.6579153070833968,0.5339805825242718,0.5443865345181134,"[0.9375, 1.0, 0.5833333333333334, 0.6111111111111112, 0.45454545454545453, 0.631578947368421, 0.6666666666666666]",w16_fz_wce_g,oral_diseases,10,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7086945218524167,0.6590733526451088,0.5436893203883495,0.5241080556870031,"[0.8, 0.9333333333333333, 0.75, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.6923076923076923]",w16_fz_ce_g,oral_diseases,11,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7007580139159088,0.6480666939756978,0.5728155339805825,0.554022585601533,"[0.8, 0.9333333333333333, 0.75, 0.5, 0.5454545454545454, 0.6842105263157895, 0.6923076923076923]",w16_fz_wce_g,oral_diseases,11,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.6936743811743812,0.6383842513606868,0.6699029126213593,0.6319513819513819,"[0.6875, 1.0, 0.8333333333333334, 0.4444444444444444, 0.45454545454545453, 0.6666666666666666, 0.7692307692307693]",w16_fz_ce_g,oral_diseases,12,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.372093023255814]"
0.6936743811743813,0.6378747554666773,0.6796116504854369,0.6418720168720169,"[0.6875, 1.0, 0.8333333333333334, 0.5, 0.45454545454545453, 0.6111111111111112, 0.7692307692307693]",w16_fz_wce_g,oral_diseases,12,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7763157894736842, 1.372093023255814]"
0.8065314802156908,0.7729436557936941,0.30097087378640774,0.2953899901268322,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.7777777777777778, 0.6363636363636364, 0.631578947368421, 0.8333333333333334]",w16_fz_ce_g,oral_diseases,13,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.8065314802156908,0.7729436557936941,0.30097087378640774,0.2953899901268322,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.7777777777777778, 0.6363636363636364, 0.631578947368421, 0.8333333333333334]",w16_fz_wce_g,oral_diseases,13,413,103,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.8099391105970053,0.7753174907280325,0.2980769230769231,0.28519054045369835,"[0.9375, 0.9333333333333333, 0.9230769230769231, 0.7222222222222222, 0.7, 0.6842105263157895, 0.7692307692307693]",w16_fz_ce_g,oral_diseases,14,412,104,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3376623376623376]"
0.8209281215860162,0.7861096455653027,0.27884615384615385,0.26321251847567634,"[0.9375, 0.9333333333333333, 0.9230769230769231, 0.7222222222222222, 0.7, 0.6842105263157895, 0.8461538461538461]",w16_fz_wce_g,oral_diseases,14,412,104,"StratifiedGroupKFold(5,shuffle,rs=2)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3376623376623376]"
