dataset,task,task_label,mapping_assumed,arm,base,fold,repeat,n,tp,fp,fn,tn,prevalence,sens,spec,ppv,npv,tp_rate,fp_rate,exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,4,0,103,41,6,6,50,0.4563106796116505,0.8723404255319149,0.8928571428571429,0.8723404255319149,0.8928571428571429,0.39805825242718446,0.05825242718446602,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,5,1,104,41,4,7,52,0.46153846153846156,0.8541666666666666,0.9285714285714286,0.9111111111111111,0.8813559322033898,0.3942307692307692,0.038461538461538464,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,6,1,103,42,7,6,48,0.46601941747572817,0.875,0.8727272727272727,0.8571428571428571,0.8888888888888888,0.4077669902912621,0.06796116504854369,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,7,1,103,44,12,4,43,0.46601941747572817,0.9166666666666666,0.7818181818181819,0.7857142857142857,0.9148936170212766,0.42718446601941745,0.11650485436893204,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,8,1,103,39,9,8,47,0.4563106796116505,0.8297872340425532,0.8392857142857143,0.8125,0.8545454545454545,0.3786407766990291,0.08737864077669903,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,9,1,103,41,12,6,44,0.4563106796116505,0.8723404255319149,0.7857142857142857,0.7735849056603774,0.88,0.39805825242718446,0.11650485436893204,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,10,2,104,40,7,8,49,0.46153846153846156,0.8333333333333334,0.875,0.851063829787234,0.8596491228070176,0.38461538461538464,0.0673076923076923,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,11,2,103,42,7,6,48,0.46601941747572817,0.875,0.8727272727272727,0.8571428571428571,0.8888888888888888,0.4077669902912621,0.06796116504854369,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,12,2,103,44,9,4,46,0.46601941747572817,0.9166666666666666,0.8363636363636363,0.8301886792452831,0.92,0.42718446601941745,0.08737864077669903,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,13,2,103,42,11,5,45,0.4563106796116505,0.8936170212765957,0.8035714285714286,0.7924528301886793,0.9,0.4077669902912621,0.10679611650485436,탐색적/exploratory
oral_diseases,oral_nonbenign,"cancer-suspect + OPMD surveillance (MC, OC, OLP) [ASSUMED]",True,A5,A0,14,2,103,39,7,8,49,0.4563106796116505,0.8297872340425532,0.875,0.8478260869565217,0.8596491228070176,0.3786407766990291,0.06796116504854369,탐색적/exploratory
