dataset,arm,base,role,rep,lever,loss,preregistered,side,fold,cls,class_name,cos_centred,cos_raw,relnorm_centred,relnorm_raw,scale_ratio,bias_arm,bias_base,bias_diff,bias_diff_centred,neg_log_prior,prior,margin_spearman,margin_spearman_p,recall_base,recall_arm,bias_slope,bias_r,flip_repro,n_flip,relnorm_fro_centred,margin_spearman_true,bacc_base,bacc_arm,bacc_base_offset,offset_identified,train_agree_before,flip_repro_ceiling,exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,1,CoS,0.6244651675224304,0.6045341491699219,0.781230092048645,0.7967358231544495,0.6078169941902161,0.019851015880703926,-0.1381227970123291,0.15797381103038788,0.16582858562469482,1.929103030738932,0.14527845036319612,0.6750300654025471,5.31743470627985e-15,0.9333333333333333,0.8666666666666667,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,2,Gum,0.6831756830215454,0.6947915554046631,0.7404072284698486,0.7264776229858398,0.8053725957870483,-0.13020865619182587,-0.14469867944717407,0.014490023255348206,0.022344790399074554,2.1522465820531416,0.1162227602905569,0.8422760745292499,7.34141931835891e-29,0.7692307692307693,0.7692307692307693,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,3,MC,0.7547971606254578,0.7496370673179626,0.6951850056648254,0.7035190463066101,0.9850159883499146,0.2537315785884857,0.2839505672454834,-0.03021898865699768,-0.02236422896385193,1.7467814739449776,0.17433414043583534,0.8997490431239463,3.7387546868497355e-38,0.6666666666666666,0.7777777777777778,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,4,OC,0.7596429586410522,0.7645717859268188,0.6509494185447693,0.6462993621826172,0.7314871549606323,-0.31648990511894226,-0.18563967943191528,-0.13085022568702698,-0.12299546599388123,2.2622474772674703,0.10411622276029056,0.908721987007353,4.124632830974874e-40,0.5454545454545454,0.5454545454545454,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,5,OLP,0.7880620360374451,0.7842993140220642,0.6174423694610596,0.6215688586235046,0.8357775807380676,0.18772009015083313,0.0973595604300499,0.09036052972078323,0.09821529686450958,1.6927142526747017,0.18401937046004843,0.913620313778466,2.8814492930094086e-41,0.6666666666666666,0.6111111111111112,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A5s,A0,primary,panderm,mixup,mixup,True,False,13,6,OT,0.7360216379165649,0.7298719882965088,0.688274085521698,0.6946112513542175,0.8603164553642273,-0.17576470971107483,-0.07544373720884323,-0.1003209725022316,-0.09246620535850525,2.1114245875328868,0.12106537530266344,0.8546317194115418,1.6485909991158342e-30,0.6153846153846154,0.6153846153846154,-0.24768200847919378,-0.5154725958936116,0.0,11,0.6972552537918091,0.9125769482106282,0.7233433233433233,0.7217560217560217,0.7233433233433233,False,1.0,0.36363636363636365,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,0,CaS,0.808849036693573,0.8062547445297241,0.5893622040748596,0.592085599899292,0.7690417766571045,0.02389422617852688,0.07164180278778076,-0.047747574746608734,-0.04568583145737648,1.8645645096013608,0.1549636803874092,0.9161134083458263,6.9935245220587e-42,0.8666666666666667,0.8666666666666667,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,1,CoS,0.8152119517326355,0.7930092215538025,0.5827735066413879,0.6202492117881775,0.8799839615821838,-0.1835809350013733,-0.1381227970123291,-0.04545813798904419,-0.04339638352394104,1.929103030738932,0.14527845036319612,0.9070416193033614,9.929643741784596e-40,0.9333333333333333,0.9333333333333333,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,2,Gum,0.8066908717155457,0.8073938488960266,0.6022631525993347,0.6013191342353821,0.6906252503395081,-0.08719787001609802,-0.14469867944717407,0.05750080943107605,0.0595625638961792,2.1522465820531416,0.1162227602905569,0.9337188294536609,7.4291154005701e-47,0.7692307692307693,0.6153846153846154,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,3,MC,0.8052641153335571,0.7967961430549622,0.6220221519470215,0.6360030174255371,0.6172170042991638,0.03357319533824921,0.2839505672454834,-0.250377357006073,-0.24831561744213104,1.7467814739449776,0.17433414043583534,0.9727956156680561,5.772371664682048e-66,0.6666666666666666,0.7777777777777778,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,4,OC,0.7624185085296631,0.7581678032875061,0.656008780002594,0.6626250743865967,0.6545776128768921,-0.050049662590026855,-0.18563967943191528,0.13559001684188843,0.13765177130699158,2.2622474772674703,0.10411622276029056,0.9579139278320512,1.4844502434039036e-56,0.5454545454545454,0.5454545454545454,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,5,OLP,0.807953953742981,0.8039206266403198,0.6070675253868103,0.6091363430023193,0.6619385480880737,0.0879942774772644,0.0973595604300499,-0.009365282952785492,-0.0073035359382629395,1.6927142526747017,0.18401937046004843,0.9872599572769257,1.8930170027796887e-82,0.6666666666666666,0.7222222222222222,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A0,primary,panderm,aug,ldam,True,False,13,6,OT,0.7925603985786438,0.7947666645050049,0.613513708114624,0.6095122694969177,0.7250984311103821,0.06998155266046524,-0.07544373720884323,0.14542528986930847,0.14748704433441162,2.1114245875328868,0.12106537530266344,0.9399680400652378,5.847641066621384e-49,0.6153846153846154,0.46153846153846156,0.489180600515869,0.7778942041304201,0.0,11,0.6134454011917114,0.9384853626793629,0.7233433233433233,0.7031968031968032,0.7233433233433233,False,1.0,0.18181818181818182,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,0,CaS,0.9214680194854736,0.9145970344543457,0.4403175711631775,0.44906264543533325,0.7141451239585876,0.02389422617852688,0.06346751749515533,-0.03957328945398331,-0.032247018069028854,1.8645645096013608,0.1549636803874092,0.9634053255575142,1.4594059360893666e-59,0.8666666666666667,0.8666666666666667,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,1,CoS,0.8837703466415405,0.8739501237869263,0.4691709876060486,0.4860158860683441,0.8495433330535889,-0.1835809350013733,-0.1821141093969345,-0.0014668256044387817,0.005859449505805969,1.929103030738932,0.14527845036319612,0.8910946003086165,1.9620422665212076e-36,0.9333333333333333,0.9333333333333333,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,2,Gum,0.9183138012886047,0.9166481494903564,0.49642321467399597,0.4915911555290222,0.6187536120414734,-0.08719787001609802,-0.17528243362903595,0.08808456361293793,0.09541083872318268,2.1522465820531416,0.1162227602905569,0.9513571989478483,1.8895782871732713e-53,0.7692307692307693,0.6153846153846154,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,3,MC,0.9013810157775879,0.888756513595581,0.5619968771934509,0.5793254971504211,0.5431517958641052,0.03357319533824921,0.3907491862773895,-0.3571760058403015,-0.3498497009277344,1.7467814739449776,0.17433414043583534,0.9900605701169118,7.285509800058886e-88,0.7777777777777778,0.7777777777777778,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,4,OC,0.8685584664344788,0.8580719828605652,0.5847959518432617,0.6008447408676147,0.5581069588661194,-0.050049662590026855,-0.2740710377693176,0.22402137517929077,0.23134765028953552,2.2622474772674703,0.10411622276029056,0.9785066693025376,4.511657616826396e-71,0.5454545454545454,0.5454545454545454,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
oral_diseases,A3,A1,secondary,panderm,aug,ldam,True,False,13,5,OLP,0.9303109645843506,0.9294686913490295,0.5270107388496399,0.5249292254447937,0.5518682599067688,0.0879942774772644,0.13227631151676178,-0.044282034039497375,-0.036955758929252625,1.6927142526747017,0.18401937046004843,0.9900056561396573,9.60982374137542e-88,0.7222222222222222,0.7222222222222222,0.6788867316068149,0.8107215628822575,0.0,8,0.5232324600219727,0.9660411964657365,0.7251748251748252,0.7031968031968032,0.7251748251748252,False,1.0,0.25,탐색적/exploratory
