dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B0d,,fold4,4.0,732,2000,0.597586598604718,0.5532147938013077,0.6437773421406745,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold4,4.0,732,2000,0.6026030654131957,0.5560975159704685,0.6484670521318913,0.005016466808477782,-0.013384792953729652,0.026493620947003322,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold4,4.0,732,2000,0.606021777685439,0.5597982627153396,0.6535428257286549,0.008435179080721,-0.031035378351807506,0.047580267414450615,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold4,4.0,732,2000,0.626500604956762,0.5782083615660668,0.6742921580374241,0.028914006352043997,-0.005178914666175799,0.06408263631165016,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold5,5.0,733,2000,0.6216648776322939,0.5767226369678974,0.666081970334053,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold5,5.0,733,2000,0.6333829364546769,0.5862699507176876,0.6824382123351096,0.01171805882238297,-0.011878267526626546,0.0385266226530074,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold5,5.0,733,2000,0.6313665628450831,0.5864394169300794,0.6770701900124549,0.009701685212789135,-0.02571319594979295,0.046610943712294114,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold5,5.0,733,2000,0.6482167057644779,0.5973789024353027,0.6957177877426147,0.02655182813218393,-0.011169075891375477,0.0653938876837492,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold5,5.0,733,2000,0.6389113164419986,0.5893663223087787,0.6899025148153305,0.017246438809704667,-0.015096957981586478,0.05240550763905043,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold5,5.0,733,2000,0.5952435574183074,0.5540984377078713,0.6362953090667725,-0.026421320213986577,-0.05718474766239528,8.804261684419587e-05,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
