bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,seed,backbone,n_train,n_test
0.6861851598693703,0.6362167067830825,0.5436893203883495,"[0.75, 1.0, 0.5, 0.6111111111111112, 0.7272727272727273, 0.631578947368421, 0.5833333333333334]",A3n,oral_diseases,7,3,panderm,413,103
0.7744699744699745,0.7303060479885033,0.42718446601941745,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.7222222222222222, 0.7272727272727273, 0.5, 0.8461538461538461]",A3n,oral_diseases,8,3,panderm,413,103
0.7247051924683504,0.6642341616006119,0.5339805825242718,"[0.8125, 1.0, 0.5833333333333334, 0.6111111111111112, 0.9, 0.47368421052631576, 0.6923076923076923]",A3n,oral_diseases,9,3,panderm,413,103
0.7349792020844651,0.6960322665764801,0.5096153846153846,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.5384615384615384]",A3n,oral_diseases,10,3,panderm,412,104
0.6521179843548265,0.6030659250649869,0.6504854368932039,"[0.9375, 1.0, 0.5, 0.5555555555555556, 0.5454545454545454, 0.5263157894736842, 0.5]",A3n,oral_diseases,11,3,panderm,413,103
0.7497674109516216,0.6939916504751956,0.4563106796116505,"[0.9375, 1.0, 0.75, 0.4444444444444444, 0.8181818181818182, 0.631578947368421, 0.6666666666666666]",A3n,oral_diseases,12,3,panderm,413,103
0.7168276168276168,0.6830394703279661,0.47572815533980584,"[0.9333333333333333, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.45454545454545453, 0.7222222222222222, 0.5384615384615384]",A3n,oral_diseases,13,3,panderm,413,103
0.7905709787288735,0.7398383033525433,0.44660194174757284,"[0.875, 1.0, 0.75, 0.5555555555555556, 0.9, 0.6842105263157895, 0.7692307692307693]",A3n,oral_diseases,14,3,panderm,413,103
0.6776947467736941,0.652683578749327,0.6057692307692307,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.3076923076923077]",A4n,oral_diseases,0,3,panderm,412,104
0.7807852965747702,0.7122924286871951,0.4854368932038835,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.4444444444444444, 1.0, 0.42105263157894735, 0.8333333333333334]",A4n,oral_diseases,1,3,panderm,413,103
0.7048539910382016,0.6580990841090241,0.5533980582524272,"[0.8125, 1.0, 0.75, 0.6111111111111112, 0.5454545454545454, 0.631578947368421, 0.5833333333333334]",A4n,oral_diseases,2,3,panderm,413,103
0.7664113664113665,0.7179147513347804,0.4174757281553398,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5555555555555556, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",A4n,oral_diseases,3,3,panderm,413,103
