dataset,arm,fold,repeat,target_prior,target_prior_source,target_assumed,n_test,exploratory,method,source_prior,bacc,bacc_weighted,bacc_sklearn,acc,acc_weighted,em_prior_l1_err,em_iters,em_min_prior,em_degenerate,changed_vs_raw,changed_vs_argmax_p,rec_0,recw_0,rec_1,recw_1,rec_2,recw_2,rec_3,recw_3,rec_4,recw_4,class_names,em_pi_0,em_pi_1,em_pi_2,em_pi_3,em_pi_4,rec_5,recw_5,rec_6,recw_6,em_pi_5,em_pi_6
aptos2019,B4,5,1,idrid_like,가정 · IDRiD 공개 등급 분포로 알려진 값(413 train + 103 test) — 미검증,True,733,탐색적/exploratory,em,uniform,0.5730879413291733,0.5730879413291733,0.5730879413291733,0.8062755798090041,0.7047395468113985,0.2417557368377669,37.0,0.042747937743419,0.0,0.12551159618008187,0.12551159618008187,0.9916897506925207,0.9916897506925209,0.3783783783783784,0.37837837837837845,0.85,0.85,0.15384615384615385,0.1538461538461538,0.4915254237288136,0.4915254237288136,no_dr|mild|moderate|severe|proliferative,0.3332652023617871,0.042747937743419,0.414600895543403,0.06505636438033319,0.14432959997105776,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,raw,none,0.6389113164419986,0.6389113164419986,0.6389113164419986,0.7885402455661664,0.7995276279520013,,,,,0.0,0.019099590723055934,0.9889196675900277,0.9889196675900276,0.6486486486486487,0.6486486486486487,0.63,0.63,0.38461538461538464,0.3846153846153846,0.5423728813559322,0.5423728813559322,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,argmax_p,none,0.6388756445249708,0.6388756445249707,0.6388756445249708,0.7885402455661664,0.7991723977757849,,,,,0.019099590723055934,0.0,0.9889196675900277,0.9889196675900276,0.6621621621621622,0.6621621621621622,0.625,0.625,0.358974358974359,0.358974358974359,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,oracle,train,0.5919511816005077,0.5919511816005077,0.5919511816005077,0.7871759890859482,0.8175932483192995,,,,,0.06548431105047749,0.0572987721691678,0.9889196675900277,0.9889196675900276,0.527027027027027,0.5270270270270271,0.705,0.7050000000000001,0.1794871794871795,0.1794871794871795,0.559322033898305,0.559322033898305,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,oracle,uniform,0.5520105836585953,0.5520105836585952,0.5520105836585953,0.7994542974079127,0.8530416544467816,,,,,0.13506139154160982,0.1364256480218281,0.9916897506925207,0.9916897506925207,0.3783783783783784,0.3783783783783784,0.855,0.855,0.1282051282051282,0.1282051282051282,0.4067796610169492,0.40677966101694907,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,em,train,0.6409121151546617,0.6409121151546617,0.6409121151546617,0.7557980900409277,0.7484884208570253,0.35094693685087397,37.0,0.07580356961838437,0.0,0.08185538881309687,0.0723055934515689,0.9889196675900277,0.9889196675900276,0.6756756756756757,0.6756756756756758,0.46,0.4600000000000001,0.4358974358974359,0.4358974358974359,0.6440677966101694,0.6440677966101696,no_dr|mild|moderate|severe|proliferative,0.4962939975178877,0.1085657272772425,0.18616257718077692,0.07580356961838437,0.1331741284057085,,,,,,
aptos2019,B4,5,1,ddr_like,가정 · DDR 등급 분포로 알려진 값(ungradable 1151 제외) — 미검증,True,733,탐색적/exploratory,em,uniform,0.5520105836585953,0.5520105836585952,0.5520105836585953,0.7994542974079127,0.8530416544467816,0.02223521428220524,49.0,0.014404753069182435,0.0,0.13506139154160982,0.1364256480218281,0.9916897506925207,0.9916897506925207,0.3783783783783784,0.3783783783783784,0.855,0.855,0.1282051282051282,0.1282051282051282,0.4067796610169492,0.40677966101694907,no_dr|mild|moderate|severe|proliferative,0.5102523274352605,0.05067452161419394,0.35085521525689267,0.014404753069182435,0.07381318262447038,,,,,,
aptos2019,B4,5,1,uniform,정의상 균등,False,733,탐색적/exploratory,raw,none,0.6389113164419986,0.6389113164419986,0.6389113164419986,0.7885402455661664,0.6389113164419986,,,,,0.0,0.019099590723055934,0.9889196675900277,0.9889196675900277,0.6486486486486487,0.6486486486486488,0.63,0.6299999999999999,0.38461538461538464,0.38461538461538447,0.5423728813559322,0.5423728813559322,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,uniform,정의상 균등,False,733,탐색적/exploratory,argmax_p,none,0.6388756445249708,0.6388756445249708,0.6388756445249708,0.7885402455661664,0.6388756445249708,,,,,0.019099590723055934,0.0,0.9889196675900277,0.9889196675900277,0.6621621621621622,0.6621621621621624,0.625,0.6249999999999999,0.358974358974359,0.3589743589743588,0.559322033898305,0.5593220338983051,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
aptos2019,B4,5,1,uniform,정의상 균등,False,733,탐색적/exploratory,oracle,train,0.6639385240481067,0.6639385240481067,0.6639385240481067,0.7448840381991815,0.6639385240481067,,,,,0.12551159618008187,0.12278308321964529,0.9833795013850416,0.9833795013850416,0.7837837837837838,0.783783783783784,0.37,0.37,0.5384615384615384,0.5384615384615383,0.6440677966101694,0.6440677966101697,no_dr|mild|moderate|severe|proliferative,,,,,,,,,,,
