bacc,mcc,macro_mae,per_class_recall,train_ce_best,step,fold,epochs_run
0.668620569675267,0.7486921087462012,0.2226775956284153,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",,1_pre_scaler_full_100,13,
0.657577750763581,0.7445943382045037,0.2226775956284153,"[0.9806094182825484, 0.6486486486486487, 0.825, 0.34210526315789475, 0.4915254237288136]",,2_post_scaler_full_100,13,
0.5946600373320406,,,"[0.9806094182825484, 0.4864864864864865, 0.855, 0.21052631578947367, 0.4406779661016949]",0.4198460578918457,3_post_noscaler_full_100,13,200.0
0.5835519292239326,,,"[0.9806094182825484, 0.44594594594594594, 0.84, 0.21052631578947367, 0.4406779661016949]",0.41125673055648804,4_post_noscaler_full_90,13,200.0
0.5856142288116558,,,"[0.9806094182825484, 0.5540540540540541, 0.81, 0.21052631578947367, 0.3728813559322034]",0.4622076311852874,5_post_noscaler_mb_90,13,40.0
0.6621415051842302,,,"[0.9889196675900277, 0.6081081081081081, 0.835, 0.42105263157894735, 0.4576271186440678]",0.30486271321410086,6_post_scaler_mb_90,13,40.0
0.6603350055989561,0.7290015290539137,0.24316939890710382,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",,1_pre_scaler_full_100,14,
0.6548889031508948,0.7246913065385205,0.24316939890710382,"[0.9806094182825484, 0.5540540540540541, 0.7788944723618091, 0.38461538461538464, 0.576271186440678]",,2_post_scaler_full_100,14,
0.6083516481143378,,,"[0.9889196675900277, 0.40540540540540543, 0.8994974874371859, 0.2564102564102564, 0.4915254237288136]",0.420773446559906,3_post_noscaler_full_100,14,200.0
0.6178802335223202,,,"[0.9889196675900277, 0.43243243243243246, 0.8944723618090452, 0.28205128205128205, 0.4915254237288136]",0.41783666610717773,4_post_noscaler_full_90,14,200.0
0.607651033326337,,,"[0.9889196675900277, 0.4864864864864865, 0.8492462311557789, 0.20512820512820512, 0.5084745762711864]",0.4773686037557881,5_post_noscaler_mb_90,14,35.0
0.599206400204371,,,"[0.9861495844875346, 0.527027027027027, 0.8040201005025126, 0.10256410256410256, 0.576271186440678]",0.4549284799069893,6_post_scaler_mb_90,14,15.0
