dataset,arm,wave,loss,family,scaling,repeat,n,n_classes,argmax_pred_agree,ece_top_ew,ece_top_em,ece_top_db,ece_top_rms_em,ece_top_bias_corr,ece_dep_em,cwece_ew,cwece_em,cwece_db,cwece_rms_em,brier_multiclass,brier_balanced,brier_ovr_mean,nll,acc,bacc,mean_conf,n_bins_eff_em,exploratory
oral_diseases,A5s,w2,mixup,softmax,none,2,516,7,1.0,0.13735561745577463,0.1377541740329261,0.16024539952885014,0.17258723941248874,0.0123418398836386,0.1377541740329261,0.04663783717341491,0.03868000280892033,0.050654417157178715,0.06530949987745403,0.39007165243047054,0.3861818110067969,0.05572452177578151,0.8913555594134785,0.7306201550387597,0.7343826961539651,0.8679757724945343,15,탐색적/exploratory
aptos2019,B0,w1,ce,softmax,temp,0,3662,5,1.0,0.019574760597738456,0.021472637776907683,0.017363635488625274,0.027655102928370354,0.01029146743974508,0.021472637776907683,0.023487796456927064,0.023057824430835382,0.038282373884262325,0.04116796071725949,0.2576134743914358,0.4676505594709056,0.05152269487828716,0.4880337101838962,0.8181321682140906,0.6526393903848001,0.8008903602932349,15,탐색적/exploratory
aptos2019,B0,w1,ce,softmax,temp,1,3662,5,1.0,0.0238433318310437,0.023903990960207542,0.019209793116021705,0.028895250657630128,0.009685457541608423,0.023903990960207542,0.02374491736613186,0.023398384728067188,0.03695813639616465,0.04090042523684602,0.2625106059906826,0.4747648819460954,0.05250212119813652,0.49901273404361735,0.8080283997815402,0.6333373355772423,0.7968922183085755,15,탐색적/exploratory
aptos2019,B0,w1,ce,softmax,temp,2,3662,5,1.0,0.016378089728717182,0.01713385505182326,0.01815915853357325,0.02821814315849215,0.010058984624918901,0.01713385505182326,0.02160553497510002,0.020998859278425847,0.03814256433610441,0.04111126281023582,0.2589184402186987,0.481212483866725,0.05178368804373974,0.49330864429046134,0.821409066084107,0.6509750935188895,0.8096117747969224,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,temp,0,3662,5,1.0,0.013528349087399765,0.018127352953425012,0.0,0.02244156481456794,0.02244156481456794,0.018127352953425012,0.02715397632305061,0.026952994382051492,0.04964735648398635,0.05203251599379903,0.28049407033065243,0.49838503052908356,0.05609881406613049,0.5348557340285887,0.801201529219006,0.6328944609700888,0.8051560562339611,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,temp,1,3662,5,1.0,0.015024087905383404,0.019956548152749012,0.007169282937373534,0.023973189744804946,0.016803906807431414,0.019956548152749012,0.030654799453436236,0.029752123824925602,0.05374656237539906,0.056133555823837965,0.289597761223663,0.5137580429471137,0.057919552244732594,0.5550525218752614,0.798197706171491,0.6237121090977422,0.7910013114936721,15,탐색적/exploratory
aptos2019,B0d,w2,ce,softmax,temp,2,3662,5,1.0,0.02066107923880454,0.01559768643837311,0.0,0.020124031381989017,0.020124031381989017,0.01559768643837311,0.032199850592738805,0.03173813212463143,0.053711960910361,0.05590074283042914,0.2901463771787773,0.5120772723833763,0.05802927543575546,0.553853507743948,0.7949208083014746,0.6278708347969573,0.7903785761654852,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,temp,0,3662,5,1.0,0.022419880449661964,0.01823792170611741,0.010299491821535308,0.024494537950876544,0.014195046129341237,0.01823792170611741,0.03752893735812783,0.03880755313193733,0.0680044673600034,0.06958404944859428,0.2781220199635448,0.45476125600078526,0.05562440399270896,0.5254528198749274,0.7971054068814856,0.6605114759061125,0.7876820374203785,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,temp,1,3662,5,1.0,0.015428593928164107,0.018265647460982845,0.0,0.021546717496211332,0.021546717496211332,0.018265647460982845,0.038519646938127775,0.039201270314351375,0.06746102564298127,0.06910677973665415,0.28367551308522526,0.4608640384353281,0.05673510261704505,0.5354715327982429,0.792190060076461,0.650315793897786,0.783203972171435,15,탐색적/exploratory
aptos2019,B1,w1,ce,softmax,temp,2,3662,5,1.0,0.013548641826261813,0.023024084122029654,0.02063893674323788,0.030380254448949606,0.009741317705711725,0.023024084122029654,0.036620695853605445,0.03685391248040393,0.06933913093646187,0.07085659560347063,0.2802381912161655,0.4695717867745402,0.0560476382432331,0.5293499621187718,0.7987438558164938,0.6553943605237652,0.7982879194409023,15,탐색적/exploratory
aptos2019,B1d,w2,ce,softmax,temp,0,3662,5,1.0,0.017047789302955984,0.020428673308029863,0.014782609637181041,0.027244979515313288,0.012462369878132247,0.020428673308029863,0.03622832628130136,0.03615675804889743,0.06691853621906316,0.06866762965186474,0.29362710175556594,0.48933218553832303,0.05872542035111319,0.5593935691787243,0.79000546149645,0.637189431130673,0.7970487354008634,15,탐색적/exploratory
