dataset,task,scenario,prevalence,strategy,strategy_kind,p_t,exchange_rate_w,n_folds,nb,nb_se_nb,nb_ci_lo,nb_ci_hi,nb_per_1000,nb_per_1000_lo,nb_per_1000_hi,mean_tp_rate,mean_fp_rate,exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.06,0.06382978723404255,15,0.08764851377573019,0.0009090270466522272,0.08569884466711325,0.08959818288434712,87.64851377573018,85.69884466711325,89.59818288434712,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.065,0.06951871657754011,15,0.08738878472570291,0.0009042093679100663,0.08544944851031883,0.089328120941087,87.3887847257029,85.44944851031883,89.328120941087,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.07,0.07526881720430109,15,0.0871262628901915,0.0008998337747849748,0.08519631138869385,0.08905621439168915,87.1262628901915,85.19631138869386,89.05621439168915,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.075,0.08108108108108107,15,0.08686090298078265,0.0008959228778809085,0.08493933951890267,0.08878246644266263,86.86090298078265,84.93933951890267,88.78246644266264,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.08,0.08695652173913043,15,0.08659265872453238,0.0008924995201108161,0.08467843763482567,0.08850687981423909,86.59265872453238,84.67843763482567,88.50687981423908,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.085,0.09289617486338798,15,0.08632148283706627,0.0008895866794359138,0.08441350916926312,0.08822945650486942,86.32148283706627,84.41350916926312,88.22945650486942,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.09,0.0989010989010989,15,0.08604732699479285,0.0008872073630130822,0.08414445645317974,0.08795019753640597,86.04732699479285,84.14445645317974,87.95019753640597,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.095,0.10497237569060773,15,0.08577014180619598,0.0008853844937383475,0.08387118093033713,0.08766910268205483,85.77014180619598,83.87118093033713,87.66910268205483,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.1,0.11111111111111112,15,0.08548987678217022,0.0008841407904864716,0.08359358338448972,0.08738617017985073,85.48987678217023,83.59358338448972,87.38617017985074,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.105,0.11731843575418993,15,0.0852064803053621,0.0008834986436548755,0.08331156417565769,0.08710139643506651,85.20648030536209,83.3115641756577,87.1013964350665,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.11,0.12359550561797752,15,0.08491989959847741,0.0008834799879094181,0.0830250234813675,0.08681477571558732,84.91989959847741,83.0250234813675,86.81477571558732,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.115,0.12994350282485875,15,0.08463008069151501,0.0008841061742836136,0.08273386153820557,0.08652629984482445,84.630080691515,82.73386153820557,86.52629984482445,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.12,0.13636363636363635,15,0.08433696838788253,0.000885397843985035,0.0824379788785923,0.08623595789717275,84.33696838788254,82.4379788785923,86.23595789717275,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.125,0.14285714285714285,15,0.0840405062293514,0.0008873748063972975,0.08213727655739683,0.08594373590130597,84.0405062293514,82.13727655739683,85.94373590130597,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.13,0.14942528735632185,15,0.0837406364598027,0.0008900559238195183,0.08183165636289222,0.08564961655671319,83.7406364598027,81.83165636289222,85.64961655671318,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.135,0.15606936416184972,15,0.0834372999877158,0.0008934590054479456,0.08152102100663076,0.08535357896880084,83.4372999877158,81.52102100663076,85.35357896880085,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.14,0.16279069767441862,15,0.08313043634734887,0.0008976007129710208,0.0812052742871031,0.08505559840759465,83.13043634734888,81.2052742871031,85.05559840759464,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.145,0.1695906432748538,15,0.08281998365855658,0.0009024964799203601,0.08088432122253073,0.08475564609458244,82.81998365855658,80.88432122253073,84.75564609458245,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.15,0.17647058823529413,15,0.08250587858519029,0.0009081604466022044,0.0805580681488244,0.08445368902155619,82.50587858519029,80.55806814882439,84.45368902155619,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.155,0.1834319526627219,15,0.08218805629202082,0.000914605412039303,0.08022642277958135,0.08414968980446029,82.18805629202082,80.22642277958136,84.1496898044603,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.16,0.1904761904761905,15,0.08186645040012316,0.0009218428038994882,0.07988929422596672,0.08384360657427961,81.86645040012317,79.88929422596672,83.8436065742796,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.165,0.1976047904191617,15,0.08154099294065785,0.0009298826668959819,0.07954659297537384,0.08353539290594186,81.54099294065784,79.54659297537384,83.53539290594186,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.17,0.20481927710843376,15,0.08121161430698212,0.0009387336696397816,0.07919823082883849,0.08322499778512575,81.21161430698213,79.19823082883849,83.22499778512575,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.175,0.21212121212121213,15,0.08087824320501942,0.0009484031294308406,0.07884412079823656,0.08291236561180228,80.87824320501942,78.84412079823656,82.91236561180227,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.18,0.2195121951219512,15,0.08054080660181324,0.0009588970540156721,0.07848417696527683,0.08259743623834966,80.54080660181324,78.48417696527683,82.59743623834966,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.185,0.22699386503067487,15,0.08019922967218739,0.0009702201989347771,0.07811831430516311,0.08228014503921166,80.19922967218739,78.11831430516311,82.28014503921166,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.19,0.2345679012345679,15,0.07985343574343035,0.0009823761387500413,0.07774644847851116,0.08196042300834953,79.85343574343034,77.74644847851116,81.96042300834954,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.195,0.24223602484472054,15,0.07950334623791858,0.0009953673501908262,0.07736849559564127,0.08163819688019588,79.50334623791858,77.36849559564126,81.63819688019588,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.2,0.25,15,0.07914888061358787,0.0010091953050932704,0.07698437195771467,0.08131338926946106,79.14888061358786,76.98437195771467,81.31338926946107,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.205,0.2578616352201258,15,0.07878995630215865,0.0010238605709300154,0.07659399377934403,0.08098591882497327,78.78995630215866,76.59399377934403,80.98591882497327,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.21,0.26582278481012656,15,0.07842648864501521,0.0010393629167323008,0.07619727689729235,0.08065570039273808,78.42648864501521,76.19727689729234,80.65570039273807,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.215,0.27388535031847133,15,0.0780583908266342,0.0010557014222840819,0.0757941364697034,0.080322645183565,78.0583908266342,75.7941364697034,80.322645183565,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.22,0.28205128205128205,15,0.07768557380545346,0.0010728745886066926,0.07538448667000454,0.07998666094090238,77.68557380545346,75.38448667000453,79.98666094090238,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.225,0.2903225806451613,15,0.07730794624206397,0.0010908804479390797,0.07496824037921442,0.07964765210491352,77.30794624206396,74.96824037921442,79.64765210491352,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.23,0.2987012987012987,15,0.07692541442460445,0.0011097166716388725,0.07454530887991294,0.07930551996929595,76.92541442460444,74.54530887991294,79.30551996929596,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.235,0.3071895424836601,15,0.07653788219123041,0.0011293806746697007,0.07411560155460721,0.0789601628278536,76.53788219123041,74.11560155460721,78.96016282785361,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.24,0.3157894736842105,15,0.07614525084952252,0.001149869715587975,0.0736790255906896,0.07861147610835544,76.14525084952253,73.6790255906896,78.61147610835543,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.245,0.32450331125827814,15,0.07574741909269268,0.0011711809911870404,0.07323548569365235,0.07825935249173302,75.74741909269268,73.23548569365235,78.25935249173303,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B3,arm,0.25,0.3333333333333333,15,0.07534428291243844,0.0011933117251895489,0.07278488380971566,0.07790368201516122,75.34428291243844,72.78488380971567,77.90368201516122,0.09056267371703614,0.045655172413793105,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B4,arm,0.01,0.010101010101010102,15,0.08923621049394405,0.001002492515233978,0.08708607789253298,0.09138634309535512,89.23621049394404,87.08607789253297,91.38634309535512,0.08964303738352955,0.040275862068965516,탐색적/exploratory
aptos2019,fundus_referable_ge2,prev_0.10,0.10000000000000003,B4,arm,0.015,0.015228426395939085,15,0.0890296993824793,0.0009991241424408127,0.08688679122219496,0.09117260754276364,89.02969938247931,86.88679122219496,91.17260754276364,0.08964303738352955,0.040275862068965516,탐색적/exploratory
