cell,comparison,n_folds,mean_diff,sd,se_nb,mde_80
hk_l_N500_IR1p74,L1 - L23,15,-0.07007087199569081,0.04113337622194277,0.023147043781334815,0.06973837340014384
hk_l_N500_IR1p74,L2 - L23,15,-0.05868557047523483,0.03677537195827958,0.0206946577932271,0.06234972319601509
hk_l_N500_IR1p74,L3 - L23,15,-0.025181838839113808,0.0313752103258272,0.017655817094661266,0.053194177920249545
hk_l_N500_IR1p74,L4 - L23,15,-0.004283252899528637,0.025023429076444875,0.014081470124560545,0.04242523714244011
hk_l_N500_IR1p74,L5 - L23,15,-0.009772480076637195,0.03119566860343164,0.01755478332377792,0.05288977918551483
hk_l_N500_IR1p74,L6 - L23,15,-0.005302328041410805,0.02964223315067223,0.016680616364020354,0.050256052717912926
hk_l_N500_IR1p74,L7 - L23,15,-0.0060519449368610385,0.02296762984059463,0.012924607272819345,0.03893979276821987
hk_l_N500_IR1p74,L8 - L23,15,-0.006309349904410914,0.030458814055187432,0.01714013210728999,0.05164050080511201
hk_l_N500_IR1p74,L9 - L23,15,0.004029657122477492,0.02471016775116957,0.013905188129811999,0.041894127438340034
hk_l_N500_IR1p74,L10 - L23,15,0.005272612033910673,0.020193999736299074,0.011363798427200955,0.0342373231522184
hk_l_N500_IR1p74,L11 - L23,15,0.006574187732416211,0.02008851407580128,0.011304438330216188,0.034058480590390676
hk_l_N500_IR1p74,L12 - L23,15,0.003669420989215048,0.020701034556031936,0.011649122858331824,0.03509696043058366
hk_l_N500_IR1p74,L13 - L23,15,0.00363295154008351,0.019377461923302915,0.010904306932883624,0.03285294812326841
hk_l_N500_IR1p74,L14 - L23,15,0.006482628868927505,0.017143721244146738,0.009647310837605779,0.029065818160447992
hk_l_N500_IR1p74,L15 - L23,15,0.009715926871247242,0.01391113347973756,0.007828232089825506,0.02358522227289612
hk_l_N500_IR1p74,L16 - L23,15,0.01564962422490074,0.01523958624122274,0.008575794217126136,0.025837508451035916
hk_l_N500_IR1p74,L17 - L23,15,0.010900817557234413,0.01689388329249461,0.00950671916883715,0.028642237750519262
hk_l_N500_IR1p74,L18 - L23,15,0.01187446115697451,0.017960442891397595,0.01010690578123685,0.03045050486578041
hk_l_N500_IR1p74,L19 - L23,15,0.010284108689429068,0.01485509917894732,0.008359431261266986,0.02518564116516542
hk_l_N500_IR1p74,L20 - L23,15,0.012480866071874848,0.01630730237023131,0.009176631645370468,0.02764773637126276
hk_l_N500_IR1p74,L21 - L23,15,0.015823112478814242,0.015589449009846655,0.008772672994571996,0.026430672996184217
hk_l_N500_IR1p74,L22 - L23,15,0.006218292347678322,0.012053469103741873,0.006782865951870122,0.020435699821679896
hk_l_N500_IR4,L0 - L23,15,-0.13231674824812079,0.04560717538643924,0.025664591200023415,0.07732334466453694
hk_l_N500_IR4,L1 - L23,15,-0.0826824500844109,0.04673028375490577,0.026296599582603258,0.07922748572862891
hk_l_N500_IR4,L2 - L23,15,-0.06941956917447113,0.04275018829417577,0.024056874757042657,0.07247954989396872
hk_l_N500_IR4,L3 - L23,15,-0.040602217317903595,0.022465480522469113,0.01264203206701316,0.03808843846992175
hk_l_N500_IR4,L4 - L23,15,-0.01929483914778034,0.03563302857663641,0.020051825264101833,0.06041297069433941
hk_l_N500_IR4,L5 - L23,15,-0.017840166369578126,0.03719735231967266,0.020932119407059285,0.063065157393577
hk_l_N500_IR4,L6 - L23,15,-0.015227084099633114,0.03644750769381775,0.02051015826557139,0.06179385536799553
hk_l_N500_IR4,L7 - L23,15,-0.006094441143460738,0.0397833371376397,0.022387334351642873,0.06744948932561724
hk_l_N500_IR4,L8 - L23,15,-0.006913085099359602,0.032096394811614054,0.018061650274433724,0.054416888953956646
hk_l_N500_IR4,L9 - L23,15,-0.01646896132190249,0.02849588277279525,0.016035528972158923,0.04831250667227776
hk_l_N500_IR4,L10 - L23,15,-0.013727965933848278,0.031301126053176066,0.017614127545684994,0.05306857391825016
hk_l_N500_IR4,L11 - L23,15,-0.004280314819530506,0.030215767017369898,0.017003361899200795,0.05122843385039225
hk_l_N500_IR4,L12 - L23,15,-0.003889148251893341,0.026489913674856296,0.014906707105374542,0.04491154534038033
hk_l_N500_IR4,L13 - L23,15,0.0014683482820737912,0.029941746960988853,0.01684916219996404,0.050763854601951285
hk_l_N500_IR4,L14 - L23,15,0.0030596582067170456,0.033398734120582065,0.018794517541156037,0.05662490184675795
hk_l_N500_IR4,L15 - L23,15,0.006703944203944223,0.029207766458569418,0.01643612829940409,0.049519448938045524
hk_l_N500_IR4,L16 - L23,15,0.006866281866281887,0.03254663417381063,0.018315014116307825,0.05518023404362028
hk_l_N500_IR4,L17 - L23,15,0.007343274009940688,0.027875489173316448,0.01568641399235974,0.04726067858352408
hk_l_N500_IR4,L18 - L23,15,0.004860109026775694,0.031840103477180054,0.01791742708431893,0.053982367345918915
hk_l_N500_IR4,L19 - L23,15,0.005904280904280923,0.024507381525722807,0.013791073946397026,0.0415503194942922
hk_l_N500_IR4,L20 - L23,15,0.006782106782106801,0.019799603151871886,0.011141859071732364,0.03356865505835422
hk_l_N500_IR4,L21 - L23,15,0.0050004008337341714,0.02449723002844403,0.0137853613797774,0.04153310843668346
hk_l_N500_IR4,L22 - L23,15,0.004924242424242424,0.021886504676938066,0.01231622415928072,0.03710683089442278
hk_l_N500_IR9p35,L0 - L23,15,-0.11964597131263797,0.06154673011000139,0.03463427968488101,0.10434759409998244
