cell,task,bacc,mcc,qwk,mae_sample,mae_classmean,per_class_recall,arm,fold,lever,loss,n_train,n_test,base_arm
hk_l_N500_IR1p74,hk_l,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0]",H1,7,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.945906432748538,0.9332793425312526,0.9117174959871589,0.1,0.10818713450292397,"[1.0, 0.8888888888888888, 1.0, 0.8947368421052632]",H1,8,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9697703460038986,0.9596552751819768,0.9424342105263158,0.06,0.05901254873294347,"[0.96875, 0.9629629629629629, 1.0, 0.9473684210526315]",H1,9,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9764957264957266,0.9730498731793484,0.9794204807375699,0.03,0.03311965811965812,"[1.0, 0.9615384615384616, 1.0, 0.9444444444444444]",H1,10,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9814814814814815,0.9733936484918831,0.9794069192751236,0.03,0.027777777777777776,"[1.0, 0.9259259259259259, 1.0, 1.0]",H1,11,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9775828460038986,0.9731009803035332,0.9793285926905904,0.03,0.03557504873294347,"[1.0, 0.9629629629629629, 1.0, 0.9473684210526315]",H1,12,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9264354066985646,0.92016434243498,0.9495119488387749,0.08,0.09988038277511961,"[1.0, 1.0, 0.8636363636363636, 0.8421052631578947]",H1,13,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9249360380116959,0.9063513844540322,0.85005673528935,0.15,0.16183905945419103,"[0.96875, 0.8888888888888888, 1.0, 0.8421052631578947]",H1,14,rebalance,ce,400,100,H1
hk_l_N500_IR1p74,hk_l,0.9348290598290598,0.9328238694482457,0.8732251521298174,0.12,0.1581196581196581,"[1.0, 0.9615384615384616, 1.0, 0.7777777777777778]",H2,0,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9444444444444444,0.9473008408874387,0.9084089323098395,0.09,0.125,"[1.0, 1.0, 1.0, 0.7777777777777778]",H2,1,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9043283714336346,0.8929064682131483,0.8402824478816409,0.16,0.20093478646110224,"[1.0, 0.9259259259259259, 0.9545454545454546, 0.7368421052631579]",H2,2,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9590643274853801,0.9470081599800972,0.9481079354941722,0.07,0.06871345029239766,"[1.0, 0.8888888888888888, 1.0, 0.9473684210526315]",H2,3,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9409874512670565,0.919566798643621,0.832324554228693,0.15,0.14536123294346978,"[0.90625, 0.9629629629629629, 1.0, 0.8947368421052632]",H2,4,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.9198717948717949,0.9061057980271227,0.8997995991983968,0.12,0.1452991452991453,"[1.0, 0.8461538461538461, 1.0, 0.8333333333333334]",H2,5,aug,ce,2000,100,H1
hk_l_N500_IR1p74,hk_l,0.916213768115942,0.8935335824887617,0.8122386276350602,0.18,0.18319746376811594,"[0.875, 1.0, 0.9565217391304348, 0.8333333333333334]",H2,6,aug,ce,2000,100,H1
