cell,task,kind,axis,n,ir,arm,base,n_folds,mean_base,mean_arm,mean_diff,sd,wins,ci_lo,ci_hi,ttest_p_nb,se_nb,mde_floor,mde_post,tost_p,equivalent,holm_p_cell,holm_p_global,sig_nb,sig_holm_cell,passes_gate,passes_gate_global,tost_significant,verdict_code,verdict
hk_u_N1300_IR9p35,hk_u,ordinal,A,1300,9.338,H2,H0,15,0.5676038218021913,0.5782499282946854,0.010646106492493939,0.0296133535560317,10,-0.025095401525457937,0.04638761451044581,0.5332307123540878,0.01666436490831867,0.0497214721410576,0.050207089658235574,0.29172964581936656,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N1300_IR9p35,hk_u,ordinal,A,1300,9.338,H3,H0,15,0.5676038218021913,0.383070128874157,-0.18453369292803443,0.03725898133290764,0,-0.22950300643489985,-0.139564379421169,4.4323505746343174e-07,0.02096679999004507,0.0497214721410576,0.06316964449218213,0.999999143740614,False,1.772940229853727e-06,2.1275282758244725e-05,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N1300_IR9p35,hk_u,ordinal,A,1300,9.338,H4,H0,15,0.5676038218021913,0.5572322398521248,-0.010371581950066622,0.03901652898981233,7,-0.05746214807198405,0.03671898417185081,0.6439318428764713,0.021955827303111908,0.0497214721410576,0.06614942699543268,0.33384466154114434,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR1p74,hk_u,ordinal,B,489,1.963,H1,H0,15,0.5829209680885405,0.5789936068695127,-0.003927361219027877,0.010680386102211123,4,-0.016817934547196194,0.008963212109140441,0.5240536574606164,0.006010188985594637,0.038782768980017805,0.018107746615177483,0.009074561001646107,True,1.0,1.0,False,False,False,False,True,equivalent_within_prespecified_margin,등가 (TOST · 사후 MDE ≤ 하한)
hk_u_N500_IR1p74,hk_u,ordinal,B,489,1.963,H2,H0,15,0.5829209680885405,0.5759770628829665,-0.006943905205573997,0.040296969058613887,9,-0.05557988424058772,0.04169207382943973,0.7639454499931675,0.02267637117901466,0.038782768980017805,0.06832031146532827,0.2869590164668586,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR1p74,hk_u,ordinal,B,489,1.963,H3,H0,15,0.5829209680885405,0.396738650536338,-0.1861823175522025,0.05853183503046876,0,-0.25682666545047794,-0.11553796965392706,5.964610075151239e-05,0.03293770345380457,0.038782768980017805,0.09923607887487085,0.9999105757613287,False,0.00023858440300604956,0.0028033667353210825,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR1p74,hk_u,ordinal,B,489,1.963,H4,H0,15,0.5829209680885405,0.5266844532003313,-0.05623651488820926,0.05414805598851984,2,-0.12158990938330848,0.009116879606889963,0.08620485166320761,0.030470813187754416,0.038782768980017805,0.09180372958067233,0.8729338006420486,False,0.2586145549896228,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR4,hk_u,ordinal,B,500,4.0,H1,H0,15,0.5580007592262494,0.5569077799469956,-0.0010929792792537696,0.0302500870194121,6,-0.0376029856756027,0.035417027117095164,0.9497129812921482,0.017022674843160463,0.060642116700158594,0.05128662068885157,0.14270575964219454,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_u_N500_IR4,hk_u,ordinal,B,500,4.0,H2,H0,15,0.5580007592262494,0.5536484122268436,-0.0043523469994057986,0.0584888114359753,7,-0.07494476804837526,0.06624007404956365,0.8966793839803116,0.03291349272478498,0.060642116700158594,0.09916313578647441,0.3209108604179338,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR4,hk_u,ordinal,B,500,4.0,H3,H0,15,0.5580007592262494,0.3941187080892963,-0.1638820511369531,0.06696313084809755,0,-0.2447024578357734,-0.08306164443813277,0.0006672135814443754,0.037682258638650545,0.060642116700158594,0.11353067148998433,0.9990591965247988,False,0.0026688543257775018,0.030024611164996894,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR4,hk_u,ordinal,B,500,4.0,H4,H0,15,0.5580007592262494,0.5168523469994059,-0.04114841222684359,0.06253785291017165,3,-0.11662777889111409,0.034330954437426904,0.26182433266411587,0.035192015639363194,0.060642116700158594,0.10602796411266321,0.7212587460064595,False,0.7854729979923476,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR20,hk_u,ordinal,B,501,20.125,H1,H0,15,0.5285581761736654,0.531476991205252,0.0029188150315867818,0.025828580458515032,8,-0.028254703151810612,0.03409233321498418,0.8437283024444002,0.01453455411627621,0.07724036220693961,0.04379030738183604,0.12975527874225423,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_u_N500_IR20,hk_u,ordinal,B,501,20.125,H2,H0,15,0.5285581761736654,0.5196214426173665,-0.008936733556298756,0.04147600893284499,6,-0.05899574166630668,0.041122274553709176,0.7075476808114046,0.02333985397803198,0.07724036220693961,0.07031927995649055,0.32140107258979467,False,1.0,1.0,False,False,False,False,False,not_detected,개선 검출 안 됨
hk_u_N500_IR20,hk_u,ordinal,B,501,20.125,H3,H0,15,0.5285581761736654,0.3746124814195467,-0.15394569475411862,0.08281228305287414,0,-0.2538950595945062,-0.053996329913731045,0.005225979505931878,0.04660107478448638,0.07724036220693961,0.1404016506327759,0.9938759156191848,False,0.020903918023727514,0.22471711875507078,True,True,False,False,False,undetectable,검출 불가 (검정력 부족)
hk_u_N500_IR20,hk_u,ordinal,B,501,20.125,H4,H0,15,0.5285581761736654,0.4869857278892604,-0.04157244828440481,0.08208572016748279,6,-0.14064489612366227,0.05749999955485265,0.3833464198718556,0.04619221501019256,0.07724036220693961,0.13916982094958355,0.6761627779982804,False,1.0,1.0,False,False,False,False,False,undetectable,검출 불가 (검정력 부족)
