pair,layer,bhattacharyya,fisher_J,perdim_fisher_mean,perdim_fisher_max
OLP_vs_Gum,23,5.231335639953613,16.008695602416992,0.2416987419128418,2.1465253829956055
OLP_vs_rest,0,2.1784005165100098,2.482320785522461,0.028404515236616135,0.2198665589094162
OLP_vs_rest,1,2.123873472213745,3.08845853805542,0.02606647089123726,0.28531956672668457
OLP_vs_rest,2,2.5006442070007324,3.3664143085479736,0.03252669423818588,0.34826037287712097
OLP_vs_rest,3,2.5507688522338867,4.151282787322998,0.0413944274187088,0.4200964868068695
OLP_vs_rest,4,2.5897860527038574,4.874256610870361,0.05520492419600487,0.5160534381866455
OLP_vs_rest,5,2.4770047664642334,5.168962478637695,0.06458697468042374,0.6844057440757751
OLP_vs_rest,6,2.4808483123779297,5.201664447784424,0.059483401477336884,0.5002695918083191
OLP_vs_rest,7,2.4682960510253906,5.495927810668945,0.06252114474773407,0.49778273701667786
OLP_vs_rest,8,2.4698822498321533,5.7866363525390625,0.0641622543334961,0.5018141269683838
OLP_vs_rest,9,2.4580841064453125,5.2180609703063965,0.06736643612384796,0.6604964733123779
OLP_vs_rest,10,2.5989136695861816,5.694932460784912,0.07383548468351364,0.8041787147521973
